local e=
{
ByIdx={
{1,6,1,{{1033,2000000},{20959,720},{20960,240},{1002,7200000}}},
{2,6,2,{{1033,1600000},{20959,600},{20960,200},{1002,6000000}}},
{3,6,3,{{1033,1280000},{20959,540},{20960,180},{1002,5400000}}},
{4,6,4,{{1033,1160000},{20959,480},{20960,160},{1002,4800000}}},
{5,6,5,{{1033,1060000},{20959,480},{20960,160},{1002,4800000}}},
{6,6,6,{{1033,1010000},{20959,420},{20960,140},{1002,4200000}}},
{7,6,7,{{1033,960000},{20959,360},{20960,120},{1002,3600000}}},
{8,6,8,{{1033,940000},{20959,360},{20960,120},{1002,3600000}}},
{9,6,9,{{1033,920000},{20959,300},{20960,100},{1002,3000000}}},
{10,6,10,{{1033,900000},{20959,300},{20960,100},{1002,3000000}}},
{11,6,11,{{1033,860000},{20959,240},{20960,80},{1002,2400000}}},
{12,6,16,{{1033,800000},{20959,240},{20960,80},{1002,2400000}}},
{13,6,21,{{1033,740000},{20959,240},{20960,80},{1002,2400000}}},
{14,6,31,{{1033,680000},{20959,180},{20960,60},{1002,1800000}}},
{15,6,41,{{1033,620000},{20959,180},{20960,60},{1002,1800000}}},
{16,6,51,{{1033,560000},{20959,180},{20960,60},{1002,1800000}}},
{101,5,1,{{1033,780000},{20959,300},{20960,100},{1002,3000000}}},
{102,5,2,{{1033,600000},{20959,240},{20960,80},{1002,2400000}}},
{103,5,3,{{1033,540000},{20959,210},{20960,70},{1002,2100000}}},
{104,5,4,{{1033,510000},{20959,180},{20960,60},{1002,1800000}}},
{105,5,5,{{1033,490000},{20959,180},{20960,60},{1002,1800000}}},
{106,5,6,{{1033,480000},{20959,180},{20960,60},{1002,1800000}}},
{107,5,7,{{1033,470000},{20959,180},{20960,60},{1002,1800000}}},
{108,5,8,{{1033,460000},{20959,180},{20960,60},{1002,1800000}}},
{109,5,9,{{1033,420000},{20959,180},{20960,60},{1002,1800000}}},
{110,5,10,{{1033,380000},{20959,180},{20960,60},{1002,1800000}}},
{111,5,11,{{1033,360000},{20959,150},{20960,50},{1002,1500000}}},
{112,5,16,{{1033,340000},{20959,150},{20960,50},{1002,1500000}}},
{113,5,21,{{1033,320000},{20959,150},{20960,50},{1002,1500000}}},
{114,5,31,{{1033,300000},{20959,120},{20960,40},{1002,1200000}}},
{115,5,41,{{1033,280000},{20959,120},{20960,40},{1002,1200000}}},
{116,5,51,{{1033,260000},{20959,120},{20960,40},{1002,1200000}}},
{117,5,81,{{1033,240000},{20959,120},{20960,40},{1002,1200000}}},
{201,4,1,{{1033,300000},{20959,120},{20960,40},{1002,1200000}}},
{202,4,2,{{1033,280000},{20959,90},{20960,30},{1002,900000}}},
{203,4,3,{{1033,270000},{20959,90},{20960,30},{1002,900000}}},
{204,4,4,{{1033,260000},{20959,90},{20960,30},{1002,900000}}},
{205,4,5,{{1033,250000},{20959,90},{20960,30},{1002,900000}}},
{206,4,6,{{1033,240000},{20959,75},{20960,25},{1002,750000}}},
{207,4,7,{{1033,230000},{20959,75},{20960,25},{1002,750000}}},
{208,4,8,{{1033,220000},{20959,75},{20960,25},{1002,750000}}},
{209,4,9,{{1033,210000},{20959,60},{20960,20},{1002,600000}}},
{210,4,10,{{1033,200000},{20959,60},{20960,20},{1002,600000}}},
{211,4,11,{{1033,190000},{20959,60},{20960,20},{1002,600000}}},
{212,4,16,{{1033,180000},{20959,60},{20960,20},{1002,600000}}},
{213,4,21,{{1033,170000},{20959,60},{20960,20},{1002,600000}}},
{214,4,31,{{1033,160000},{20959,60},{20960,20},{1002,600000}}},
{215,4,41,{{1033,150000},{20959,60},{20960,20},{1002,600000}}},
{216,4,51,{{1033,140000},{20959,60},{20960,20},{1002,600000}}},
{217,4,81,{{1033,130000},{20959,60},{20960,20},{1002,600000}}},
{218,4,121,{{1033,120000},{20959,60},{20960,20},{1002,600000}}},
{301,3,1,{{1033,150000},{20959,56},{20960,16},{1002,560000}}},
{302,3,2,{{1033,140000},{20959,42},{20960,12},{1002,420000}}},
{303,3,3,{{1033,130000},{20959,42},{20960,12},{1002,420000}}},
{304,3,4,{{1033,120000},{20959,42},{20960,12},{1002,420000}}},
{305,3,5,{{1033,110000},{20959,42},{20960,12},{1002,420000}}},
{306,3,6,{{1033,100000},{20959,35},{20960,10},{1002,350000}}},
{307,3,7,{{1033,99000},{20959,35},{20960,10},{1002,350000}}},
{308,3,8,{{1033,98000},{20959,35},{20960,10},{1002,350000}}},
{309,3,9,{{1033,97000},{20959,28},{20960,8},{1002,280000}}},
{310,3,10,{{1033,96000},{20959,28},{20960,8},{1002,280000}}},
{311,3,11,{{1033,95000},{20959,28},{20960,8},{1002,280000}}},
{312,3,16,{{1033,94000},{20959,28},{20960,8},{1002,280000}}},
{313,3,21,{{1033,93000},{20959,28},{20960,8},{1002,280000}}},
{314,3,31,{{1033,92000},{20959,28},{20960,8},{1002,280000}}},
{315,3,41,{{1033,91000},{20959,28},{20960,8},{1002,280000}}},
{316,3,51,{{1033,90000},{20959,28},{20960,8},{1002,280000}}},
{317,3,81,{{1033,89000},{20959,28},{20960,8},{1002,280000}}},
{318,3,121,{{1033,88000},{20959,28},{20960,8},{1002,280000}}}
},
Len=69
}
return e 
