local e=
{
ByIdx={
{1,3,{11015,24},"Earth_Ext_3/xtx_jlztb2"},
{2,4,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{3,5,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{4,6,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{5,7,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{6,8,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{7,9,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{8,10,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{9,11,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{10,12,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{11,13,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{12,14,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{13,15,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{14,16,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{15,17,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{16,18,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{17,19,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{18,20,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{19,21,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{20,22,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{21,23,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{22,24,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{23,25,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{24,26,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{25,27,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{26,28,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{27,29,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{28,30,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{29,31,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{30,32,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{31,33,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{32,34,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{33,35,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{34,36,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{35,37,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{36,38,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{37,39,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{38,40,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{39,41,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{40,42,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{41,43,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{42,44,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{43,45,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{44,46,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{45,47,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{46,48,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{47,49,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{48,50,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{49,51,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{50,52,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{51,53,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{52,54,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{53,55,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{54,56,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{55,57,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{56,58,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{57,59,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{58,60,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{59,61,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{60,62,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{61,63,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{62,64,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{63,65,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{64,66,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{65,67,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{66,68,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{67,69,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{68,70,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{69,71,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{70,72,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{71,73,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{72,74,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{73,75,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{74,76,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{75,77,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
{76,78,{70001,10},"Earth_Ext_3/xtx_jlztb3"},
