local e=
{
ByIdx={
{100101,"qiyu001",0,"heroname_1012",1,101202,"face_angry",0,"",2,"qiyu002",100102,"qiyu003",100103},
{100102,"qiyu004",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",100104,"0",0},
{100103,"qiyu005",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100105,"0",0},
{100104,"qiyu006",0,"playername",4,0,"",0,"",1,"0",100106,"0",0},
{100105,"qiyu007",0,"playername",4,0,"",0,"",1,"0",100107,"0",0},
{100106,"qiyu008",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",100108,"0",0},
{100107,"qiyu009",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",100108,"0",0},
{100108,"qiyu010",0,"playername",4,0,"",0,"",1,"0",100109,"0",0},
{100109,"qiyu011",0,"heroname_1012",1,101202,"face_nomal",0,"",2,"qiyu012",100110,"qiyu013",100111},
{100110,"qiyu014",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",100112,"0",0},
{100111,"qiyu015",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",100112,"0",0},
{100112,"qiyu016",0,"playername",4,0,"",0,"",1,"0",100113,"0",0},
{100113,"qiyu017",0,"heroname_1012",3,101202,"face_cry",0,"",1,"0",100114,"0",0},
{100114,"qiyu018",0,"playername",4,0,"",0,"",1,"0",100115,"0",0},
{100115,"qiyu019",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",0,"0",0},
{100201,"qiyu020",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",0,"0",0},
{100202,"qiyu022",0,"heroname_1012",3,101202,"face_sad",0,"",1,"0",100203,"0",0},
{100203,"qiyu024",0,"playername",4,0,"",0,"",1,"0",100204,"0",0},
{100204,"qiyu025",0,"heroname_1012",3,101202,"face_none",0,"",1,"0",100205,"0",0},
{100205,"qiyu026",0,"playername",4,0,"",0,"",1,"0",100206,"0",0},
{100206,"qiyu027",0,"heroname_1012",3,101202,"face_none",0,"",1,"0",100207,"0",0},
{100207,"qiyu028",0,"playername",4,0,"",0,"",1,"0",100208,"0",0},
{100208,"qiyu029",0,"heroname_1012",1,101202,"face_happy",0,"",2,"qiyu030",100209,"qiyu031",100210},
{100209,"qiyu032",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",0,"0",0},
{100210,"qiyu033",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",0,"0",0},
{100301,"qiyu034",0,"heroname_1012",1,101202,"face_happy",0,"",2,"qiyu035",100302,"qiyu036",100303},
{100302,"qiyu037",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",100304,"0",0},
{100303,"qiyu038",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",100304,"0",0},
{100304,"qiyu039",0,"playername",4,0,"",0,"",1,"0",100305,"0",0},
{100305,"qiyu040",0,"heroname_1012",1,101202,"face_none",0,"",2,"qiyu041",100306,"qiyu042",100306},
{100306,"qiyu043",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100307,"0",0},
{100307,"qiyu044",0,"playername",4,0,"",0,"",1,"0",100308,"0",0},
{100308,"qiyu045",0,"heroname_1012",3,101202,"face_none",0,"",1,"0",100309,"0",0},
{100309,"qiyu046",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{100310,"qiyu047",0,"npcName_5",1,902002,"face_happy",0,"",1,"0",100311,"0",0},
{100311,"qiyu048",0,"playername",4,0,"",0,"",1,"0",100312,"0",0},
{100312,"qiyu049",0,"npcName_5",1,902002,"face_happy",0,"",2,"qiyu050",100313,"qiyu051",100313},
{100313,"qiyu052",0,"npcName_5",3,902002,"face_angry",0,"",1,"0",100314,"0",0},
{100314,"qiyu053",0,"playername",4,0,"",0,"",1,"0",100315,"0",0},
{100315,"qiyu054",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",0,"0",0},
{100316,"qiyu055",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{100317,"qiyu313",0,"npcName_5",1,902002,"face_happy",0,"",4,"qiyu787",26,"qiyu5001",0},
{100401,"qiyu056",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100402,"0",0},
{100402,"qiyu057",0,"heroname_1012",1,101202,"face_angry",0,"",2,"qiyu058",100403,"qiyu059",100404},
{100403,"qiyu060",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100405,"0",0},
{100404,"qiyu061",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100405,"0",0},
{100405,"qiyu062",0,"playername",4,0,"",0,"",1,"0",100406,"0",0},
{100406,"qiyu063",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",100407,"0",0},
{100407,"qiyu064",0,"playername",4,0,"",0,"",1,"0",100408,"0",0},
{100408,"qiyu065",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",100409,"0",0},
{100409,"qiyu066",0,"playername",4,0,"",0,"",1,"0",100410,"0",0},
{100410,"qiyu067",0,"heroname_1012",3,101202,"face_angry",0,"",1,"0",100411,"0",0},
{100411,"qiyu068",0,"playername",4,0,"",0,"",1,"0",100412,"0",0},
{100412,"qiyu069",0,"heroname_1012",1,101202,"face_cry",0,"",2,"qiyu070",100413,"qiyu071",100413},
{100413,"qiyu072",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",100414,"0",0},
{100414,"qiyu073",0,"playername",4,0,"",0,"",1,"0",100415,"0",0},
{100415,"qiyu074",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",0,"0",0},
{100416,"qiyu075",0,"heroname_1012",1,101202,"face_happy",0,"",4,"qiyu5002",311,"qiyu5003",0},
{100501,"qiyu076",0,"heroname_1041",3,104102,"face_happy",0,"",1,"0",100502,"0",0},
{100502,"qiyu077",0,"playername",4,0,"",0,"",1,"0",100503,"0",0},
{100503,"qiyu078",0,"heroname_1041",3,104102,"face_happy",0,"",1,"0",0,"0",0},
{100504,"qiyu079",0,"heroname_1041",3,104102,"face_cry",0,"",1,"0",100505,"0",0},
{100505,"qiyu080",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{100601,"qiyu081",0,"heroname_1002",3,100202,"face_surprise",0,"",1,"0",100602,"0",0},
{100602,"qiyu082",0,"playername",4,0,"",0,"",1,"0",100603,"0",0},
{100603,"qiyu083",0,"heroname_1002",1,100202,"face_happy",0,"",2,"qiyu084",100604,"qiyu085",100604},
{100604,"qiyu086",0,"heroname_1002",1,100202,"face_happy",0,"",2,"qiyu087",100605,"qiyu088",100606},
{100605,"qiyu089",0,"heroname_1002",3,100202,"face_happy",0,"",1,"0",100607,"0",0},
{100606,"qiyu090",0,"heroname_1002",3,100202,"face_happy",0,"",1,"0",100607,"0",0},
{100607,"qiyu091",0,"playername",4,0,"",0,"",1,"0",100608,"0",0},
{100608,"qiyu092",0,"heroname_1002",3,100202,"face_happy",0,"",1,"0",100609,"0",0},
{100609,"qiyu09200",0,"heroname_1002",3,100202,"face_happy",0,"",1,"0",0,"0",0},
{100610,"qiyu092",0,"heroname_1002",3,100202,"face_happy",0,"",1,"0",0,"0",0},
{100701,"qiyu093",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",100702,"0",0},
{100702,"qiyu094",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{100703,"qiyu095",0,"npcName_5",1,902002,"face_happy",0,"",2,"qiyu5000",0,"qiyu5001",0},
{100704,"qiyu096",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",0,"0",0},
{100801,"qiyu097",0,"heroname_1005",3,100502,"face_surprise",0,"",1,"0",0,"0",0},
{100802,"qiyu098",0,"heroname_1005",3,100502,"face_surprise",0,"",1,"0",0,"0",0},
{100803,"qiyu099",0,"heroname_1005",3,100502,"face_surprise",0,"",1,"0",0,"0",0},
{100804,"qiyu100",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{100901,"qiyu101",0,"heroname_1026",1,102602,"face_sad",0,"",2,"qiyu102",100902,"qiyu103",100902},
{100902,"qiyu104",0,"heroname_1026",3,102602,"face_sad",0,"",1,"0",100903,"0",0},
{100903,"qiyu105",0,"playername",4,0,"",0,"",1,"0",100904,"0",0},
{100904,"qiyu106",0,"heroname_1026",1,102602,"face_sad",0,"",2,"qiyu107",100905,"qiyu108",100906},
{100905,"qiyu109",0,"heroname_1026",3,102602,"face_sad",0,"",1,"0",100907,"0",0},
{100906,"qiyu110",0,"heroname_1026",3,102602,"face_sad",0,"",1,"0",100907,"0",0},
{100907,"qiyu111",0,"heroname_1026",3,102602,"face_sad",0,"",1,"0",100908,"0",0},
{100908,"qiyu112",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101001,"qiyu113",0,"heroname_1026",1,102602,"face_sad",0,"",2,"qiyu114",101002,"qiyu115",101002},
{101002,"qiyu116",0,"heroname_1026",3,102602,"face_sad",0,"",1,"0",101003,"0",0},
{101003,"qiyu117",0,"playername",4,0,"",0,"",1,"0",101004,"0",0},
{101004,"qiyu118",0,"heroname_1026",3,102602,"face_nomal",0,"",1,"0",0,"0",0},
{101005,"qiyu119",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101006,"0",0},
{101006,"qiyu120",0,"playername",4,0,"",0,"",1,"0",101007,"0",0},
{101007,"qiyu121",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101008,"0",0},
{101008,"qiyu122",0,"playername",4,0,"",0,"",1,"0",101009,"0",0},
{101009,"qiyu123",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",0,"0",0},
{101010,"qiyu12300",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",0,"0",0},
{101101,"qiyu124",0,"heroname_1026",3,102602,"face_nomal",0,"",1,"0",101102,"0",0},
{101102,"qiyu125",0,"playername",4,0,"",0,"",1,"0",101103,"0",0},
{101103,"qiyu126",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101104,"0",0},
{101104,"qiyu127",0,"playername",4,0,"",0,"",1,"0",101105,"0",0},
{101105,"qiyu128",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",0,"0",0},
{101106,"qiyu129",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",101107,"0",0},
{101107,"qiyu130",0,"playername",4,0,"",0,"",1,"0",101108,"0",0},
{101108,"qiyu131",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",0,"0",0},
{101109,"qiyu095",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{101110,"qiyu132",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101111,"0",0},
{101111,"qiyu133",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101201,"qiyu134",0,"heroname_1026",1,102602,"face_happy",0,"",2,"qiyu135",101202,"qiyu136",101202},
{101202,"qiyu137",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101203,"0",0},
{101203,"qiyu138",0,"playername",4,0,"",0,"",1,"0",101204,"0",0},
{101204,"qiyu139",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101205,"0",0},
{101205,"qiyu140",0,"playername",4,0,"",0,"",1,"0",101206,"0",0},
{101206,"qiyu141",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",101207,"0",0},
{101207,"qiyu142",0,"playername",4,0,"",0,"",1,"0",101208,"0",0},
{101208,"qiyu143",0,"heroname_1026",3,102602,"face_happy",0,"",1,"0",0,"0",0},
{101301,"qiyu144",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",101302,"0",0},
{101302,"qiyu145",0,"playername",4,0,"",0,"",1,"0",101303,"0",0},
