local e=
{
ByIdx={
{10601001,1002,"哇！是大海呀——~","わあ！海だ～～～～！","","와! 바다당~","わあ！海だ～～～～！",0,0,"","","","","","","","","",""},
{10601002,1008,"哼哼，这就兴奋起来了，真是小孩子呢。","ふふ、こんなので興奮して、本当に子どもっぽいですねぇ。","","뭘 이렇게 흥분하세요? 차차는 더 커야겠어요~","ふふ、こんなので興奮して、本当に子どもっぽいですねぇ。",0,0,"","","","","","","","","",""},
{10601003,1001,"我，我买了冰淇淋，要吃么？","あ、アイスクリームを買ってきましたよ！食べませんか？","","제, 제가 아이스크림을 사왔어요. 드실 분~?","あ、アイスクリームを買ってきましたよ！食べませんか？",0,0,"","","","","","","","","",""},
{10601004,2,"我要我要！","はい！はい！","","저요! 저요!!!","はい！はい！",0,0,"","","","","","","","","",""},
{10601005,999,"难得能忙里偷闲来海边度假，大家的兴致都很高昂呢。","忙しいスケジュールの合間を縫って海に遊びに来たから、みんな高まっておるな。","","모처럼 바닷가로 휴가를 나오니 다들 기쁜가보네~!","忙しいスケジュールの合間を縫って海に遊びに来たから、みんな高まっておるな。",0,0,"","","","","","","","","",""},
{10601006,999,"要是宁宁和兰斯洛特也能来就好了。","寧々とランスロットも来ればよかったのにのう。","","링링과 란슬롯도 같이 왔으면 좋았을텐데...","寧々とランスロットも来ればよかったのにのう。",31060111,31060112,"两个人的责任心都很重呢。","","","둘 다 책임감이 강해서...","二人とも責任感が強いよな。","回去时给她们带些有趣的礼物吧！","","","돌아갈 때 재밌는 선물을 사가자!","楽しいお土産を持って帰ろう！"},
{10601007,999,"说到海边的礼物……漂亮的贝壳不错呢！","海のお土産といえば…きれいな貝殻じゃな！","","바다 하면... 예쁜 조개 껍데기? 어때?!","海のお土産といえば…きれいな貝殻じゃな！",0,0,"","","","","","","","","",""},
{10601008,999,"作为留守工作岗位的犒劳，咱们收集些漂亮的贝壳带回去送给她们吧！","留守番のご褒美に、きれいな貝殻を集めて持ち帰ろうじゃないか！","","다들 쉴 때 열심히 일했으니깐\r\n제일로 예쁜 조개 껍데기를 모아서 선물해 주자!","留守番のご褒美に、きれいな貝殻を集めて持ち帰ろうじゃないか！",0,0,"","","","","","","","","",""},
{10601009,0,"正当{PlayerName}与天照在海滩上休息时，一个故作深沉的声音传了过来。","{PlayerName}とアマテラスがビーチで休んでいると、わざと作ったような深い声が聞こえてきた。","","{PlayerName}님이 아마테라스와 함께 바닷가에 앉아 쉬고 있을 때, 누군가의 목소리가 들려왔다.","{PlayerName}とアマテラスがビーチで休んでいると、わざと作ったような深い声が聞こえてきた。",0,0,"","","","","","","","","",""},
{10601010,1060,"曹某昨日登高望远，看到这海涛拍岸之境灵思泉涌，于是作诗一首，名曰《观沧海》。","昨日山に登り、この波打ち際の景色を眺めていたら思いが湧き上がってきたため、詩を作ったのだ。その名は『観滄海』。","","반짝 반짝 빛나는 바닷가를 보니깐 떠오르는 구절이 있어.\r\n시의 이름은 《관창해》.","昨日山に登り、この波打ち際の景色を眺めていたら思いが湧き上がってきたため、詩を作ったのだ。その名は『観滄海』。",0,0,"","","","","","","","","",""},
{10601011,1060,"不知关羽小姐可否品鉴品鉴？","関羽さんに品評にしてもらえないか？","","관우 님, 과인의 시조를 들어봐 주시겠어요?","関羽さんに品評にしてもらえないか？",0,0,"","","","","","","","","",""},
{10601012,1054,"早听闻曹操大人威名，连皇帝陛下都要礼让三分，却不想还会作诗？","曹操様の威名は皇帝陛下まで屈服するほどだと聞いておりますが、まさか詩を詠むこともできるのですか？","","모든 나라의 황제들도 예를 갖춘다는 조조 님께서 말씀하신다는데. \r\n관우, 간청드립니다. 들려주세요.","曹操様の威名は皇帝陛下まで屈服するほどだと聞いておりますが、まさか詩を詠むこともできるのですか？",0,0,"","","","","","","","","",""},
{10601013,1060,"唉~关羽小姐何必如此生分？我俩一见如故，且你对曹某还有救命之恩，叫我曹操即可！","あぁ関羽さん、なぜそんなに壁を作るのだ？わしらの仲は旧知のごとしだ、しかもあなたはわしの命を救ってくれた恩もある。曹操と呼んでくれ！","","어머나... 예의도 바르셔라. 과인의 목숨을 구해주셨는데... \r\n앞으로 말 편하게 하세요. 조조라고 불...","あぁ関羽さん、なぜそんなに壁を作るのだ？わしらの仲は旧知のごとしだ、しかもあなたはわしの命を救ってくれた恩もある。曹操と呼んでくれ！",0,0,"","","","","","","","","",""},
{10601014,999,"曹操！","曹操！","","조조...!","曹操！",0,0,"","","","","","","","","",""},
{10601015,1060,"嗯，嗯！这就对了嘛。欸不对……怎么是小孩子的声音？","うん、うん！そうだ！え？……なぜ子供の声なのだ？","","응~! 어...? 관우 님 목소리가 아닌데?\r\n... 꼬맹이 목소리?","うん、うん！そうだ！え？……なぜ子供の声なのだ？",0,0,"","","","","","","","","",""},
{10601016,999,"你说谁是小孩子呢！","誰が子供じゃ！","","누구보고 꼬맹이라는 거야?!","誰が子供じゃ！",0,0,"","","","","","","","","",""},
{10601017,1060,"……欸？奇怪，我出现幻觉了？这不是{PlayerName}和小天照么？","……ん？おかしいのう、幻覚か？これは{PlayerName}とアマテラスちゃんではないか。","","... 어? 이상하네... 내가 꿈을 꾸고 있는 건가?\r\n{PlayerName}님과 꼬마 아마테라스 님?","……ん？おかしいのう、幻覚か？これは{PlayerName}とアマテラスちゃんではないか。",0,0,"","","","","","","","","",""},
{10601018,999,"“小”字是多余的啦！","「ちゃん」をつけるな！","","꼬마라는 말은 좀 빼주지...?!","「ちゃん」をつけるな！",0,0,"","","","","","","","","",""},
{10601019,1060,"哈哈，正所谓人生何处不相逢，没想到会在这里遇到你们，这可真是好事成双呀！","ははは、生きていればいずれ巡り合う。まさかここで出会えるとは、良いことだ！","","후훗... 이런 곳에서 다시 만날 줄이야. \r\n정말 반가운 사람들을 이렇게 한 곳에서 다 만나다니!","ははは、生きていればいずれ巡り合う。まさかここで出会えるとは、良いことだ！",0,0,"","","","","","","","","",""},
{10601020,999,"遇到你，那可未必是好事呢……","お前に会えたことが、必ずしも良いこととは限らないのじゃが……。","","우린 널 만나는 게... 좋은 일만은 아니야...","お前に会えたことが、必ずしも良いこととは限らないのじゃが……。",0,0,"","","","","","","","","",""},
{10601021,999,"不对！你怎么会和关羽在一起？你们一个是魏军首领，一个是蜀军大将……","じゃなくて！なぜ関羽と一緒におるのじゃ？魏軍のリーダーと、蜀軍の大将……","","아니! 근데 관우랑 어떻게 아는 사이야? 넌 위군의 수령이고. \r\n관우는 촉군의 대장인데...","じゃなくて！なぜ関羽と一緒におるのじゃ？魏軍のリーダーと、蜀軍の大将……",0,0,"","","","","","","","","",""},
{10601022,999,"糟，糟糕！难道是……","しっ、しまった！まさか……","","서... 설마... 너희들?!","しっ、しまった！まさか……",31060121,31060122,"关羽其实是曹操的间谍！","","","관우는 사실... 조조의 간첩?!","実は関羽が曹操のスパイなんだ！","两个人在秘密约会！","","","두 사람 설마 비밀데이트라도?!","二人の秘密のデートか！"},
{10601023,999,"正常人应该想关羽是曹操安插在蜀军中的间谍吧！","普通の人なら、関羽が曹操が蜀軍に仕込んだスパイだと考えるじゃろ！","正常人应该想关羽是曹操安插在蜀军中的间谍吧！","일반적인 사람이라면... 조조를 간첩으로 보냈다고 생각하지 않을까?!","普通の人なら、関羽が曹操が蜀軍に仕込んだスパイだと考えるじゃろ！",0,0,"","","","","","","","","",""},
{10601024,999,"咦！撞破了这种阴暗秘密的我们，不会被灭口吧！","えっ！こんな暗い秘密に踏み込んでしまったら、わしらは殺されてしまうぞ！","咦！撞破了这种阴暗秘密的我们，不会被灭口吧！","엇?! 그, 그런 거였어?! 미안! 모른 척 해줄테니...\r\n살려만 줘!","えっ！こんな暗い秘密に踏み込んでしまったら、わしらは殺されてしまうぞ！",0,0,"","","","","","","","","",""},
{10601025,1060,"嗯嗯！尽管咱们有些交情，但为了秘密不会泄露……","ああ！多少の友情はあるが、君たちが秘密を漏らさないよう……","嗯嗯！尽管咱们有些交情，但为了秘密不会泄露……","응응! 생각보다 엄청난 인연이라... 쉿, 비밀로 해줘!","ああ！多少の友情はあるが、君たちが秘密を漏らさないよう……",0,0,"","","","","","","","","",""},
