side,ownerHeroDid,skillDid,skillFound,prefabId,timelineFound,bundle,normalizedBundle,bundleExists,normalizeNote,gameObjects,particleSystems,materials,textures
our,1036,1036101,True,1036101,True,download/skillprefabsandres/1036.assetbundle,download/skillprefabsandres/1036.assetbundle,True,as_listed,46,29,13,3
our,1036,1036201,True,1036201,True,download/skillprefabsandres/1036.assetbundle,download/skillprefabsandres/1036.assetbundle,True,as_listed,46,29,13,3
our,1036,1036301,True,1036301,True,download/skillprefabsandres/1036.assetbundle,download/skillprefabsandres/1036.assetbundle,True,as_listed,46,29,13,3
our,1036,1036301,True,1036351,True,download/skillprefabsandres/1036.assetbundle,download/skillprefabsandres/1036.assetbundle,True,as_listed,46,29,13,3
our,1036,1036401,False,,False,,,False,not_found,0,0,0,0
our,1036,1036402,False,,False,,,False,not_found,0,0,0,0
our,1002,1002101,True,1002101,True,download/skillprefabsandres/1002.assetbundle,download/skillprefabsandres/1002.assetbundle,True,as_listed,43,26,15,3
our,1002,1002201,True,1002201,True,download/skillprefabsandres/1002.assetbundle,download/skillprefabsandres/1002.assetbundle,True,as_listed,43,26,15,3
our,1002,1002301,True,1002301,True,download/skillprefabsandres/1002.assetbundle,download/skillprefabsandres/1002.assetbundle,True,as_listed,43,26,15,3
our,1002,1002301,True,1002351,True,download/skillprefabsandres/1002.assetbundle,download/skillprefabsandres/1002.assetbundle,True,as_listed,43,26,15,3
our,1034,1034101,True,1034101,True,download/skillprefabsandres/1034.assetbundle,download/skillprefabsandres/1034.assetbundle,True,as_listed,64,47,19,1
our,1034,1034201,True,1034201,True,download/skillprefabsandres/1034.assetbundle,download/skillprefabsandres/1034.assetbundle,True,as_listed,64,47,19,1
our,1034,1034301,True,1034301,True,download/skillprefabsandres/1034.assetbundle,download/skillprefabsandres/1034.assetbundle,True,as_listed,64,47,19,1
our,1034,1034301,True,1034351,True,download/skillprefabsandres/1034.assetbundle,download/skillprefabsandres/1034.assetbundle,True,as_listed,64,47,19,1
our,1034,1034401,False,,False,,,False,not_found,0,0,0,0
our,1034,1034402,False,,False,,,False,not_found,0,0,0,0
enemy,1100111,1012101,True,1012101,True,download/skillprefabsandres/1012.assetbundle,download/skillprefabsandres/1012.assetbundle,True,as_listed,61,46,25,11
enemy,1100111,1012201,True,1012201,True,download/skillprefabsandres/1012.assetbundle,download/skillprefabsandres/1012.assetbundle,True,as_listed,61,46,25,11
enemy,1100111,1012301,True,1012301,True,download/skillprefabsandres/1012.assetbundle,download/skillprefabsandres/1012.assetbundle,True,as_listed,61,46,25,11
enemy,1100111,1012301,True,1012351,True,download/skillprefabsandres/1012.assetbundle,download/skillprefabsandres/1012.assetbundle,True,as_listed,61,46,25,11
enemy,1100111,1012401,False,,False,,,False,not_found,0,0,0,0
enemy,1100111,1012403,False,,False,,,False,not_found,0,0,0,0
enemy,1100131,1001401,False,,False,,,False,not_found,0,0,0,0
enemy,1100131,1001403,False,,False,,,False,not_found,0,0,0,0
