component,requiredTypeOrGlobal,status,evidence,requiredBy,blockerIfMissing,b53Disposition
xLua runtime,XLua.LuaEnv,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451037,YouYou.LuaManager.luaEnv and LoadUIScript,blocked_missing_xlua_runtime,required_after_xlua_runtime_inventory
xLua runtime,XLua.LuaTable,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451405,LuaForm/LuaUnit scriptEnv and LuaComBinder.GetComponents,blocked_missing_xlua_runtime,required_after_xlua_runtime_inventory
xLua runtime,XLua.LuaFunction,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451187,LuaManager event delegates,blocked_missing_xlua_runtime,required_after_xlua_runtime_inventory
GameEntry,YouYou.GameEntry.Lua,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:498815; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:499143,LuaForm/LuaUnit lifecycle script loading and decoded Lua GameEntry.* calls,blocked_missing_gameentry_lua_manager,required_after_xlua_runtime_inventory
LuaManager,YouYou.LuaManager.LoadUIScript,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502840,LuaForm/LuaUnit OnInit/Init,blocked_missing_lua_manager_loader,required_after_xlua_runtime_inventory
LuaManager loader,MyLoader/GetLuaBuff/LoadLuaAssetBundle,missing_in_restored_unity_project,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502831; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502834,Load decoded UI and procedure Lua bytes,blocked_missing_lua_asset_loader,required_after_xlua_runtime_inventory
Bridge,YouYou.LuaForm,source_backed_stub_present_not_runtime_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502186,UI_NormalBattle OnInit/Open,blocked_stub_does_not_execute_xlua,required_after_xlua_runtime_inventory
Bridge,YouYou.LuaUnit,source_backed_stub_present_not_runtime_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:514483,UI_Battle3DUI and UI_BattleBoxPage Init/Open,blocked_stub_does_not_execute_xlua,required_after_xlua_runtime_inventory
Bridge,LuaComponentBinder.LuaComBinder,source_backed_stub_present_partial_schema_only,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:444585,UI_BattleBoxPage GenBox LuaUtils.GetLuaComBinder/GetComponents,blocked_no_luatable_components,required_after_xlua_runtime_inventory
Bridge,YouYou.UIEventListener.onClick,source_backed_stub_present_delegate_unbound,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:513943,btn_box lines 162-178,blocked_no_lua_closure_delegate,required_after_xlua_runtime_inventory
Lua module table,ModulesInit.ProcedureNormalBattle,decoded_source_available_not_bootstrapped,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:1; SetGameSpeed:933; ChangeToAuto:3795,btnAuto/btnTwoSpeed/btnFastSkill/btnBuff/UI_Battle3DUI/UI_BattleBoxPage,blocked_modulesinit_not_initialized,required_after_xlua_runtime_inventory
Lua global,ModulesInit.PhotoArtistMgr,required_unresolved,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:100,btnAuto closure,blocked_missing_photo_artist_mgr,required_after_xlua_runtime_inventory
Lua global,GameFunction/GameFunctionType,required_unresolved,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:95; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:118; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:139,btnAuto/btnTwoSpeed/btnFastSkill gates,blocked_missing_game_function_globals,required_after_xlua_runtime_inventory
