path,name,fileId,activeSelf,activeInHierarchy,layer,parentPath,siblingIndex,siblingCount,transformType,localPosition,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,pivot,childNames,componentTypes,warning,buttonComponentPresent,interactable,transition,targetGraphic,raycastTarget,spriteRef
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_All,btn_Explosive_All,25903844,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle,9,14,RectTransform,0/0/0,-442/-240,1/1/1,86/89,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,,True,1,1,25903848,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight/btnPause,btnPause,61261505,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight,0,3,RectTransform,0/0/0,-187.8/-33.7,1/1/1,21/32,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button,active_self_but_inactive_parent,True,1,1,61261508,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,btnAuto,141240320,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra,3,9,RectTransform,0/0/0,-62/160,1/1/1,101/43,1/0.5,1/0.5,0.5/0.5,im_on | im_off | im_lock_Auto | im_new_auto | text,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Graphic(serialized_missing_script)|UnityEngine.UI.Empty4Raycast|UnityEngine.UI.Button,,True,1,0,141240322,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,btnBuff,295492432,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra,1,9,RectTransform,0/0/0,-62/250,1/1/1,101/43,1/0.5,1/0.5,0.5/0.5,im_on | im_off | im_lock_buff | im_new_buff | text,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Graphic(serialized_missing_script)|UnityEngine.UI.Empty4Raycast|UnityEngine.UI.Button,,True,1,0,295492434,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp,btnhelp,320717866,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle,6,14,RectTransform,0/0/0,668.00006/317,1/1/1,101/43,1/0.5,1/0.5,0.5/0.5,im_help | im_lock_Auto,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Graphic(serialized_missing_script)|UnityEngine.UI.Empty4Raycast|UnityEngine.UI.Button,,True,1,0,320717868,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach,btn_item_seach,325526236,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76,28,29,RectTransform,0/0/0,34.9/34.6,1/1/1,29/29,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,,True,1,1,325526240,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon,btn_icon,355730003,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76,24,29,RectTransform,0/0/0,0/0,1/1/1,90/92,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Image,active_self_but_inactive_parent,True,1,0,355730005,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_battle_preview_skip,btn_battle_preview_skip,500767889,True,True,12,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,3,4,RectTransform,0/0/0,-61/278,1/1/1,42/42,1/0.5,1/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,,True,1,1,500767893,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrowbg,btn_arrowbg,582438461,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group,4,5,RectTransform,0/0/0,-75.7/46.9,1/1/1,220/80,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Graphic(serialized_missing_script)|UnityEngine.UI.Empty4Raycast|UnityEngine.UI.Button,,True,1,1,582438463,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/btnAttack,btnAttack,595230182,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036,3,6,RectTransform,0/0/0,0/-1.0999985,1/1/1,110/108,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|61|<missing>|UnityEngine.UI.Image,has_missing_script_component,False,,,,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_preivew_touch,btn_preivew_touch,711657897,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,2,4,RectTransform,0/0/0,0/0,1/1/1,2500/2000,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,,True,1,1,711657901,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause/Center/BT_chetui,BT_chetui,839679190,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause/Center,2,3,RectTransform,0/0/0,-215/-17,1/1/1,84/84,0.5/0.5,0.5/0.5,0.5/0.5,Text_chetui,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|95|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image,active_self_but_inactive_parent,True,1,3,839679195,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/btnLeftClosebuff,btnLeftClosebuff,848232332,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left,3,4,RectTransform,0/0/0,270/0,1/1/1,44/120,0/0.5,0/0.5,0.5/0.5,boxcollider,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image|UnityEngine.UI.Button,,True,1,1,848232336,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,btnTwoSpeed,904449699,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra,6,9,RectTransform,0/0/0,-62/-20,1/1/1,101/43,1/0.5,1/0.5,0.5/0.5,im_on | im_off | im_lock_TwoSpeed | text,RectTransform|CanvasRenderer|UnityEngine.UI.Button|UnityEngine.UI.Graphic(serialized_missing_script)|UnityEngine.UI.Empty4Raycast|UnityEngine.UI.Button,,True,1,1,904449701,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian,btn_jian,1010992032,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76,26,29,RectTransform,0/0/0,0/0,1/1/1,76/76,0.5/0.5,0.5/0.5,0.5/0.5,im_jian,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button,active_self_but_inactive_parent,True,1,1,1010992035,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,btn_box,1042549241,True,True,7,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item,1,2,RectTransform,0/0/0,0/0,1/1/1,80/80,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|<missing>|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image|UnityEngine.UI.Button|YouYou.UIEventListener,has_missing_script_component,True,1,1,1042549246,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btn_buff_pos,btn_buff_pos,1048074951,True,True,0,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra,2,9,RectTransform,0/0/0,-62/250,1/1/1,100/100,1/0.5,1/0.5,1/0.5,,RectTransform,,False,,,,,
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/btnAttack,btnAttack,1096577468,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002,3,6,RectTransform,0/0/0,0/-1.0999985,1/1/1,110/108,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|61|<missing>|UnityEngine.UI.Image,has_missing_script_component,False,,,,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_Cancel,btn_Explosive_Cancel,1180440429,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle,10,14,RectTransform,0/0/0,-440/-310.5,1/1/1,82/35,0.5/0.5,0.5/0.5,0.5/0.5,text,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image|UnityEngine.UI.Button,,True,1,1,1180440433,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview/bgBtn/Image,Image,1294180721,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview/bgBtn,0,1,RectTransform,0/0/0,0/0,1/1/1,2500/2000,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button,active_self_but_inactive_parent,True,1,0,1294180724,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight/btnResume,btnResume,1347079195,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight,1,3,RectTransform,0/0/0,-117.9/-32,1/1/1,43/42,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button,active_self_but_inactive_parent,True,1,1,1347079198,1,0
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight/btnTwoSpeed,btnTwoSpeed,1371561964,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle/TopRight,2,3,RectTransform,0/0/0,-46.2/-33.7,1/1/1,32/31,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image,active_self_but_inactive_parent,True,1,1,1371561968,1,0
