path,name,fileId,activeSelf,activeInHierarchy,layer,parentPath,siblingIndex,siblingCount,transformType,localPosition,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,pivot,childNames,componentTypes,warning,hasMaskComponent,maskComponentType,showMaskGraphic,maskScriptRef,evidence
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask,imgMask,274598320,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,1,14,RectTransform,0/0/0,159/1.8,1/1/1,86/84,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|BattleHudExtractedSpriteBindingMarker25,,False,,,,name-only mask candidate
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/node_buff/ScrollViewBuff/Viewport,Viewport,344002222,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/node_buff/ScrollViewBuff,0,1,RectTransform,0/0/0,0/0,1/1/1,0/0,0/0,1/1,0/1,Content,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Mask(serialized_missing_script),,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask,im_mask,345128840,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,2,14,RectTransform,0/0/0,159/0,1/1/1,89/90,0.5/0.5,0.5/0.5,0.5/0.5,imgPlayerHeadIcon,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Mask(serialized_missing_script)|BattleHudExtractedSpriteBindingMarker25,,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/imgMask,imgMask,477822900,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem,4,6,RectTransform,0/0/0,4.5/-2.1,1/1/1,127/119,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|Canvas|<missing>|BattleHudExtractedSpriteBindingMarker25,has_missing_script_component,False,,,,name-only mask candidate
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask,imgMask,653895939,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002,4,6,RectTransform,0/0/0,4.5/-2.0999985,1/1/1,127/119,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|Canvas|<missing>|BattleHudExtractedSpriteBindingMarker25,has_missing_script_component,False,,,,name-only mask candidate
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/imgMask,imgMask,774381662,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034,4,6,RectTransform,0/0/0,4.5/-2.0999985,1/1/1,127/119,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|Canvas|<missing>|BattleHudExtractedSpriteBindingMarker25,has_missing_script_component,False,,,,name-only mask candidate
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask,im_mask,783679028,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,2,14,RectTransform,0/0/0,-142/0,1/1/1,89/90,0.5/0.5,0.5/0.5,0.5/0.5,imgPlayerHeadIcon,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Mask(serialized_missing_script)|BattleHudExtractedSpriteBindingMarker25,,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/im_mask,im_mask,806153039,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2,2,7,RectTransform,0/0/0,-220/-33,0.64/0.64/1,145/145,0.5/0.5,0.5/0.5,0.5/0.5,imgPlayerHeadIcon,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Mask(serialized_missing_script)|BattleHudExtractedSpriteBindingMarker25,active_self_but_inactive_parent,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/im_mask,im_mask,969993331,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p,0,3,RectTransform,0/0/0,0/-38,1/1/1,97/97,0.5/0.5,0.5/0.5,0.5/0.5,imgPlayerHeadIcon,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Mask(serialized_missing_script)|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image,active_self_but_inactive_parent,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask,imgMask,1205437054,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,1,14,RectTransform,0/0/0,-141/1,1/1/1,86/84,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|BattleHudExtractedSpriteBindingMarker25|UnityEngine.UI.Image,,False,,,,name-only mask candidate
