path,name,fileId,activeSelf,activeInHierarchy,layer,parentPath,siblingIndex,siblingCount,transformType,localPosition,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,pivot,childNames,componentTypes,warning
BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext/BATTLE39_RuntimeActor_enemy_w1_s1_1100111_model_3001,BATTLE39_RuntimeActor_enemy_w1_s1_1100111_model_3001,2103667840,True,True,9,BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext,2,3,Transform,1.05/2.35/-0.2,,0.62/0.62/0.62,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext/BATTLE39_RuntimeActor_our_w0_s2_1002_model_1002,BATTLE39_RuntimeActor_our_w0_s2_1002_model_1002,279921217,True,True,9,BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext,0,3,Transform,-1.65/-2.35/-0.2,,0.7/0.7/0.7,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext/BATTLE39_RuntimeActor_our_w0_s3_1034_model_1034,BATTLE39_RuntimeActor_our_w0_s3_1034_model_1034,1413615573,True,True,9,BATTLE39_RuntimeActors_AttachedTo_BATTLE29_Map11003HudContext,1,3,Transform,0/-2.35/-0.2,,0.7/0.7/0.7,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BATTLE43_EvidenceBackedEventSystem,BATTLE43_EvidenceBackedEventSystem,274067488,True,True,0,,-1,0,Transform,0/0/0,,1/1/1,,,,,,Transform|UnityEngine.EventSystems.EventSystem|UnityEngine.EventSystems.StandaloneInputModule,
BattleCorrectMapSceneHudPreviewClip05Root/Battle27RuntimeActor_enemy_w1_s1_3001,Battle27RuntimeActor_enemy_w1_s1_3001,2024397792,False,False,9,BattleCorrectMapSceneHudPreviewClip05Root,12,13,Transform,1.05/2.35/-0.2,,0.62/0.62/0.62,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BattleCorrectMapSceneHudPreviewClip05Root/Battle27RuntimeActor_our_w0_s2_1002,Battle27RuntimeActor_our_w0_s2_1002,2111171575,False,False,9,BattleCorrectMapSceneHudPreviewClip05Root,10,13,Transform,-1.65/-2.35/-0.2,,0.7/0.7/0.7,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BattleCorrectMapSceneHudPreviewClip05Root/Battle27RuntimeActor_our_w0_s3_1034,Battle27RuntimeActor_our_w0_s3_1034,2017153789,False,False,9,BattleCorrectMapSceneHudPreviewClip05Root,11,13,Transform,0/-2.35/-0.2,,0.7/0.7/0.7,,,,,,Transform|MeshFilter|MeshRenderer|<missing>,has_missing_script_component
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,CanvasLuaStateHUD_01_ui_normalbattle,242412926,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root,0,10,RectTransform,0/0/0,0/0,0/0/0,0/0,0/0,0/0,0/0,root_battle | root_opra | btn_preivew_touch | btn_battle_preview_skip,RectTransform|Canvas|UnityEngine.UI.GraphicRaycaster|225|<missing>|<missing>|95|BattleHudSpriteAtlasSourceMarker25|UnityEngine.UI.GraphicRaycaster|YouYou.LuaForm,active_route_has_zeroish_local_scale | has_missing_script_component
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_battle_preview_skip,btn_battle_preview_skip,500767889,True,True,12,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,3,4,RectTransform,0/0/0,-61/278,1/1/1,42/42,1/0.5,1/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_preivew_touch,btn_preivew_touch,711657897,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,2,4,RectTransform,0/0/0,0/0,1/1/1,2500/2000,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|UnityEngine.UI.Image|UnityEngine.UI.Button|BattleHudExtractedSpriteBindingMarker25,
