path,name,fileId,activeSelf,activeInHierarchy,layer,parentPath,siblingIndex,siblingCount,transformType,localPosition,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,pivot,childNames,componentTypes,warning,text,fontSize,fontSizeBase,enableAutoSizing,fontSizeMin,fontSizeMax,characterSpacing,characterHorizontalScale,overflowMode,textWrappingMode,fontAssetRef,sharedMaterialRef
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,txtLevel,140249,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2,5,7,RectTransform,0/0/0,40.6/-26,1/1/1,70/17.9899,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,Lv.999,20,20,0,18,72,-5,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_level,text_level,44589511,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76,10,29,RectTransform,0/0/0,0/-39.5,1/1/1,80/12,0.5/0.5,0.5/0.5,0.5/1,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,Lv.21,15,15,0,18,72,0,1,0,1,-724809986894116682,3932716197974622303
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,txt_chengzhan_server,46885859,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name,0,1,RectTransform,0/0/0,-1/0,1/1/1,40.020004/16.01,0/0.5,0/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,active_self_but_inactive_parent | has_missing_script_component,'[s23]',16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_num,text_num,60456579,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76,11,29,RectTransform,0/0/0,32/-27,1/1/1,65/15,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,X10,16,16,0,18,72,0,1,0,1,-724809986894116682,3932716197974622303
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/trans_battle_box/text_battle_box_count,text_battle_box_count,92803982,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/trans_battle_box,0,2,RectTransform,0/0/0,-12/0,1/1/1,0/0,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,22,20,20,0,18,72,5,1,0,1,454391846754054610,3398605064068647022
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,text_huihe,133800728,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon,2,3,RectTransform,0/0/0,-10.400024/4.700012,1/1/1,30/8,0.5/0.5,0.5/0.5,0/0,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,3,14,14,0,18,72,10,1,0,1,454391846754054610,3398605064068647022
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,152741087,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,10,14,RectTransform,0/0/0,167/23,1/1/1,112.02/16.01,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group/text_cizhui1,text_cizhui1,186958437,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group,0,4,RectTransform,0/0/0,0/0,1/1/1,192.8634/40.35,0/0,0/0,0.5/1,zhuangshi,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC624\uB298 \uB0A8\uC740 \uAD6C\uB9E4 \uD69F\uC218: \uC624\uB298 \uB0A8""",16,16,0,18,72,-10,1,0,1,-724809986894116682,477919381716323141
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,text_waveNum,223002552,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave,1,2,RectTransform,0/0/0,46/0,1/1/1,60/50,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,'{0}/{1}',16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName/txtLevel,txtLevel,233646414,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName,0,1,RectTransform,0/0/0,-63.09507/0,1/1/1,84/16,0/0.5,0/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,Lv.{0},18,18,0,18,72,-5,1,0,1,-724809986894116682,8649783434632076371
