node,kind,status,requiredBy,evidence,blockerIfMissing,battle58Finding
XLua.LuaEnv,xLua runtime,missing_in_restored_unity_project,YouYou.LuaManager.luaEnv and LoadUIScript,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451037,blocked_missing_xlua_runtime,still_blocking
XLua.LuaTable,xLua runtime,missing_in_restored_unity_project,LuaForm/LuaUnit scriptEnv and LuaComBinder.GetComponents,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451405,blocked_missing_xlua_runtime,still_blocking
XLua.LuaFunction,xLua runtime,missing_in_restored_unity_project,LuaManager event delegates,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451187,blocked_missing_xlua_runtime,still_blocking
YouYou.GameEntry.Lua,GameEntry,missing_in_restored_unity_project,LuaForm/LuaUnit lifecycle script loading and decoded Lua GameEntry.* calls,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:498815; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:499143,blocked_missing_gameentry_lua_manager,still_blocking
YouYou.LuaManager.LoadUIScript,LuaManager,missing_in_restored_unity_project,LuaForm/LuaUnit OnInit/Init,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502840,blocked_missing_lua_manager_loader,still_blocking
MyLoader/GetLuaBuff/LoadLuaAssetBundle,LuaManager loader,missing_in_restored_unity_project,Load decoded UI and procedure Lua bytes,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502831; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502834,blocked_missing_lua_asset_loader,still_blocking
YouYou.LuaForm,Bridge,source_backed_stub_present_not_runtime_lifecycle,UI_NormalBattle OnInit/Open,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502186,blocked_stub_does_not_execute_xlua,still_blocking
YouYou.LuaUnit,Bridge,source_backed_stub_present_not_runtime_lifecycle,UI_Battle3DUI and UI_BattleBoxPage Init/Open,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:514483,blocked_stub_does_not_execute_xlua,still_blocking
LuaComponentBinder.LuaComBinder,Bridge,source_backed_stub_present_partial_schema_only,UI_BattleBoxPage GenBox LuaUtils.GetLuaComBinder/GetComponents,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:444585,blocked_no_luatable_components,present_but_not_sufficient
YouYou.UIEventListener.onClick,Bridge,source_backed_stub_present_delegate_unbound,btn_box lines 162-178,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:513943,blocked_no_lua_closure_delegate,present_but_not_sufficient
