category,symbolOrPattern,found,evidenceFile,line,snippet,classification,handlerCandidate
xLua runtime,XLua.LuaEnv,False,,0,,not_found_in_local_evidence,
xLua runtime,XLua.LuaTable,False,,0,,not_found_in_local_evidence,
xLua runtime,XLua.LuaFunction,False,,0,,not_found_in_local_evidence,
GameEntry Lua,GameEntry.Lua,False,,0,,not_found_in_local_evidence,
LuaManager,LoadUIScript,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,471794,private static int _m_LoadUIScript(IntPtr L) { },source_backed_type_or_string_evidence_not_executable_in_restored_project,
LuaManager,GetLuaBuff,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,502834,"private byte[] GetLuaBuff(string filePath, bool isLuaUIFile) { }",source_backed_type_or_string_evidence_not_executable_in_restored_project,
Lua bridge,LuaForm,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,451540,"|-LuaTable.Set<string, LuaForm>",source_backed_bridge_type_schema_present_but_no_runtime_lifecycle,
Lua bridge,LuaUnit,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,451544,"|-LuaTable.Set<string, LuaUnit>",source_backed_bridge_type_schema_present_but_no_runtime_lifecycle,
Lua bridge,UIEventListener,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,234544,|-Component.GetComponent<UIEventListener>,source_backed_bridge_type_schema_present_but_no_runtime_lifecycle,
Lua bridge,LuaComBinder,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,444585,"public class LuaComBinder : MonoBehaviour, ILocator // TypeDefIndex: 8388",source_backed_bridge_type_schema_present_but_no_runtime_lifecycle,
UI_NormalBattle,btnAuto.onClick:AddListener,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,86,btnAuto.onClick:AddListener(,source_backed_lua_source_available,
UI_NormalBattle,btnTwoSpeed.onClick:AddListener,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,111,btnTwoSpeed.onClick:AddListener(,source_backed_lua_source_available,
UI_NormalBattle,btnFastSkill.onClick:AddListener,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,132,btnFastSkill.onClick:AddListener(,source_backed_lua_source_available,
UI_NormalBattle,btnBuff.onClick:AddListener,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,180,btnBuff.onClick:AddListener(,source_backed_lua_source_available,
UI_BattleBoxPage,UIEventListener,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua,163,"local s=a[""btn_box""].transform:GetComponent(typeof(CS.YouYou.UIEventListener))",source_backed_lua_source_available,
UI_Battle3DUI,UI_BattleBoxPage:GetComponent,True,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua,5,local e=UI_BattleBoxPage:GetComponent(typeof(CS.YouYou.LuaUnit)),source_backed_lua_source_available,
ProcedureNormalBattle,function t.SetGameSpeed,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,933,function t.SetGameSpeed(),source_backed_lua_source_available,
ProcedureNormalBattle,function t.ChangeToAuto,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,3795,function t.ChangeToAuto(t),source_backed_lua_source_available,
ProcedureNormalBattle,function t.ChangeToManual,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,3817,function t.ChangeToManual(),source_backed_lua_source_available,
ProcedureNormalBattle,function t.ChangeGameFastSkill,True,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,964,function t.ChangeGameFastSkill(),source_backed_lua_source_available,
