order,node,kind,purpose,requiredBy,localEvidenceStatus,feasibility,evidence,blockerIfMissing
01,XLua.LuaEnv,xLua managed runtime,"Create Lua VM, loaders, tables/functions",All UI Lua lifecycle and Button closure binding,generated_or_signature_only:not_verified_executable_runtime,blocked,not_found @ ,No executable local restored project runtime candidate
02,XLua.LuaTable/LuaFunction,xLua managed runtime,Expose Lua modules/delegates to C# bridge,LuaForm/LuaUnit/UIEventListener delegates,missing,blocked,not_verified_executable_runtime @ girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,Type/signature evidence only
03,XLua.LuaDLL/native plugin,xLua native bridge,Back xLua managed runtime with native Lua VM,XLua.LuaEnv,missing_or_native_only,blocked,,No editor-importable local plugin/package
04,YouYou.GameEntry.Lua,GameEntry service,Provide LuaManager service to bridge components,LuaForm/LuaUnit lifecycle and decoded GameEntry.* calls,signature_only:source_backed_type_signature_only_not_executable,blocked,not_verified_executable_runtime @ girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,GameEntry unavailable in restored Unity project
05,YouYou.LuaManager.LoadUIScript,LuaManager loader,Resolve/decrypt/load UI Lua scripts,UI_NormalBattle/UI_Battle3DUI/UI_BattleBoxPage,signature_only:source_backed_type_signature_only_not_executable,blocked,not_verified_executable_runtime @ girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,Original signatures only; no runtime object
06,LuaManager.MyLoader/GetLuaBuff/LoadLuaAssetBundle,Lua loader/decrypt path,Load decoded/source TextAsset bytes and module graph,ModulesInit/ProcedureNormalBattle/UI modules,missing,blocked,source_backed_type_signature_only_not_executable @ girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,Decoded assets exist but loader runtime missing
07,YouYou.LuaForm,bridge component,Invoke OnInit/Open and bind UI_NormalBattle closures,btnAuto/btnBuff/btnTwoSpeed/btnFastSkill,partial_schema_present:bridge_schema_present_not_lifecycle,insufficient_partial,bridge_schema_present_not_lifecycle @ girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,Bridge exists but lifecycle rows remain 0
08,YouYou.LuaUnit,bridge component,Init/Open nested battle UI units,UI_Battle3DUI and box page,partial_schema_present:bridge_schema_present_not_lifecycle,insufficient_partial,bridge_schema_present_not_lifecycle @ girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,Bridge exists but lifecycle rows remain 0
09,LuaComponentBinder.LuaComBinder,component binder,Resolve named child controls/components for Lua,UI_BattleBoxPage GenBox and UI scripts,partial_schema_present:bridge_schema_present_partial,insufficient_partial,bridge_schema_present_partial @ girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,Partial schema only; no Lua-driven dictionary lifecycle
10,YouYou.UIEventListener.onClick,UI event bridge,Bind Lua click delegate to btn_box,btn_box,delegate_unbound,blocked,bridge_schema_present_delegate_unbound @ girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,Component exists on btn_box but delegate rows remain 0
