evidenceGroup,symbolOrArtifact,path,relativePath,line,snippet,classification,localStatus,editorExecutable,reason
restored_unity_project_assets_packages,Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,110,"form.LuaScriptPath = ""/Download/xLuaLogic/Modules/MainCity/UI_NormalBattle.bytes"";",generated_probe_or_restore_evidence_not_runtime,insufficient,False,Matched BATTLE probe/report assets only; not a reusable xLua runtime implementation.
restored_unity_project_assets_packages,Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,12,public static class Battle52ConnectXluaRuntimeGameEntryModulesInitEditor,generated_probe_or_restore_evidence_not_runtime,insufficient,False,Matched BATTLE probe/report assets only; not a reusable xLua runtime implementation.
restored_unity_project_assets_packages,Battle55ValidateCanvasZeroScaleRuntimeRenderActorVisibilityEditor.cs,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle55ValidateCanvasZeroScaleRuntimeRenderActorVisibilityEditor.cs,girlswar_battle_unity\Assets\Editor\Battle55ValidateCanvasZeroScaleRuntimeRenderActorVisibilityEditor.cs,74,"summary.nextBlocker = ""USER_DECISION_OR_SOURCE_RUNTIME_REQUIRED_FOR_XLUA_GAMEENTRY_BOOTSTRAP_OR_ACTOR_RENDER_SOURCE_PATCH"";",generated_probe_or_restore_evidence_not_runtime,insufficient,False,Matched BATTLE probe/report assets only; not a reusable xLua runtime implementation.
restored_unity_project_assets_packages,Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,54,"summary.nextBlocker = ""XLUA_GAMEENTRY_MODULESINIT_HANDLER_BINDING_AND_FULL_PAYLOAD_GAPS_REMAIN"";",generated_probe_or_restore_evidence_not_runtime,insufficient,False,Matched BATTLE probe/report assets only; not a reusable xLua runtime implementation.
restored_unity_project_assets_packages,Battle58TraceXluaGameEntryModulesInitHandlerBindingEditor.cs,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle58TraceXluaGameEntryModulesInitHandlerBindingEditor.cs,girlswar_battle_unity\Assets\Editor\Battle58TraceXluaGameEntryModulesInitHandlerBindingEditor.cs,13,public static class Battle58TraceXluaGameEntryModulesInitHandlerBindingEditor,generated_probe_or_restore_evidence_not_runtime,insufficient,False,Matched BATTLE probe/report assets only; not a reusable xLua runtime implementation.
restored_unity_project_assets_packages,XLua.LuaEnv/LuaDLL executable editor runtime,,,0,,not_found,missing,False,No source-backed importable xLua editor/runtime assembly or package was found under Assets/Packages/Plugins.
restored_bridge_runtime_symbols,YouYou.LuaForm,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,106,"var form = EnsureComponent<YouYou.LuaForm>(normal.gameObject, bridgeRows, ""UI_NormalBattle"", ""YouYou.LuaForm"", ""8347263561838679580"", ""original UI_NormalBattle root bridge"");",bridge_schema_present_not_lifecycle,partial_schema_present,False,"Source-backed bridge candidate exists in restored project, but BATTLE58 shows no Lua lifecycle/delegate binding."
restored_bridge_runtime_symbols,YouYou.LuaUnit,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,321,"result.nextBlocker = ""BATTLE_51_RESTORE_SOURCE_BACKED_LUAUNIT_UIEVENTLISTENER_AND_EVENTSYSTEM_RAYCASTER_REGISTRATION"";",bridge_schema_present_not_lifecycle,partial_schema_present,False,"Source-backed bridge candidate exists in restored project, but BATTLE58 shows no Lua lifecycle/delegate binding."
restored_bridge_runtime_symbols,LuaComponentBinder.LuaComBinder,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,155,"LuaCom(""box_item"", 24, FindComponent<LuaComponentBinder.LuaComBinder>(""BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item"")),",bridge_schema_present_partial,partial_schema_present,False,"Source-backed bridge candidate exists in restored project, but BATTLE58 shows no Lua lifecycle/delegate binding."
restored_bridge_runtime_symbols,YouYou.UIEventListener,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,girlswar_battle_unity\Assets\Editor\Battle50OriginalLuaIl2cppButtonHandlerTraceEditor.cs,321,"result.nextBlocker = ""BATTLE_51_RESTORE_SOURCE_BACKED_LUAUNIT_UIEVENTLISTENER_AND_EVENTSYSTEM_RAYCASTER_REGISTRATION"";",bridge_schema_present_delegate_unbound,partial_schema_present,False,"Source-backed bridge candidate exists in restored project, but BATTLE58 shows no Lua lifecycle/delegate binding."
