skillDid,prefabId,matchedAssetName,prefabObjectName,rootChildCount,componentCount,missingScriptCount,componentTypes,particleSystemCount,animatorCount,animationCount,playableDirectorCount,rendererCount,materialCount,shaderNames,textureCount,meshCount,animationClipCount,dependencyTypeCounts,boundsSize,hasNonZeroBounds
1002101,1002101,assets/download/skillprefabsandres/1002/1002101.prefab,1002101,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:35|PlayableDirector:1|Transform:1,0/0/0,False
1002201,1002201,assets/download/skillprefabsandres/1002/1002201.prefab,1002201,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:35|PlayableDirector:1|Transform:1,0/0/0,False
1002301,1002301,assets/download/skillprefabsandres/1002/1002301.prefab,1002301,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:29|PlayableDirector:1|Transform:1,0/0/0,False
1002301,1002351,assets/download/skillprefabsandres/1002/1002351.prefab,1002351,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:27|PlayableDirector:1|Transform:1,0/0/0,False
1034101,1034101,assets/download/skillprefabsandres/1034/1034101.prefab,1034101,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:31|PlayableDirector:1|Transform:1,0/0/0,False
1034201,1034201,assets/download/skillprefabsandres/1034/1034201.prefab,1034201,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:37|PlayableDirector:1|Transform:1,0/0/0,False
1034301,1034301,assets/download/skillprefabsandres/1034/1034301.prefab,1034301,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:35|PlayableDirector:1|Transform:1,0/0/0,False
1034301,1034351,assets/download/skillprefabsandres/1034/1034351.prefab,1034351,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:37|PlayableDirector:1|Transform:1,0/0/0,False
1012101,1012101,assets/download/skillprefabsandres/1012/1012101.prefab,1012101,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:36|PlayableDirector:1|Transform:1,0/0/0,False
1012201,1012201,assets/download/skillprefabsandres/1012/1012201.prefab,1012201,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:36|PlayableDirector:1|Transform:1,0/0/0,False
1012301,1012301,assets/download/skillprefabsandres/1012/1012301.prefab,1012301,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,1,Mobile/Particles/Additive,0,0,0,GameObject:2|Material:1|MonoScript:40|ParticleSystem:1|ParticleSystemRenderer:1|PlayableDirector:1|Shader:1|Transform:2,0/0/0,False
1012301,1012351,assets/download/skillprefabsandres/1012/1012351.prefab,1012351,0,3,1,PlayableDirector:1|Transform:1,0,0,0,1,0,0,,0,0,0,GameObject:1|MonoScript:39|PlayableDirector:1|Transform:1,0/0/0,False
