actorStatus,affectedExactBundles,applied,assetPath,blocker,currentStatus,evidenceSummary,exactManifestBundle,ownerHeroDid,ownerHeroId,prefabField,prefabId,proposedStatus,reason,remainingMissingDependencyBundles,resolutionType,resolvedBundle,resolvedBundles,rowType,side,skillBundle,skillDid,waveNo
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1002,50870,prefabId,1002201,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,our,download/skillprefabsandres/1002.assetbundle,1002201,
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1002,50870,prefabId,1002301,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,our,download/skillprefabsandres/1002.assetbundle,1002301,
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1002,50870,fastPrefabId,1002351,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,our,download/skillprefabsandres/1002.assetbundle,1002301,
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1034,50874,prefabId,1034201,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,our,download/skillprefabsandres/1034.assetbundle,1034201,
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1034,50874,fastPrefabId,1034351,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,our,download/skillprefabsandres/1034.assetbundle,1034301,
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1100111,-1,prefabId,1012201,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,enemy,download/skillprefabsandres/1012.assetbundle,1012201,1
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1100111,-1,prefabId,1012301,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,enemy,download/skillprefabsandres/1012.assetbundle,1012301,1
loadable,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,True,,,loadable_with_unresolved_common_resource_deps,,,1100111,-1,fastPrefabId,1012351,loadable,local actor loadable and all exact speedline deps resolved by parent bundle,,,,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,skillPromotion,enemy,download/skillprefabsandres/1012.assetbundle,1012301,1
,,True,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/pinkspeedline/pinkspeedline.prefab,,unresolved_missing_common_bundle,BattleTimelineResMap/roster text references exact prefab asset path; assetbundles/versionfile indexes contain parent commonskillprefabsandres1.assetbundle; UnityPy inspection found parent object/container matching pinkspeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,,,,,resolved_loadable_local_bundle,allowed source-backed parent bundle resolution,,source_backed_parent_bundle_contains_prefab_object,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,,resourceUpdate,,,,
,,True,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/redspeedline/redspeedline.prefab,,unresolved_missing_common_bundle,BattleTimelineResMap/roster text references exact prefab asset path; assetbundles/versionfile indexes contain parent commonskillprefabsandres1.assetbundle; UnityPy inspection found parent object/container matching redspeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,,,,,resolved_loadable_local_bundle,allowed source-backed parent bundle resolution,,source_backed_parent_bundle_contains_prefab_object,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,,resourceUpdate,,,,
,,True,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/yellospeedline/yellospeedline.prefab,,unresolved_missing_common_bundle,BattleTimelineResMap/roster text references exact prefab asset path; assetbundles/versionfile indexes contain parent commonskillprefabsandres1.assetbundle; UnityPy inspection found parent object/container matching yellospeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,,,,,resolved_loadable_local_bundle,allowed source-backed parent bundle resolution,,source_backed_parent_bundle_contains_prefab_object,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,,resourceUpdate,,,,
,,False,,1036 actor exact bundle remains not_fetchable_local,,,,,,,,,actor blocker intentionally unchanged,,,,,unchangedActorBlocker,,,,
,,False,,enemy 1100112/1100113/1100121/1100122/1100123/1100131/1100132/1100133 remain not_resolved_from_local_evidence,,,,,,,,,actor blocker intentionally unchanged,,,,,unchangedActorBlocker,,,,
