side,waveNo,ownerHeroDid,skillDid,prefabField,prefabId,skillBundle,resolvedBundlePath,bundleExists,bundleLoadSuccess,assetPathViaGetSysprefabData,matchedAssetName,assetLoadSuccess,instantiateSuccess,casterActor,targetActor,probePosition,componentCount,missingScriptCount,componentTypes,rendererCount,enabledRendererCount,particleSystemCount,animatorCount,audioSourceCount,playableDirectorCount,playableAssetName,playableOutputCount,timelineEvaluateAttempted,boundsSize,hasNonZeroBounds,pixelDiffAgainstBaseline,visualSignalObserved,diagnosticCapture,classification,loadError
our,,1002,1002101,prefabId,1002101,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002101.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,-0.435/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1002,1002201,prefabId,1002201,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002201.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,-0.435/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1002,1002301,prefabId,1002301,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002301.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,-0.435/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1002,1002301,fastPrefabId,1002351,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002351.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,-0.435/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1034,1034101,prefabId,1034101,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034101.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s3_1034_model_1034,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,0.4725/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1034,1034201,prefabId,1034201,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034201.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s3_1034_model_1034,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,0.4725/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1034,1034301,prefabId,1034301,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034301.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s3_1034_model_1034,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,0.4725/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
our,,1034,1034301,fastPrefabId,1034351,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034351.prefab,True,True,BATTLE57_SourceBackedActor_our_w0_s3_1034_model_1034,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,0.4725/0.065/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
enemy,1,1100111,1012101,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012101.prefab,True,True,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,-0.165/0.535/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
enemy,1,1100111,1012201,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012201.prefab,True,True,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,-0.165/0.535/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
enemy,1,1100111,1012301,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012301.prefab,True,True,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,-0.165/0.535/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
enemy,1,1100111,1012301,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012351.prefab,True,True,BATTLE57_SourceBackedActor_enemy_w1_s1_1100111_model_3001,BATTLE57_SourceBackedActor_our_w0_s2_1002_model_1002,-0.165/0.535/-0.25,3,1,PlayableDirector:1|Transform:1,0,0,0,0,0,1,,0,True,0/0/0,False,0,False,,skill_asset_load_only_no_visual_signal,
