side,waveNo,ownerHeroDid,skillDid,prefabField,prefabId,skillBundle,resolvedBundlePath,bundleExists,bundleLoadSuccess,assetPathViaGetSysprefabData,matchedAssetName,assetLoadSuccess,instantiateSuccess,directorPath,playableAssetName,playableAssetType,timelineInspectable,trackCount,outputTrackCount,trackTypeNames,outputBindingTypes,outputStreamNames,exposedReferenceKeysOrProps,clipCount,controlTrackCount,activationTrackCount,signalTrackCount,animationTrackCount,audioTrackCount,initialBindingCount,missingBindingCount,particleOrControlBindingRequirement,bindingRequirementSummary
our,,1002,1002101,prefabId,1002101,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002101.prefab,True,True,BATTLE63_Diagnostic_1002_1002101,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1002,1002201,prefabId,1002201,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002201.prefab,True,True,BATTLE63_Diagnostic_1002_1002201,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1002,1002301,prefabId,1002301,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002301.prefab,True,True,BATTLE63_Diagnostic_1002_1002301,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1002,1002301,fastPrefabId,1002351,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002351.prefab,True,True,BATTLE63_Diagnostic_1002_1002351,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1034,1034101,prefabId,1034101,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034101.prefab,True,True,BATTLE63_Diagnostic_1034_1034101,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1034,1034201,prefabId,1034201,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034201.prefab,True,True,BATTLE63_Diagnostic_1034_1034201,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1034,1034301,prefabId,1034301,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034301.prefab,True,True,BATTLE63_Diagnostic_1034_1034301,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
our,,1034,1034301,fastPrefabId,1034351,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034351.prefab,True,True,BATTLE63_Diagnostic_1034_1034351,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
enemy,1,1100111,1012101,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012101.prefab,True,True,BATTLE63_Diagnostic_1100111_1012101,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
enemy,1,1100111,1012201,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012201.prefab,True,True,BATTLE63_Diagnostic_1100111_1012201,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
enemy,1,1100111,1012301,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012301.prefab,True,True,BATTLE63_Diagnostic_1100111_1012301,,,False,,,,,,,,,,,,,,,,PlayableDirector has no accessible playableAsset object; original TimelineAsset binding/type bridge is required.
