evidenceType,sourceFile,line,text,implication
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,101,e.CurrTimelineEffectAttackPointCount=0,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,170,e.isTimeLine=false,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6019,function t.ResetHpHealthInTimeLine(),"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6020,e.OurTeam:ResetHpHealthInTimeLine(),"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6021,e.EnemyTeam:ResetHpHealthInTimeLine(),"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6581,function t.BackupAllHeroBeforeTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6583,e:BackupBeforeTimeLine(),"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6586,function t.RestoreAllHeroAfterTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_buildpatch_playtimeline,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6757,"function t.PlayTimeLinenPreview(t,a)","Original runtime starts timeline playback through BuildPatchMgr/TimelineEffect, not raw prefab activation."
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6765,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=e:GetComponent(typeof(CS.YouYou.TimelineEffect)),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
