file,line,evidenceKind,lineText,inference,trueAspectImpact
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,20,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle57RuntimeRehydratedAssetBundleActorsCandidate_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,21,capture_path_16x9,"private const string BaselineCapturePath = ""Assets/RestoreCaptures/battle_actor/Battle57RuntimeRehydratedAssetBundleActorsCandidate_without_actors_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,22,capture_path_16x9,"private const string DiffCapturePath = ""Assets/RestoreCaptures/battle_actor/Battle57RuntimeRehydratedAssetBundleActorsCandidate_actor_diff_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,27,capture_width,private const int CaptureWidth = 1920;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,28,capture_height,private const int CaptureHeight = 1080;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,90,camera_pixelrect,summary.captureCameraPixelRect = RectString(camera.pixelRect);,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,92,orthographic_size,summary.captureCameraOrthographicSize = camera.orthographicSize;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,142,save_scene,"summary.sceneSaved = EditorSceneManager.SaveScene(scene, OutputScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,453,camera_pixelrect,"row[""cameraPixelRect""] = camera != null ? RectString(camera.pixelRect) : """";",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,472,camera_pixelrect,"var rect = PixelRect(camera, actor.lastBounds, baseline.width, baseline.height);",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,496,render_texture,"var rt = new RenderTexture(CaptureWidth, CaptureHeight, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,503,texture2d,"var tex = new Texture2D(CaptureWidth, CaptureHeight, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,504,read_pixels,"tex.ReadPixels(new Rect(0, 0, CaptureWidth, CaptureHeight), 0, 0);",pixel_readback_size_matches_render_texture_or_constants,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,517,texture2d,"var diff = new Texture2D(a.width, a.height, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,554,orthographic_size,camera.orthographicSize = 5f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,567,orthographic_size,if (camera.orthographicSize <= 0f) camera.orthographicSize = 5f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,583,camera_pixelrect,"private static RectInt PixelRect(Camera camera, Bounds bounds, int width, int height)",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,590,camera_pixelrect,float sx = camera.pixelRect.width > 0f ? width / camera.pixelRect.width : 1f;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,591,camera_pixelrect,float sy = camera.pixelRect.height > 0f ? height / camera.pixelRect.height : 1f;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,592,camera_pixelrect,float px = (sp.x - camera.pixelRect.x) * sx;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,593,camera_pixelrect,float py = (sp.y - camera.pixelRect.y) * sy;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle57RehydrateSourceBackedAssetBundleActorsEditor.cs,649,camera_pixelrect,"var rect = PixelRect(camera, bounds, CaptureWidth, CaptureHeight);",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,20,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle51LuaBridgeRaycasterRegistrationCandidate_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,81,save_scene,"EditorSceneManager.SaveScene(scene, ScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,436,640_480_probe,"DestroyTexture(RenderCamera(camera, 640, 480, null));",raycast_depth_probe_uses_camera_pixelrect_size_not_reference_aspect,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,565,orthographic_size,if (camera.orthographicSize < 1f) camera.orthographicSize = 540f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,567,camera_aspect,camera.ResetAspect();,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,576,render_camera_1920_1080_call,"DestroyTexture(RenderCamera(camera, 1920, 1080, path));",public_build_uses_1920x1080,blocks_existing_true_capture
