routePath,sourceTable,activeSelf,activeInHierarchy,siblingIndex,siblingCount,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,sourceEvidence,runtimeControlEvidence,classification,proposedExactChange
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top,routes,True,True,1,14,0/340,1/1/1,0/0,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,route exists in BATTLE54/BATTLE69 source join; no source-backed runtime state delta proven,analysis_only,no route transform patch in BATTLE70; compare after map/view framing is corrected
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter,routes,True,True,0,1,0/-10,1/1/1,0/0,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,routes,True,True,1,4,195/-43,1/1/1,406/87,0.5/1,0.5/1,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/bg_guanzhi,routes,True,True,5,14,159/29,0.7/0.7/1,160/117,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/bg_guanzhi/text_guan_num,routes,True,True,0,1,1/10,1/1/1,0/15,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_chengzhan_zhan,routes,False,False,11,14,-130/-20,0.66999996/0.66999996/0.66999996,39/39,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask,routes,True,True,2,14,159/0,1/1/1,89/90,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask/imgPlayerHeadIcon,routes,True,True,0,1,0/0,1/1/1,89/90,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_toukuang,routes,False,False,3,14,160/0,1/1/1,120/120,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgBG,routes,True,True,0,14,206/4,-1/1/1,283/96,0.5/1,0.5/1,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask,routes,False,False,1,14,159/1.8,1/1/1,86/84,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG,routes,True,True,4,14,-20/5,1/1/1,280/25,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/bg,routes,True,True,0,5,0/0,1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerHP,routes,True,True,2,5,0/0,-1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerHP_Red,routes,True,True,1,5,0/0,-1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
