path,name,focusGroup,fieldName,observedValue,sourceOwner,sourceEvidence,classification,reason,patchDecision
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_1/UI_BattleHeroItem/starts/im_start1,im_start1,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_1/ScrollViewGrid,ScrollViewGrid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_3/UI_BattleHeroItem,UI_BattleHeroItem,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff/im_new_buff/im_new,im_new,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,txt_chengzhan_server,top_hud,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_2/UI_BattleHeroItem/starts/im_start7,im_start7,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_3/UI_BattleHeroItem/starts/im_start6,im_start6,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/im_bg,im_bg,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/im_bg_left,im_bg_left,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_2/bg,bg,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,text_huihe,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,btnAuto,right_rail,Button/interactable/listeners,enabled=True; interactable=True; persistent=0; target=BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,UI_NormalBattle.lua,"lines 86-110, 404-407, 441-445, 518-520, 1494+",handler_or_xlua_required,original onClick/listener binding is still blocked by xLua/GameEntry/ModulesInit runtime absence,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,btnAuto,right_rail,Graphic/Image,enabled=True; raycast=True; sprite=; alpha=1; depth=-1,UI_NormalBattle.lua,"lines 86-110, 404-407, 441-445, 518-520, 1494+",handler_or_xlua_required,"visible graphic fields may be static, but final right-rail/top-HUD state is runtime-owned or needs snapshot",no_patch_in_battle73
