sourceKind,sourcePath,sourceName,sourceActiveSelf,sourceActiveInHierarchy,sourceSiblingIndex,sourceAnchoredPosition,sourceLocalScale,sourceSizeDelta,sourceHasMaskComponent,sourceMaskComponentType,sourceShowMaskGraphic,sourceMaskScriptRef,sourceEvidence,matchKind,candidatePath,candidateActiveSelf,candidateActiveInHierarchy,candidateMissingScriptCount,candidateComponentTypes,candidateHasMask,candidateMaskEnabled,candidateMaskShowMaskGraphic,candidateHasRectMask2D,candidateRectMaskEnabled,candidateHasMaskNamedComponent,candidateLoadedComponent,componentGap,routeKnownInB54OrB70,sourceOwner,ownerSourceEvidence,ownershipRationale,primaryClassification,patchDecision
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask,imgMask,False,False,1,159/1.8,1/1/1,86/84,False,,,,name-only mask candidate,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,False,False,False,False,False,False,mask_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/node_buff/ScrollViewBuff/Viewport,Viewport,True,True,0,0/0,1/1/1,0/0,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask,im_mask,True,True,2,159/0,1/1/1,89/90,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask,True,True,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>,False,False,False,False,False,False,False,mask_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/imgMask,imgMask,False,False,4,4.5/-2.1,1/1/1,127/119,False,,,,name-only mask candidate,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,BATTLE54 serialized source row,BATTLE54 TMP/mask audit row,outside B73 focused HUD/right rail set or not enough owner evidence,component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask,imgMask,False,False,4,4.5/-2.0999985,1/1/1,127/119,False,,,,name-only mask candidate,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/imgMask,imgMask,False,False,4,4.5/-2.0999985,1/1/1,127/119,False,,,,name-only mask candidate,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask,im_mask,True,True,2,-142/0,1/1/1,89/90,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask,True,True,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>,False,False,False,False,False,False,False,mask_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/im_mask,im_mask,True,False,2,-220/-33,0.64/0.64/1,145/145,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/im_mask,im_mask,True,False,0,0/-38,1/1/1,97/97,True,UnityEngine.UI.Mask(serialized_missing_script),0,0,component has m_ShowMaskGraphic,none,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
mask,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask,imgMask,False,False,1,-141/1,1/1/1,86/84,False,,,,name-only mask candidate,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;BattleHudExtractedSpriteBindingMarker25;UnityEngine.UI.Image,False,False,False,False,False,False,False,mask_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
