sourceKind,sourcePath,sourceName,sourceActiveSelf,sourceActiveInHierarchy,sourceSiblingIndex,sourceAnchoredPosition,sourceLocalScale,sourceSizeDelta,sourceText,sourceFontSize,sourceFontSizeBase,sourceEnableAutoSizing,sourceFontSizeMin,sourceFontSizeMax,sourceCharacterSpacing,sourceCharacterHorizontalScale,sourceFontAssetRef,sourceSharedMaterialRef,matchKind,candidatePath,candidateActiveSelf,candidateActiveInHierarchy,candidateMissingScriptCount,candidateComponentTypes,candidateHasTmpText,candidateTmpText,candidateTmpFontSize,candidateTmpEnableAutoSizing,candidateTmpFontSizeMin,candidateTmpFontSizeMax,candidateTmpCharacterSpacing,candidateTmpFont,candidateTmpMaterial,candidateLoadedComponent,componentGap,routeKnownInB54OrB70,sourceOwner,sourceEvidence,ownershipRationale,primaryClassification,patchDecision
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,txtLevel,True,False,5,40.6/-26,1/1/1,70/17.9899,Lv.999,20,20,0,18,72,-5,1,-724809986894116682,8649783434632076371,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_level,text_level,True,False,10,0/-39.5,1/1/1,80/12,Lv.21,15,15,0,18,72,0,1,-724809986894116682,3932716197974622303,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,txt_chengzhan_server,True,False,0,-1/0,1/1/1,40.020004/16.01,'[s23]',16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,True,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_num,text_num,True,False,11,32/-27,1/1/1,65/15,X10,16,16,0,18,72,0,1,-724809986894116682,3932716197974622303,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/trans_battle_box/text_battle_box_count,text_battle_box_count,True,True,0,-12/0,1/1/1,0/0,22,20,20,0,18,72,5,1,454391846754054610,3398605064068647022,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,text_huihe,False,False,2,-10.400024/4.700012,1/1/1,30/8,3,14,14,0,18,72,10,1,454391846754054610,3398605064068647022,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,original prefab + UI_NormalBattle.lua,BATTLE70 route HUD matrix; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,right rail active/state children require original runtime snapshot before patching,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,False,False,10,167/23,1/1/1,112.02/16.01,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,False,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group/text_cizhui1,text_cizhui1,True,True,0,0/0,1/1/1,192.8634/40.35,"""\uC624\uB298 \uB0A8\uC740 \uAD6C\uB9E4 \uD69F\uC218: \uC624\uB298 \uB0A8""",16,16,0,18,72,-10,1,-724809986894116682,477919381716323141,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,text_waveNum,True,True,1,46/0,1/1/1,60/50,'{0}/{1}',16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,True,True,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName/txtLevel,txtLevel,True,False,0,-63.09507/0,1/1/1,84/16,Lv.{0},18,18,0,18,72,-5,1,-724809986894116682,8649783434632076371,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
