candidateActiveInHierarchy,candidateActiveSelf,candidateComponentTypes,candidateHasMask,candidateHasMaskNamedComponent,candidateHasRectMask2D,candidateHasTmpText,candidateLoadedComponent,candidateMaskEnabled,candidateMaskShowMaskGraphic,candidateMissingScriptCount,candidatePath,candidateRectMaskEnabled,candidateTmpCharacterSpacing,candidateTmpEnableAutoSizing,candidateTmpFont,candidateTmpFontSize,candidateTmpFontSizeMax,candidateTmpFontSizeMin,candidateTmpMaterial,candidateTmpText,componentGap,matchKind,ownerSourceEvidence,ownershipRationale,patchDecision,primaryClassification,routeKnownInB54OrB70,sourceActiveInHierarchy,sourceActiveSelf,sourceAnchoredPosition,sourceCharacterHorizontalScale,sourceCharacterSpacing,sourceEnableAutoSizing,sourceEvidence,sourceFontAssetRef,sourceFontSize,sourceFontSizeBase,sourceFontSizeMax,sourceFontSizeMin,sourceHasMaskComponent,sourceKind,sourceLocalScale,sourceMaskComponentType,sourceMaskScriptRef,sourceName,sourceOwner,sourcePath,sourceSharedMaterialRef,sourceShowMaskGraphic,sourceSiblingIndex,sourceSizeDelta,sourceText
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,False,True,40.6/-26,1,-5,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,-724809986894116682,20,20,72,18,,tmp,1/1/1,,,txtLevel,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,8649783434632076371,,5,70/17.9899,Lv.999
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,False,True,0/-39.5,1,0,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,-724809986894116682,15,15,72,18,,tmp,1/1/1,,,text_level,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_level,3932716197974622303,,10,80/12,Lv.21
False,True,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,,,,False,False,,,2,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,,,False,,,,,,,tmp_component_absent_or_unresolved_missing_script_in_candidate,exact,,"TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",no_patch_in_battle74,component_rehydration_required,True,False,True,-1/0,1,0,0,"lines 222, 467-489, 1194, 1218, 1224",-724809986894116682,16,16,72,18,,tmp,1/1/1,,,txt_chengzhan_server,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,8649783434632076371,,0,40.020004/16.01,'[s23]'
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,False,True,32/-27,1,0,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,-724809986894116682,16,16,72,18,,tmp,1/1/1,,,text_num,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/text_num,3932716197974622303,,11,65/15,X10
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,True,True,-12/0,1,5,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,454391846754054610,20,20,72,18,,tmp,1/1/1,,,text_battle_box_count,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/trans_battle_box/text_battle_box_count,3398605064068647022,,0,0/0,22
False,False,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,,,,False,False,,,1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,,,False,,,,,,,tmp_component_absent_or_unresolved_missing_script_in_candidate,exact,,right rail active/state children require original runtime snapshot before patching,no_patch_in_battle74,component_rehydration_required,True,False,False,-10.400024/4.700012,1,10,0,BATTLE70 route HUD matrix; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,454391846754054610,14,14,72,18,,tmp,1/1/1,,,text_huihe,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/text_huihe,3398605064068647022,,2,30/8,3
False,False,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,,,,False,False,,,2,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,,,False,,,,,,,tmp_component_absent_or_unresolved_missing_script_in_candidate,exact,,"TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",no_patch_in_battle74,component_rehydration_required,True,False,False,167/23,1,0,0,"lines 222, 467-489, 1194, 1218, 1224",-724809986894116682,16,16,72,18,,tmp,1/1/1,,,txt_chengzhan_FirstAttack,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,8649783434632076371,,10,112.02/16.01,"""\uC120\uC81C \uAC12: 1233214"""
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,True,True,0/0,1,-10,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,-724809986894116682,16,16,72,18,,tmp,1/1/1,,,text_cizhui1,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group/text_cizhui1,477919381716323141,,0,192.8634/40.35,"""\uC624\uB298 \uB0A8\uC740 \uAD6C\uB9E4 \uD69F\uC218: \uC624\uB298 \uB0A8"""
True,True,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,,,,False,False,,,1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,,,False,,,,,,,tmp_component_absent_or_unresolved_missing_script_in_candidate,exact,,"TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",no_patch_in_battle74,component_rehydration_required,True,True,True,46/0,1,0,0,"lines 222, 467-489, 1194, 1218, 1224",-724809986894116682,16,16,72,18,,tmp,1/1/1,,,text_waveNum,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,8649783434632076371,,1,60/50,'{0}/{1}'
,,,,,,,False,,,,,,,,,,,,,,source_row_not_present_in_b73_candidate_focus_or_path_missing,none,,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",no_patch_in_battle74,component_rehydration_required,True,False,True,-63.09507/0,1,-5,0,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,-724809986894116682,18,18,72,18,,tmp,1/1/1,,,txtLevel,original prefab + UI_NormalBattle.lua,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName/txtLevel,8649783434632076371,,0,84/16,Lv.{0}
