kind,objectPath,fieldName,currentCandidateValue,sourceValue,requiredSnapshotOwner,requiredRuntimeObjectOrModule,whyRequired,classification,allowedAcquisition,patchUnlockedBy
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,activeSelf,True,True,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,activeInHierarchy,False,False,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,enabled,,,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,parentActiveChain,,,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,siblingIndex,5,5,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,anchorMin,0.5/0.5,0.5/0.5,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,anchorMax,0.5/0.5,0.5/0.5,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,pivot,0.5/0.5,0.5/0.5,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,sizeDelta,70/17.9899,70/17.9899,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtLevel,anchoredPosition,40.6/-26,40.6/-26,original prefab + UI_NormalBattle.lua,original runtime UI scene after UI_NormalBattle.Open / ModulesInit.ProcedureNormalBattle init,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,approved runtime snapshot/dump only; no APK/emulator instrumentation in BATTLE74,source-backed runtime snapshot plus resolved TMP/Mask component type/script evidence
