category,bundle,size,parse_status,object_count,type_counts
battle_audio_preserved,download/audio/battle.assetbundle,417728,,,
battle_audio_preserved,download/audio/battlese.assetbundle,1754799,,,
battle_audio_preserved,download/audio/battlese_2.assetbundle,1881754,,,
battle_audio_preserved,download/audio/battlese_3.assetbundle,2654280,,,
battle_audio_preserved,download/audio/battlese_4.assetbundle,1946414,,,
battle_audio_preserved,download/audio/battlese_5.assetbundle,2179598,,,
battle_audio_preserved,download/audio/battlese_6.assetbundle,16620681,,,
battle_audio_preserved,download/audio/battlese_common.assetbundle,64703,,,
battle_audio_preserved,download/audio/battlesimple.assetbundle,2112044,,,
battle_audio_preserved,download/audio/battlesimple_1.assetbundle,735463,,,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,783345,,651,"{""GameObject"": 137, ""MonoBehaviour"": 83, ""Transform"": 75, ""ParticleSystem"": 72, ""ParticleSystemRenderer"": 72, ""RectTransform"": 62, ""CanvasRenderer"": 61, ""Material"": 33, ""Texture2D"": 16, ""AnimationClip"": 15, ""MonoScript"": 10, ""AnimatorController"": 7, ""Sprite"": 3, ""TextAsset"": 2, ""AssetBundle"": 1, ""SortingGroup"": 1, ""Shader"": 1}"
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_1.assetbundle,1536862,,34,"{""MonoBehaviour"": 8, ""TextAsset"": 4, ""MonoScript"": 4, ""Material"": 3, ""MeshFilter"": 2, ""Canvas"": 2, ""MeshRenderer"": 2, ""RectTransform"": 2, ""Texture2D"": 2, ""Mesh"": 2, ""GameObject"": 2, ""AssetBundle"": 1}"
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_2.assetbundle,11602,,5,"{""AnimatorController"": 2, ""AnimationClip"": 2, ""AssetBundle"": 1}"
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_3.assetbundle,188798,,31,"{""MonoBehaviour"": 5, ""TextAsset"": 4, ""Material"": 4, ""Texture2D"": 3, ""GameObject"": 3, ""MonoScript"": 3, ""ParticleSystemRenderer"": 2, ""Transform"": 2, ""ParticleSystem"": 2, ""RectTransform"": 1, ""AssetBundle"": 1, ""CanvasRenderer"": 1}"
