category,bundle,path_id,type,name,width,height,output,error
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-2071933353561226673,Sprite,,,,,Cannot cast ufunc 'solve1' input 1 from dtype('O') to dtype('float64') with casting rule 'same_kind'
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_04af58272865b4a7/images/T/8501139332677272989_Default-Particle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,8207152611569773192,Texture2D,bxsjsg,336,372,extracted/unity/bundles/b_04af58272865b4a7/images/T/8207152611569773192_bxsjsg.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,3670848891985825398,Sprite,dilanxuetiao_nvqi_2,108,6,extracted/unity/bundles/b_04af58272865b4a7/images/S/3670848891985825398_dilanxuetiao_nvqi_2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,9014090733015427812,Texture2D,dilanxuetiao_nvqi_2,108,6,extracted/unity/bundles/b_04af58272865b4a7/images/T/9014090733015427812_dilanxuetiao_nvqi_2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,1379802198707914754,Texture2D,fadong,1024,512,extracted/unity/bundles/b_04af58272865b4a7/images/T/1379802198707914754_fadong.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-2285627082823965640,Texture2D,hk0001,128,128,extracted/unity/bundles/b_04af58272865b4a7/images/T/-2285627082823965640_hk0001.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,1275396255807337763,Texture2D,ht,70,5,extracted/unity/bundles/b_04af58272865b4a7/images/T/1275396255807337763_ht.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,3219719467052073182,Sprite,ht,70,5,extracted/unity/bundles/b_04af58272865b4a7/images/S/3219719467052073182_ht.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-69747363691429118,Texture2D,huoba (00000),256,512,extracted/unity/bundles/b_04af58272865b4a7/images/T/-69747363691429118_huoba (00000).png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-4799281243849372536,Texture2D,huoba3,256,512,extracted/unity/bundles/b_04af58272865b4a7/images/T/-4799281243849372536_huoba3.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-2655477566029260718,Texture2D,huoz1,512,256,extracted/unity/bundles/b_04af58272865b4a7/images/T/-2655477566029260718_huoz1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,2671427881479464475,Texture2D,pyqq1,128,128,extracted/unity/bundles/b_04af58272865b4a7/images/T/2671427881479464475_pyqq1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,1552810974480570284,Texture2D,sjt,52,64,extracted/unity/bundles/b_04af58272865b4a7/images/T/1552810974480570284_sjt.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,6380779524117594334,Texture2D,touxiangkuang,89,89,extracted/unity/bundles/b_04af58272865b4a7/images/T/6380779524117594334_touxiangkuang.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,9058759092504018272,Texture2D,ui_urex1,52,64,extracted/unity/bundles/b_04af58272865b4a7/images/T/9058759092504018272_ui_urex1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle.assetbundle,-7284773051710473827,Texture2D,ui_urex11,512,512,extracted/unity/bundles/b_04af58272865b4a7/images/T/-7284773051710473827_ui_urex11.png,
