rowType,localStatus,side,waveNo,slot,payloadHeroDid,payloadHeroId,ownerHeroDid,ownerHeroId,skillDid,skillType,prefabField,prefabId,bundle,bundleExists,missingDependencyBundles,reason,source
actor,not_fetchable_local,our,,1,1036,51469,,,,,,1036,download/roleprefabsandres/battleprefabandres/1036.assetbundle,False,,1036 actor bundle is present in CDNVersionFile but absent locally; CDN acquisition trace found no asset CDN build rule,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,loadable,our,,2,1002,50870,,,,,,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,True,,actor bundle and spine evidence exist locally,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,loadable,our,,3,1034,50874,,,,,,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,True,,actor bundle and spine evidence exist locally,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,loadable,enemy,1,1,1100111,-1,,,,,,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,True,,actor bundle and spine evidence exist locally,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,1,2,1100112,-2,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,1,3,1100113,-3,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,2,1,1100121,-1,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,2,2,1100122,-2,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,2,3,1100123,-3,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,3,1,1100131,-1,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,3,2,1100132,-2,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
actor,unresolved_enemy_payload_instance,enemy,3,3,1100133,-3,,,,,,,,False,,payload enemy id has no authoritative DTMonster_* row or alias in local evidence,GIRLSWAR_CHARACTER_ROSTER.json actors + deep trace status rules
skill,data_only_missing_actor,our,,,,,1036,51469,1036101,1,prefabId,1036101,download/skillprefabsandres/1036.assetbundle,True,,"timeline resolves, but owner actor is not_fetchable_local",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,our,,,,,1036,51469,1036201,1,prefabId,1036201,download/skillprefabsandres/1036.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"timeline resolves, but owner actor is not_fetchable_local",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,our,,,,,1036,51469,1036301,1,prefabId,1036301,download/skillprefabsandres/1036.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,"timeline resolves, but owner actor is not_fetchable_local",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,our,,,,,1036,51469,1036301,1,fastPrefabId,1036351,download/skillprefabsandres/1036.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,"timeline resolves, but owner actor is not_fetchable_local",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,our,,,,,1036,51469,1036401,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,our,,,,,1036,51469,1036402,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable,our,,,,,1002,50870,1002101,1,prefabId,1002101,download/skillprefabsandres/1002.assetbundle,True,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,our,,,,,1002,50870,1002201,1,prefabId,1002201,download/skillprefabsandres/1002.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,our,,,,,1002,50870,1002301,1,prefabId,1002301,download/skillprefabsandres/1002.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,our,,,,,1002,50870,1002301,1,fastPrefabId,1002351,download/skillprefabsandres/1002.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable,our,,,,,1034,50874,1034101,1,prefabId,1034101,download/skillprefabsandres/1034.assetbundle,True,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,our,,,,,1034,50874,1034201,1,prefabId,1034201,download/skillprefabsandres/1034.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable,our,,,,,1034,50874,1034301,1,prefabId,1034301,download/skillprefabsandres/1034.assetbundle,True,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,our,,,,,1034,50874,1034301,1,fastPrefabId,1034351,download/skillprefabsandres/1034.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,our,,,,,1034,50874,1034401,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,our,,,,,1034,50874,1034402,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable,enemy,1,,,,1100111,-1,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,enemy,1,,,,1100111,-1,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,enemy,1,,,,1100111,-1,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,loadable_with_unresolved_common_resource_deps,enemy,1,,,,1100111,-1,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,enemy,1,,,,1100111,-1,1012401,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,enemy,1,,,,1100111,-1,1012403,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,enemy,1,,,,1100112,-2,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,enemy,1,,,,1100112,-2,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,enemy,1,,,,1100112,-2,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,enemy,1,,,,1100112,-2,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,enemy,1,,,,1100112,-2,1012401,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,passive_no_timeline,enemy,1,,,,1100112,-2,1012403,2,,,,False,,passive-style skill row has no DTSkillAct prefab/timeline mapping,GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
skill,data_only_missing_actor,enemy,1,,,,1100113,-3,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",GIRLSWAR_CHARACTER_ROSTER.json skills + resource dependency checks
