file,line,needle
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,588,function t.BeginBattleWithServer_FightPlay()
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,590,JsonUtil.decode(t).battleInfo
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,609,function t.PlayFightClientBattle
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,590,DTmodelRow=n.GetEntity(o)
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,591,self.PrefabId=self.DTmodelRow.prefabId
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,613,self.DTMonsterRow=t.GetEntity(self.heroDid)
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,850,self.DTHeroRow=s.GetEntity(self.heroDid)
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,1299,CS.Spine.Unity.SkeletonAnimation
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/4144069477662196776_BattleResPreloadMgr_security_xor_raw.lua,,function t.GetHeroSkillIds
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/4144069477662196776_BattleResPreloadMgr_security_xor_raw.lua,36,LuaUtils.GetSysprefabData
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/4144069477662196776_BattleResPreloadMgr_security_xor_raw.lua,,BattleTimelineResMap[t.AssetPath]
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/4144069477662196776_BattleResPreloadMgr_security_xor_raw.lua,68,PlaySkillPrefabAndRemoveAsyncPreload
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7799402437590767611_BattleTimelineResMap_security_xor_raw.lua,13,"[""Assets/Download/SkillPrefabsAndRes/1002/1002101.prefab""]"
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7799402437590767611_BattleTimelineResMap_security_xor_raw.lua,2,"[""prefab""]="
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7799402437590767611_BattleTimelineResMap_security_xor_raw.lua,2,"[""audio""]="
girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7799402437590767611_BattleTimelineResMap_security_xor_raw.lua,2,"[""video""]="
