bundle,path_id,name,raw_size,prefix4,best_attempt,classification,score,printable_ratio,lua_marker_count,decoded_output,preview
download/xlualogic/modules/battle.assetbundle,-9039276800231007573,BattleData,266,A-EV,security_xor_raw,lua_like_text,200,1.0,5,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-9039276800231007573_BattleData_security_xor_raw.lua,"local e=Class(""BattleData"")\nfunction e:__init()\nself.data={}\nself.refreshedCallback=nil\nend\nfunction e:SetRefreshedCallback(e)\nself.refreshe"
download/xlualogic/modules/battle.assetbundle,-8644466182596718973,BaseState,187,A-EV,security_xor_raw,lua_like_text,186,1.0,4,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-8644466182596718973_BaseState_security_xor_raw.lua,"local e={\n}\nfunction e:New(t)\nself.__index=self\nlocal e=setmetatable({},self)\ne.state=t\nreturn e\nend\nfunction e:OnEnter()\nend\nfunction e:OnU"
download/xlualogic/modules/battle.assetbundle,-8262218030809429078,IdleState,2543,A-EV,security_xor_raw,lua_like_text,228,1.0,7,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-8262218030809429078_IdleState_security_xor_raw.lua,"local e=require(""Modules/Battle/HeroState/BaseState"")\nlocal t={}\nfunction t:New(t)\nself.__index=self\nlocal e=e:New(HeroState.Idle)\ne.HeroCtr"
download/xlualogic/modules/battle.assetbundle,-8045574060050424080,BaseProcedureBattle,521,A-EV,security_xor_raw,lua_like_text,200,1.0,5,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-8045574060050424080_BaseProcedureBattle_security_xor_raw.lua,"local e=Class('BaseProcedureBattle',{})\nfunction e:__init()\nself.isBlocking=false\nend\nfunction e:OnInit(e)\n\ne.totalDic={}\nend\nfunction e:Aft"
download/xlualogic/modules/battle.assetbundle,-7910455586439828426,LeaveState,401,A-EV,security_xor_raw,lua_like_text,228,1.0,7,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-7910455586439828426_LeaveState_security_xor_raw.lua,"local t=require(""Modules/Battle/HeroState/BaseState"")\nlocal e={}\nfunction e:New(a)\nself.__index=self\nlocal e=t:New(HeroState.Leave)\ne.HeroCt"
download/xlualogic/modules/battle.assetbundle,-7877228141847976083,GlobalBattleEffectMgr,2719,A-EV,security_xor_raw,lua_like_text,200,1.0,5,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-7877228141847976083_GlobalBattleEffectMgr_security_xor_raw.lua,"local t={\nBattleEffectDic=nil,\n}\nlocal e=t\nfunction t.Init()\ne.BattleEffectDic={}\nend\nfunction t.Dispose()\nfor a,t in pairs(e.BattleEffectDi"
download/xlualogic/modules/battle.assetbundle,-6782040550434736853,BattleTreasureWord,1553,A-EV,security_xor_raw,lua_like_text,214,1.0,6,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-6782040550434736853_BattleTreasureWord_security_xor_raw.lua,"local i=require(""Modules/Battle/BattleUtil"")\nlocal t=nil\nfunction OnInit(e)\nend\nfunction OnOpen(e)\nLuaUtils.SetChildrenActive(rootTrans.tran"
download/xlualogic/modules/battle.assetbundle,-6435551653323996019,HeroBuffValueInfo,147,e'TX,security_xor_raw,lua_like_text,200,1.0,5,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-6435551653323996019_HeroBuffValueInfo_security_xor_raw.lua,"HeroBuffValueInfo={}\nfunction HeroBuffValueInfo:New()\nlocal e={\nbuffId=0,\nattrId=0,\nvalue=0\n}\nsetmetatable(e,self)\nself.__index=self\nreturn "
download/xlualogic/modules/battle.assetbundle,-6214420066575444164,BattleInput,111,A-EV,security_xor_raw,lua_like_text,200,1.0,5,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-6214420066575444164_BattleInput_security_xor_raw.lua,"local e=Class(""BattleInput"")\nfunction e:__init(t,e,a)\nself.heroId=t\nself.isBig=e\nself.targetId=a\nend\nreturn e \n"
download/xlualogic/modules/battle.assetbundle,-5762981643748165001,BlockState,503,A-EV,security_xor_raw,lua_like_text,228,1.0,7,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-5762981643748165001_BlockState_security_xor_raw.lua,"local e=require(""Modules/Battle/HeroState/BaseState"")\nlocal t={}\nfunction t:New(t)\nself.__index=self\nlocal e=e:New(HeroState.Block)\ne.HeroCt"
