absolutePath,relativeToProject,size,sha256Prefix16,reasonFound,startsWithUnityFS,unityFsOffset,headerClassification,headerAscii,headerHex,unityPyAvailable,unityPyLoadOk,objectCount,metadataMatches,unityPyError,classification,classificationReason,nextAction
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,girlswar_merged_extracted/extracted/unity/clean_unityfs_slices/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,1823276,813f8686389be220,exact_filename_1036_assetbundle,True,0,unityfs_direct,UnityFS.....5.x.x.2020.2.1f1....,556e69747946530000000007352e782e7800323032302e322e31663100000000,True,True,32,AssetBundle:download/roleprefabsandres/rolebigsetpainting/1036.ab|Material:JJC_arena_1036|Material:PHB_fightranklist_1036|Sprite:1036|Sprite:1036_2|Sprite:1036_marry|Sprite:1036_marry_card|Sprite:1036_marry_dote|Sprite:1036_marry_dz|Sprite:1036_marry_ring_select|Sprite:1036_marry_ring_select_2|Sprite:PHB_zhezhao_1036|Sprite:Storyreview_1036|Sprite:T_ditu_1036|Sprite:T_ditu_marry_1036|Sprite:homepage_underwear_1036|Sprite:starHeroName_1036|Texture2D:1036|Texture2D:1036_2|Texture2D:1036_marry|Texture2D:1036_marry_card|Texture2D:1036_marry_dote|Texture2D:1036_marry_dz|Texture2D:1036_marry_ring_select|Texture2D:1036_marry_ring_select_2|Texture2D:JJC_zhezhao_1036|Texture2D:PHB_zhezhao_1036|Texture2D:Storyreview_1036|Texture2D:T_ditu_1036|Texture2D:T_ditu_marry_1036|Texture2D:homepage_underwear_1036|Texture2D:starHeroName_1036,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1036.assetbundle,girlswar_merged_extracted/extracted/unity/clean_unityfs_slices/download/skillprefabsandres/1036.assetbundle,341520,217ab2a5ab784aac,exact_filename_1036_assetbundle,True,0,unityfs_direct,UnityFS.....5.x.x.2020.2.1f1....,556e69747946530000000007352e782e7800323032302e322e31663100000000,True,True,695,AnimationClip:1036skillzzz1|AnimatorController:1036skillbd|AssetBundle:download/skillprefabsandres/1036.ab|GameObject:1036101|GameObject:1036201|GameObject:1036202|GameObject:1036301|GameObject:1036302|GameObject:1036303|GameObject:1036304|GameObject:1036351|GameObject:1036352|GameObject:1036353|GameObject:1036354|GameObject:1036bd|GameObject:1036bp|GameObject:1036dunbd|GameObject:1036skillbd|GameObject:1036ultzhlz|GameObject:1036zishensg|Material:1036bp|Material:1036clz1|Material:1036dgx2|Material:1036dunzhuan|Material:1036gcai|Material:1036gy|Material:1036gy1|Material:1036qq1|Material:1036xl111|Material:1036xx1|Material:1036yan1|Material:1036zzt|MonoBehaviour:1036101|MonoBehaviour:1036201|MonoBehaviour:1036301|MonoBehaviour:1036304|MonoBehaviour:1036351|MonoBehaviour:1036354,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,girlswar_merged_extracted/merged_content/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,1825731,5615937514b28f78,exact_filename_1036_assetbundle,False,2455,known_wrapper_or_prefix_before_unityfs,nii..FFUnnnnnnnnnnnn.nnn.n0nnn2n,6e696900004646556e6e6e6e6e6e6e6e6e6e6e6e2e6e6e6e006e306e6e6e326e,True,True,0,,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1036.assetbundle,girlswar_merged_extracted/merged_content/AssetBundles/download/skillprefabsandres/1036.assetbundle,345333,244a94308c33f7db,exact_filename_1036_assetbundle,False,3813,known_wrapper_or_prefix_before_unityfs,tFiF.Unnnnnnnnnnnnnnnn.n0nnn2nnn,7446694600556e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e006e306e6e6e326e6e6e,True,True,0,,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\build\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/build/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,1825731,5615937514b28f78,exact_filename_1036_assetbundle,False,2455,known_wrapper_or_prefix_before_unityfs,nii..FFUnnnnnnnnnnnn.nnn.n0nnn2n,6e696900004646556e6e6e6e6e6e6e6e6e6e6e6e2e6e6e6e006e306e6e6e326e,True,True,0,,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\build\download\skillprefabsandres\1036.assetbundle,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/build/download/skillprefabsandres/1036.assetbundle,345333,244a94308c33f7db,exact_filename_1036_assetbundle,False,3813,known_wrapper_or_prefix_before_unityfs,tFiF.Unnnnnnnnnnnnnnnn.n0nnn2nnn,7446694600556e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e006e306e6e6e326e6e6e,True,True,0,,,weak_same_filename_different_category,"Same filename exists, but resource category is not battle actor prefab path.",do not promote as actor bundle
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,girlswar_merged_extracted/split_apks/abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,1825731,,archive_entry_name_match,,,archive_entry_not_extracted_read_only,,,,,,,,archive_entry_exact_or_close_match_not_imported,Candidate exists as an archive entry name only; no extraction/copy/import was performed.,requires explicit approval before extraction/import; do not promote as local file
C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,girlswar_merged_extracted/split_apks/abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,345333,,archive_entry_name_match,,,archive_entry_not_extracted_read_only,,,,,,,,archive_entry_exact_or_close_match_not_imported,Candidate exists as an archive entry name only; no extraction/copy/import was performed.,requires explicit approval before extraction/import; do not promote as local file
C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,1825731,,archive_entry_name_match,,,archive_entry_not_extracted_read_only,,,,,,,,archive_entry_exact_or_close_match_not_imported,Candidate exists as an archive entry name only; no extraction/copy/import was performed.,requires explicit approval before extraction/import; do not promote as local file
C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,345333,,archive_entry_name_match,,,archive_entry_not_extracted_read_only,,,,,,,,archive_entry_exact_or_close_match_not_imported,Candidate exists as an archive entry name only; no extraction/copy/import was performed.,requires explicit approval before extraction/import; do not promote as local file
