rowCategory,ownerOrActorId,side,waveNo,slot,resourceId,resourceBundle,battleListCandidateStatus,localStatus,gapType,nextAction,sourceEvidence
actor,1036,our,,1,1036,download/roleprefabsandres/battleprefabandres/1036.assetbundle,source_known_missing_bundle,not_fetchable_local,missing_exact_actor_bundle,requires exact local actor bundle/acquisition,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1002,our,,2,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,ready_local,loadable,none,usable in local subset,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1034,our,,3,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,ready_local,loadable,none,usable in local subset,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100111,enemy,1,1,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,ready_local,loadable,none,usable in local subset,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100112,enemy,1,2,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100113,enemy,1,3,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100121,enemy,2,1,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100122,enemy,2,2,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100123,enemy,2,3,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100131,enemy,3,1,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100132,enemy,3,2,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
actor,1100133,enemy,3,3,,,unresolved_source_chain,unresolved_enemy_payload_instance,missing_authoritative_actor_chain,requires authoritative DTMonster/DTHero->DTmodel->prefab chain,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE54/BATTLE57/BATTLE67
skill,1036,our,,,1036101,download/skillprefabsandres/1036.assetbundle,source_known_missing_bundle,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1036,our,,,1036201,download/skillprefabsandres/1036.assetbundle,source_known_missing_bundle,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1036,our,,,1036301,download/skillprefabsandres/1036.assetbundle,source_known_missing_bundle,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1036,our,,,1036351,download/skillprefabsandres/1036.assetbundle,source_known_missing_bundle,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1036,our,,,1036401,,source_known_missing_bundle,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1036,our,,,1036402,,source_known_missing_bundle,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1002,our,,,1002101,download/skillprefabsandres/1002.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1002,our,,,1002201,download/skillprefabsandres/1002.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1002,our,,,1002301,download/skillprefabsandres/1002.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1002,our,,,1002351,download/skillprefabsandres/1002.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034101,download/skillprefabsandres/1034.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034201,download/skillprefabsandres/1034.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034301,download/skillprefabsandres/1034.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034351,download/skillprefabsandres/1034.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034401,,source_known_missing_bundle,passive_no_timeline,no_timeline_or_missing_skill_resource,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1034,our,,,1034402,,source_known_missing_bundle,passive_no_timeline,no_timeline_or_missing_skill_resource,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012101,download/skillprefabsandres/1012.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012201,download/skillprefabsandres/1012.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012301,download/skillprefabsandres/1012.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012351,download/skillprefabsandres/1012.assetbundle,ready_local,loadable,none,usable as local subset asset row; BATTLE64 runtime/timeline blocker remains,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012401,,source_known_missing_bundle,passive_no_timeline,no_timeline_or_missing_skill_resource,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100111,enemy,1,,1012403,,source_known_missing_bundle,passive_no_timeline,no_timeline_or_missing_skill_resource,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100112,enemy,1,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100112,enemy,1,,1012201,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100112,enemy,1,,1012301,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
