rowCategory,battleListCandidateStatus,side,waveNo,ownerHeroDid,ownerHeroId,ownerActorCandidateStatus,skillDid,skillType,prefabField,prefabId,skillBundle,skillBundleExists,localStatus,missingDependencyBundles,resolvedParentBundles,resolvedExactDependencyBundles,reason,b60BundleLoadSuccess,b60AssetLoadSuccess,b60InstantiateSuccess,b60ResourceCompleteStrictBeforeSpeedline,timelineEffectRuntimeBlocker,sourceEvidence
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036101,1,prefabId,1036101,download/skillprefabsandres/1036.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is not_fetchable_local",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036201,1,prefabId,1036201,download/skillprefabsandres/1036.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is not_fetchable_local",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036301,1,prefabId,1036301,download/skillprefabsandres/1036.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle'],,,"timeline resolves, but owner actor is not_fetchable_local",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036301,1,fastPrefabId,1036351,download/skillprefabsandres/1036.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle'],,,"timeline resolves, but owner actor is not_fetchable_local",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1036,51469,source_known_missing_bundle,1036402,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1002,50870,ready_local,1002101,1,prefabId,1002101,download/skillprefabsandres/1002.assetbundle,True,loadable,[],,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",True,True,True,True,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1002,50870,ready_local,1002201,1,prefabId,1002201,download/skillprefabsandres/1002.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1002,50870,ready_local,1002301,1,prefabId,1002301,download/skillprefabsandres/1002.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1002,50870,ready_local,1002301,1,fastPrefabId,1002351,download/skillprefabsandres/1002.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
