targetId,waveNo,position,rowType,status,previousLocalStatus,source,table,rowId,line,offset,directMonsterTables,modelId,prefabId,bundle,bundleExists,skillImpact,value,note
1100111,1,1,final_status,resolved_loadable_actor_bundle,loadable,,,,,,DTMonster_KEntity|DTMonster_OEntity,3001|3001,3001|3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle|download/roleprefabsandres/battleprefabandres/3001.assetbundle,True|True,control_already_loadable,,DTMonster -> DTmodel.prefabId -> actor bundle exists locally.
1100112,1,2,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100113,1,3,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100121,2,1,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100122,2,2,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100123,2,3,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100131,3,1,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100132,3,2,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100133,3,3,final_status,not_resolved_from_local_evidence,unresolved_enemy_payload_instance,,,,,,,,,,,no_change_existing_actor_unresolved,,No direct DTMonster*/DTmodel actor chain was found for this payload id.
1100111,,,direct_monster_actor_chain,resolved_loadable_actor_bundle,,girlswar_merged_extracted/extracted/unity/bundles/b_ec5be11875c4dacf/textassets/-2279990784320368822_DTMonster_KEntityTableData.txt,DTMonster_KEntity,1100111,,,,3001,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,True,,monstername_3001,authoritative direct actor chain evidence
1100111,,,direct_monster_actor_chain,resolved_loadable_actor_bundle,,girlswar_merged_extracted/extracted/unity/bundles/b_ec5be11875c4dacf/textassets/-6086283079442341522_DTMonster_OEntityTableData.txt,DTMonster_OEntity,1100111,,,,3001,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,True,,monstername_3001,authoritative direct actor chain evidence
