id,desc,name,assetCategory,assetPath,poolId,useTableData,cullDespawned,cullAbove,cullDelay,cullMaxPerPass
1002,浅井茶茶,hero1002,0,Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1002/Hero_1002.prefab,20,True,1,0,15,1
1034,俾斯麦,hero1034,0,Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1034/Hero_1034.prefab,20,True,1,0,15,1
1036,腓特烈,hero1036,0,Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/1036/Hero_1036.prefab,20,True,1,0,15,1
3001,枪兵,RolePrefab_4,0,Assets/Download/RolePrefabsAndRes/BattlePrefabAndRes/3001/Hero_3001.prefab,20,True,1,0,15,1
1002101,1002,浅井茶茶普攻,0,Assets/Download/SkillPrefabsAndRes/1002/1002101.prefab,20,True,1,0,15,1
1002201,1002,浅井茶茶小技能1,0,Assets/Download/SkillPrefabsAndRes/1002/1002201.prefab,20,True,1,0,15,1
1002301,1002,浅井茶茶绝技1,0,Assets/Download/SkillPrefabsAndRes/1002/1002301.prefab,20,True,1,0,15,1
1002351,1002,浅井茶茶(快速)绝技1,0,Assets/Download/SkillPrefabsAndRes/1002/1002351.prefab,20,True,1,0,15,1
1012101,1012,真田幸村普攻,0,Assets/Download/SkillPrefabsAndRes/1012/1012101.prefab,20,True,1,0,15,1
1012201,1012,真田幸村小技能1,0,Assets/Download/SkillPrefabsAndRes/1012/1012201.prefab,20,True,1,0,15,1
1012301,1012,真田幸村绝技1,0,Assets/Download/SkillPrefabsAndRes/1012/1012301.prefab,20,True,1,0,15,1
1012351,1012,真田幸村(快速)绝技1,0,Assets/Download/SkillPrefabsAndRes/1012/1012351.prefab,20,True,1,0,15,1
1034101,1034,俾斯麦普攻,0,Assets/Download/SkillPrefabsAndRes/1034/1034101.prefab,20,True,1,0,15,1
1034201,1034,俾斯麦小技能1,0,Assets/Download/SkillPrefabsAndRes/1034/1034201.prefab,20,True,1,0,15,1
1034301,1034,俾斯麦绝技1,0,Assets/Download/SkillPrefabsAndRes/1034/1034301.prefab,20,True,1,0,15,1
1034351,1034,俾斯麦(快速)绝技1,0,Assets/Download/SkillPrefabsAndRes/1034/1034351.prefab,20,True,1,0,15,1
1036101,1036,腓特烈普攻,0,Assets/Download/SkillPrefabsAndRes/1036/1036101.prefab,20,True,1,0,15,1
1036201,1036,腓特烈小技能1,0,Assets/Download/SkillPrefabsAndRes/1036/1036201.prefab,20,True,1,0,15,1
1036301,1036,腓特烈绝技1,0,Assets/Download/SkillPrefabsAndRes/1036/1036301.prefab,20,True,1,0,15,1
1036351,1036,腓特烈(快速)绝技1,0,Assets/Download/SkillPrefabsAndRes/1036/1036351.prefab,20,True,1,0,15,1
