side,waveNo,ownerHeroDid,ownerHeroId,skillType,skillDid,skillActFound,skillPassiveFound,skillHeroId,scriptId,prefabField,prefabId,assetPathViaGetSysprefabData,sysPrefabFound,sysPrefabName,timelineFound,timelineLine,skillBundle,skillBundleExists,prefabDeps,audioDeps,videoDeps,status,evidence
our,,1036,51469,1,1036101,True,False,1036,1036101,prefabId,1036101,Assets/Download/SkillPrefabsAndRes/1036/1036101.prefab,True,腓特烈普攻,True,351,download/skillprefabsandres/1036.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1036/bd/1036bd.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036dunbd.prefab,event:/BattleSE/1036101|event:/DUBVOICE/DUBVOICE_1036_ATK1|event:/DUBVOICE/DUBVOICE_1036_ATK2|event:/DUBVOICE/DUBVOICE_1036_ATK3,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1036,51469,1,1036201,True,False,1036,1036201,prefabId,1036201,Assets/Download/SkillPrefabsAndRes/1036/1036201.prefab,True,腓特烈小技能1,True,352,download/skillprefabsandres/1036.assetbundle,True,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/redspeedline/redspeedline.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036skillbd.prefab,event:/BattleSE/1036201|event:/DUBVOICE/DUBVOICE_1036_ATK3,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1036,51469,1,1036301,True,False,1036,1036301,prefabId,1036301,Assets/Download/SkillPrefabsAndRes/1036/1036301.prefab,True,腓特烈绝技1,True,354,download/skillprefabsandres/1036.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1036/bd/1036ultzhlz.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036bp.prefab|Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/yellospeedline/yellospeedline.prefab,event:/BattleSE/1036301|event:/DUBVOICE/DUBVOICE_1036_EXSKILL1,Assets/Download/SkillPrefabsAndRes/1036/1036u1.mp4,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1036,51469,1,1036301,True,False,1036,1036301,fastPrefabId,1036351,Assets/Download/SkillPrefabsAndRes/1036/1036351.prefab,True,腓特烈(快速)绝技1,True,358,download/skillprefabsandres/1036.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1036/bd/1036zishensg.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036dunbd.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036zishensg.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036dunbd.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036dunbd.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036zishensg.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036bp.prefab|Assets/Download/SkillPrefabsAndRes/1036/bd/1036ultzhlz.prefab|Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/yellospeedline/yellospeedline.prefab,event:/BattleSimple/1036351,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1036,51469,2,1036401,False,True,,,,,,,,False,,,False,,,,missing_DTSkillAct_prefab_mapping,BattleResPreloadMgr:GetSkillPrefabAllRes uses LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1036,51469,2,1036402,False,True,,,,,,,,False,,,False,,,,missing_DTSkillAct_prefab_mapping,BattleResPreloadMgr:GetSkillPrefabAllRes uses LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1002,50870,1,1002101,True,False,1002,1002101,prefabId,1002101,Assets/Download/SkillPrefabsAndRes/1002/1002101.prefab,True,浅井茶茶普攻,True,13,download/skillprefabsandres/1002.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1002/bd/1002bd.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002ranyan1.prefab,event:/BattleSE/1002101|event:/DUBVOICE/DUBVOICE_1002_ATK1|event:/DUBVOICE/DUBVOICE_1002_ATK2|event:/DUBVOICE/DUBVOICE_1002_ATK3,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1002,50870,1,1002201,True,False,1002,1002201,prefabId,1002201,Assets/Download/SkillPrefabsAndRes/1002/1002201.prefab,True,浅井茶茶小技能1,True,14,download/skillprefabsandres/1002.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1002/bd/1002bd.prefab|Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/pinkspeedline/pinkspeedline.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002bd.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002bd.prefab,event:/DUBVOICE/DUBVOICE_1002_ATK1|event:/BattleSE/1002201|event:/DUBVOICE/DUBVOICE_1002_ATK2|event:/DUBVOICE/DUBVOICE_1002_ATK3,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1002,50870,1,1002301,True,False,1002,1002301,prefabId,1002301,Assets/Download/SkillPrefabsAndRes/1002/1002301.prefab,True,浅井茶茶绝技1,True,16,download/skillprefabsandres/1002.assetbundle,True,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/pinkspeedline/pinkspeedline.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002ultpmzl.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002bp.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002ultxli.prefab,event:/BattleSE/1002301|event:/DUBVOICE/DUBVOICE_1002_EXSKILL1|event:/DUBVOICE/DUBVOICE_1002_EXSKILL2,Assets/Download/SkillPrefabsAndRes/1002/1002dh1.mp4,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
our,,1002,50870,1,1002301,True,False,1002,1002301,fastPrefabId,1002351,Assets/Download/SkillPrefabsAndRes/1002/1002351.prefab,True,浅井茶茶(快速)绝技1,True,20,download/skillprefabsandres/1002.assetbundle,True,Assets/Download/SkillPrefabsAndRes/1002/bd/1002ultxli.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002ultpmzl.prefab|Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/pinkspeedline/pinkspeedline.prefab|Assets/Download/SkillPrefabsAndRes/1002/bd/1002bp1.prefab,event:/BattleSimple/1002351,,timeline_resolved,DTSkillAct.prefabId -> DTSysPrefab direct decode/LuaUtils.GetSysprefabData(prefabId).AssetPath -> BattleTimelineResMap[AssetPath]
