feedId,title,artName,createdDate,articleUrl,imageUrl,matchStatus,matchedActorId,matchedKind,matchScore,phashDistance,histDistance,scoreGap,matchedLocalPath
7192929,소녀전쟁 | UR 플래시 스카타흐,스카타흐,20260116180038,https://game.naver.com/lounge/girlwars/board/detail/7192929,https://nng-phinf.pstatic.net/MjAyNjAxMTZfMTk3/MDAxNzY4NTM1NDMxNzUz.bLpoj_8kquq334UXP49ju5sxLvkLGhKGSZpBJpd0HA8g.FAzdrR1sQBdqXJvgyODtvI_Uqx_O6XOw2I6ZK7nxXwYg.JPEG/%EC%8A%A4%EC%B9%B4%ED%95%98_.jpg?type=w1678,candidate,1042,T_ditu,34.06,26,0.6717,3.081,girlswar_merged_extracted/extracted/unity/bundles/b_760c09143bc33162/images/T/-1813499788123703046_T_ditu_1042.png
7192930,소녀전쟁 | UR 플래시 세이메이,세이메이,20260116180038,https://game.naver.com/lounge/girlwars/board/detail/7192930,https://nng-phinf.pstatic.net/MjAyNjAxMTZfMjk3/MDAxNzY4NTM1NzU4ODc1.zpGtp0xuAvdVOlQH3s1WVBW-yG6gF_yV_OSyQblMjgsg.kRTz-2m90K4sj141nIDdAXFa5b5YWoyU38X2UilunqQg.JPEG/%EC%84%B8%EC%9D%B4.jpg?type=w1678,candidate,31079,T_ditu,33.849,20,1.1541,0.089,girlswar_merged_extracted/extracted/unity/bundles/b_d7f783a96f345102/images/T/4816001257497706926_T_ditu_31079.png
7076012,소녀전쟁 | UR 플래시 로물루스,로물루스,20251217121024,https://game.naver.com/lounge/girlwars/board/detail/7076012,https://nng-phinf.pstatic.net/MjAyNTEyMTZfMjY1/MDAxNzY1ODU2Njg1OTAx.h_nvPuUqYvWklXDoRAXImJUnUGBXHiOzPtW53bDYx7Eg.tebEAEDO3rCGhh9b4ZvB9SIHiWSjaroEKn2IQr88zvYg.JPEG/%EB%A1%9C%EB%AC%BC%EC%9B%90.jpg?type=w1678,candidate,1053,T_ditu,37.755,26,0.9796,1.536,girlswar_merged_extracted/extracted/unity/bundles/b_6fa9448bb52a9126/images/T/-4827362153673708224_T_ditu_1053.png
7022697,소녀전쟁 | UR 플래시 아시야 도만,아시야 도만,20251202110401,https://game.naver.com/lounge/girlwars/board/detail/7022697,https://nng-phinf.pstatic.net/MjAyNTEyMDJfMjk3/MDAxNzY0NjQxMDEzMzI1.bbHN0Hi4k1RxUQciZx5X6NI_vr4BPTVD07CJ2cAu3Nsg.jLQVOVIvEL2eH0ZMXGiCuKaFSTJ7wVK2vA1N1xJTnyIg.PNG/%EC%95%84%EC%8B%9C%EC%95%BC_%EB%8F%84%EB%A7%8C.png?type=w1678,candidate,1018,T_ditu,35.378,22,1.1148,2.203,girlswar_merged_extracted/extracted/unity/bundles/b_1fbd7d1d6337c15d/images/T/554643797807791545_T_ditu_1018.png
6968110,소녀전쟁 | UR 플래시 다테 마사무네,다테 마사무네,20251118120031,https://game.naver.com/lounge/girlwars/board/detail/6968110,https://nng-phinf.pstatic.net/MjAyNTExMTRfMTYx/MDAxNzYzMTA4NDI5NTMz.MTQ4PuTs91tq0lT7WQ-rPDw4gfiW_hRQpPX2GqBha8cg.FIU1D6-63VIKpwFomE4ehT9xieG7Kusl-xaur8zfBmsg.PNG/%EB%8B%A4_%EB%8B%A4_.png?type=w1678,candidate,1019,T_ditu,39.042,26,1.0868,0.219,girlswar_merged_extracted/extracted/unity/bundles/b_b105a3462c5b6434/images/T/4649711350267882192_T_ditu_1019.png
6951287,소녀전쟁 | UR 플래시 항우,항우,20251114171636,https://game.naver.com/lounge/girlwars/board/detail/6951287,https://nng-phinf.pstatic.net/MjAyNTExMTRfMjQ2/MDAxNzYzMTA4MDUyMTUz.WdHVrqtG1e6JscrNZgj0fRVy1a7oN66lSo0dYUp5zfkg.SKwcVTTfk5sBq84og1uU9jo8JNEkorO70BGMzCeAVUIg.PNG/%ED%95%AD%EC%9B%90.png?type=w1678,candidate,1008,Painting,34.672,26,0.5977,3.802,girlswar_merged_extracted/extracted/unity/bundles/b_255f3c2f548b9c6d/images/T/-8643402310949154556_Painting_1008.png
6801473,소녀전쟁 | UR 플래시 야오비쿠니,야오비쿠니,20251016180032,https://game.naver.com/lounge/girlwars/board/detail/6801473,https://nng-phinf.pstatic.net/MjAyNTEwMTZfMjgw/MDAxNzYwNTkzODIwMzgy.FLcVUiCVdOjGFnSBRlxCkoV6VNC2a6KeAyAQRynl9Hcg.vUasoOHDBJpWgKmd2C7rRE76sjym79Eev2RKAt2dQygg.PNG/%E5%85%AB%E7%99%BE%E6%AF%94%E4%B8%98%E5%B0%BC.png?type=w1678,candidate,21041,T_ditu,40.396,26,1.1997,0.607,girlswar_merged_extracted/extracted/unity/bundles/b_ec4d37c78f98b66d/images/T/386745750109913269_T_ditu_21041.png
6771285,소녀전쟁 | UR 플래시 오리온,오리온,20251009130032,https://game.naver.com/lounge/girlwars/board/detail/6771285,https://nng-phinf.pstatic.net/MjAyNTEwMDlfNjcg/MDAxNzU5OTgwNjU2MTA2.oZ_984MWyzhbOXGU3DxQJn4GdhH0l0MAfDJI9ifehpwg.aEiOqwWLm_1TXDxLkYvOpvd3yEq-vxDrhUT5J80t1BUg.PNG/%EC%98%A4%EC%98%A4.png?type=w1678,medium,1017,T_ditu,37.422,18,1.6185,1.401,girlswar_merged_extracted/extracted/unity/bundles/b_2b7da5bbf7c00333/images/T/-8975875091061293179_T_ditu_1017.png
6675891,소녀전쟁 | UR 플래시 가웨인,가웨인,20250916185023,https://game.naver.com/lounge/girlwars/board/detail/6675891,https://nng-phinf.pstatic.net/MjAyNTA5MTZfMTM2/MDAxNzU4MDE1NTQxOTQ2.7bU3uasXdHEYVS5eI6Pswt_1Ic2DPfLqZOQC0lwX2KYg.zLr5Wekn71g7CuOcvIEa-oyjIqYlpLEGnRWpWyv6aDwg.JPEG/%EA%B0%80%EA%B0%80%EC%9B%A8.jpg?type=w1678,candidate,1055,T_ditu,39.385,26,1.1155,0.195,girlswar_merged_extracted/extracted/unity/bundles/b_89e27f0bab0068d3/images/T/2604870942728984283_T_ditu_1055.png
6608518,소녀전쟁 | UR 플래시 다빈치,다빈치,20250901104852,https://game.naver.com/lounge/girlwars/board/detail/6608518,https://nng-phinf.pstatic.net/MjAyNTA4MjhfMTIy/MDAxNzU2Mzc0ODkxOTY5.0SBR3trM920cMMzHBYMofIw9p_bHmzGJWtipOupqNGIg.CfDBABsYUsvntpJ5Vh6l5UrZQgDyX4__fNctdX8cnHwg.JPEG/%E8%BE%BE%E8%8A%AC%E5%A5%871(2).jpg?type=w1678,candidate,1013,T_ditu,39.911,28,0.9926,1.315,girlswar_merged_extracted/extracted/unity/bundles/b_c85cc1cd0d16d65a/images/T/-855995676461250147_T_ditu_1013.png
6562722,소녀전쟁 | UR 플래시 단테,단테,20250822125248,https://game.naver.com/lounge/girlwars/board/detail/6562722,https://nng-phinf.pstatic.net/MjAyNTA4MjJfMTk1/MDAxNzU1ODM0NzMwMjA2.aXghsCpWXkxXE9Jsaaarx6N6440O2suTex6VkTEXyKIg.ykG9Ogt1et3jwLR-3SriNsHHz4QV3tdBcUWeoZx5isog.JPEG/%E4%BD%86%E4%B8%81(1).jpg?type=w1678,candidate,1007,T_ditu,36.391,26,0.8659,1.117,girlswar_merged_extracted/extracted/unity/bundles/b_5a04f9d03fb42400/images/T/1803512160258821782_T_ditu_1007.png
6460948,소녀전쟁 | UR 플래시 페르세우스,페르세우스,20250731190031,https://game.naver.com/lounge/girlwars/board/detail/6460948,https://nng-phinf.pstatic.net/MjAyNTA3MzBfMjA0/MDAxNzUzODY3NjYwMjQ0.gZJwNm0O8Nv7b-TqwaYjDA0qwriNwcvtYu_aYPUTC3Ug.9lLHvnnr0MrrcfxXLnY0sAJ4urQOT0I5QguD0KcIg_0g.JPEG/vpvp.jpg?type=w1678,candidate,1059,T_ditu,35.641,22,1.1367,1.568,girlswar_merged_extracted/extracted/unity/bundles/b_02867b620c95eeaa/images/T/-1534897939735413883_T_ditu_1059.png
6372231,소녀전쟁 | UR 플래시 예카테리나,예카테리나,20250716193025,https://game.naver.com/lounge/girlwars/board/detail/6372231,https://nng-phinf.pstatic.net/MjAyNTA3MTZfMTI0/MDAxNzUyNjQ2OTA5MzU4.kHuu8NkUNkxnH3u_YMi_uPAUgVykXo6ZxFAIFUButgwg.O5chogfz6xWsHfLeW20hZApLvde9YxW5VdUDrvF8Y2Qg.JPEG/%EC%98%88.jpg?type=w1678,candidate,1054,T_ditu,38.654,20,1.5545,1.18,girlswar_merged_extracted/extracted/unity/bundles/b_28f8ab754c7d56d7/images/T/27522188401046457_T_ditu_1054.png
