path_id,game_object_id,name,active,father_id,father_name,sibling_index,anchored_pos,size_delta,local_scale,zero_scale,path,sprite_name,asset_path,sprite_status,image_color
-7723620072473078182,-1457103517121630268,UI_bg,True,5568884429252053541,,0,"0.0,0.0","1680.0,720.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/UI_bg(-7723620072473078182),,,ready,"1.0,1.0,1.0,0.0"
-5284402592931468190,6569245046781814939,UI_heroSpine,True,5568884429252053541,,1,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/UI_heroSpine(-5284402592931468190),,,empty_sprite_ref,"1.0,1.0,1.0,0.0"
-3280973633984018659,-739438087074354188,UI_bg,False,2475216337245998118,,0,"0.0,0.0","1680.0,720.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/UI_bg(-3280973633984018659),,,ready,"1.0,1.0,1.0,1.0"
-2739654541028205496,2247224239628523787,UI_heroSpine,True,2475216337245998118,,1,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/UI_heroSpine(-2739654541028205496),,,empty_sprite_ref,"1.0,1.0,1.0,0.0"
-2638148383004042968,3681775474499021215,btn_shangdian,True,-7547578691690053275,,8,"-302.0999755859375,-153.0","80.0,75.5999984741211","0.800000011920929,0.800000011920929,0.800000011920929",False,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/btn_shangdian(-2638148383004042968),,,ready,"1.0,1.0,1.0,1.0"
-1783372910209196927,1118910439764084921,btn_watch2,True,5912329455179860930,,1,"-100.0,-118.0","149.0,157.0","0.8499999642372131,0.8499999642372131,1.0",False,UI_MainInterface_old(2475216337245998118)/btn_show(5912329455179860930)/btn_watch2(-1783372910209196927),,,ready,"1.0,1.0,1.0,1.0"
-318661959714136002,3101055438495186894,UI_touchSpine,True,2475216337245998118,,2,"0.0,0.0","650.0,500.0","1.0,1.0,1.0",False,UI_MainInterface_old(2475216337245998118)/UI_touchSpine(-318661959714136002),,,empty_sprite_ref,"1.0,1.0,1.0,0.0"
66722844441448537,5140802342601422660,btn_shangdian,True,-6697018699563164382,,1,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_shangdian(66722844441448537),,,ready,"1.0,1.0,1.0,1.0"
718716608411067892,-1874286104444283317,UI_touchSpine,True,5568884429252053541,,2,"-61.0,-28.0","650.0,400.0","1.0,1.0,1.0",False,UI_MainInterface(5568884429252053541)/UI_touchSpine(718716608411067892),,,empty_sprite_ref,"1.0,1.0,1.0,0.0"
2077734143091510389,3162074945722731914,btn_watch2,True,1062022579683624892,,1,"-100.0,-118.0","149.0,157.0","0.8499999642372131,0.8499999642372131,1.0",False,UI_MainInterface(5568884429252053541)/btn_show(1062022579683624892)/btn_watch2(2077734143091510389),,,ready,"1.0,1.0,1.0,1.0"
3545783473605971463,6741713413702662496,btn_watch,True,8354406432209300530,,5,"620.0999755859375,297.6000061035156","46.0,42.0","1.100000023841858,1.100000023841858,1.0",False,UI_MainInterface_old(2475216337245998118)/left(8354406432209300530)/btn_watch(3545783473605971463),,,ready,"1.0,1.0,1.0,1.0"
5992350593342672181,-8375462091806675529,btn_watch,True,-7712490274125866640,,4,"0.0,0.0","46.0,42.0","1.100000023841858,1.100000023841858,1.0",False,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/topBtnGroup(-7712490274125866640)/btn_watch(5992350593342672181),,,empty_sprite_ref,"1.0,1.0,1.0,0.0"
