bundle,name,output,pathId,size,source,status,type
download/live2d/1005.assetbundle,,,,,assetbundle,missing_from_index,
download/live2d/1005_ext_prefab.assetbundle,,,,,assetbundle,missing_from_index,
download/live2d/1043.assetbundle,,,,8321689,assetbundle,ok,
download/live2d/1043_ext_prefab.assetbundle,,,,136494,assetbundle,ok,
download/roleprefabsandres/battleprefabandres/1005.assetbundle,,,,1512900,assetbundle,ok,
download/roleprefabsandres/paintingprefabandres/1005.assetbundle,,,,3976259,assetbundle,ok,
download/roleprefabsandres/paintingsleepprefabandres/1005.assetbundle,,,,3210999,assetbundle,ok,
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,,,,1769688,assetbundle,ok,
download/roleprefabsandres/storyprefabandres/1005_4.assetbundle,,,,190690,assetbundle,ok,
download/xlualogic/datanode/datatable/create/live2d.assetbundle,,,,60417,assetbundle,ok,
download/xlualogic/modules/herolive2d.assetbundle,,,,9176,assetbundle,ok,
download/xlualogic/modules/live2dpreload.assetbundle,,,,4367,assetbundle,ok,
download/xlualogic/modules/marry.assetbundle,,,,1360197,assetbundle,ok,
download/live2d/1043.assetbundle,1043.assetbundle,MD5=d69bb88debb15f2ce5af4e493f762439,258,8321689,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=False; Version=; ResOffset=0,VersionFile
download/live2d/1043_ext_prefab.assetbundle,1043_ext_prefab.assetbundle,MD5=c3c7827e5048b7eb23ab59021f81401e,259,136494,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=False; Version=; ResOffset=0,VersionFile
download/roleprefabsandres/battleprefabandres/1005.assetbundle,1005.assetbundle,MD5=2d883dfe4ca2fadf0f1c66bc6f694580,269,1512900,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/roleprefabsandres/paintingsleepprefabandres/1005.assetbundle,1005.assetbundle,MD5=96a6846659d6c2539cb1fa89d71b179a,341,3210999,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005.assetbundle,MD5=c3c7c84bc74c941840b945a45852ba48,349,1769688,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/roleprefabsandres/storyprefabandres/1005_4.assetbundle,1005_4.assetbundle,MD5=ed59def3c62dea47ed9fe4ba09787a56,466,190690,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/xlualogic/datanode/datatable/create/live2d.assetbundle,live2d.assetbundle,MD5=1555f8c2224b05c18d7fa4f2680844bf,1209,60417,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/xlualogic/modules/herolive2d.assetbundle,herolive2d.assetbundle,MD5=c4d89a0448cb8dbb94e3cb99e1fad5b5,1653,9176,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
download/xlualogic/modules/live2dpreload.assetbundle,live2dpreload.assetbundle,MD5=b0c5b92d395b77251308df17592107f9,1663,4367,versionfile_VersionFile_bytes,IsFirstData=True; IsEncrypt=True; Version=; ResOffset=0,VersionFile
