index,field,value
1,id,1005
2,painting,100501
3,paintingGroup,100507
4,paintingGroup_A2,1
5,paintingGroup_A2_front,1
6,live2d,9991005
10,homePara,"[1,0,0]"
11,teamPara,"[1,0,0]"
20,haremPara,"[1,0,0]"
22,bigPainting,"""1005"""
36,paintingBg_back,100505
37,paintingBg_front,0
38,paintingBg,"""noalphabg_PaintingBG_1005"""
40,collection_normal_Pic,"""noalphabg_Tujian_1005"""
41,collectionPic,"""noalphabg_Neiyi_1005"""
46,prefabId,1005
47,prefabUiId,8881005
48,prefabUiGroupId,0
49,battleZoom,1.48
52,uiZoom,1
69,storyPainting,100502
70,storyPainting2,100503
71,lovePainting,[100502]
72,lovePaintingPara,"[1.2,0,-30]"
73,getHeroName,100508
74,getHeroNamePara,"[1,-405,-200]"
90,marryMainInterfaceSelect,"""Assets/Download/RolePrefabsAndRes/RoleBigSetPainting/1005/1005_marry"""
91,selfMarryMainInterfaceSelect,"""Assets/Download/RolePrefabsAndRes/RoleBigSetPainting/1005/1005_marry_dz"""
