"button_game_object_name","button_game_object_id","handler_module","handler","handler_line","matched_target","handler_confidence"
"btn_watch2","3162074945722731914","UI_MainPage","onBtnWatch","161","btn_watch2","module_and_target"
"p_chat_private_head","-6650442623983403701","","","","","missing"
"btn_act","269919480588369530","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_qianwang","-6973826045512480434","","","","","missing"
"btn_act","-6178576418460602108","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_act","4464877392471899717","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_show","4721660477782303194","","","","","missing"
"btn_act","7632541445361125350","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_jia","-547111661572642448","UI_MainPage","onBtnAddHoly","183","btn_jia_holy","module_and_target"
"btn_naver","4264185002932378359","UI_MainPage","inline_function","147","btn_naver","module_and_target"
"btn_act","-8321253577145861072","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btnToggle5","-8911406556776068391","UI_MainPage","onBtnGuild","198","btnToggle5","module_and_target"
"btn_act","-1793922948707889990","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"wanfaBtn","-8883531350448583426","UI_MainPage","onBtnAdventure","187","wanfaBtn","candidate_module_and_target"
"btn_beijing","1846121534783890253","UI_MainPage","onBtnBgSet","134","btn_beijing","module_and_target"
"shangdian_Btn","-8501376378821000551","","","","","missing"
"vip_Btn","1827243085730985232","UI_MainPage","onBtnVip","138","vip_Btn","module_and_target"
"btnToggle3","-3593029120460745446","UI_MainPage","onBtnShouhu","196","btnToggle3","module_and_target"
"wanfaBtn","-589134538826087092","UI_MainPage","onBtnAdventure","187","wanfaBtn","candidate_module_and_target"
"btn_act","-5047846913675438484","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_jiantou1","7397495788158367873","UI_MainPage","onBtnLeft","107","btn_left","module_and_target"
"btn_qianwang","-4236469219681929378","","","","","missing"
"btn_show_fanhui","8722396124062621871","UI_MainPage","onBtnShow","162","btn_show_fanhui","module_and_target"
"btn_baiqipao","-2557286150029182793","UI_MainPage","onChat","146","btn_baiqipao","module_and_target"
"haoyou_Btn","5893478712417956079","UI_MainPage","onBtnFriend","140","haoyou_Btn","module_and_target"
"wanfaBtn","6069286315854834525","UI_MainPage","onBtnAdventure","187","wanfaBtn","candidate_module_and_target"
"btn_act","-8786651459083853759","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_act","-7571833000352612256","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_head","2183609097357589804","UI_MainPage","onBtnHead","143","btn_head","module_and_target"
"btn_renwu","-1344885700461243728","UI_MainPage","OnQuestBtnClick","181","btn_renwu","module_and_target"
"btn_twitter","-2281118415906927024","UI_MainPage","inline_function","150","btn_twitter","module_and_target"
"paihangbang_Btn","-5230080826173605218","UI_MainPage","onBtnRank","141","paihangbang_Btn","module_and_target"
"wanfaBtn","-1989194518598755751","UI_MainPage","onBtnAdventure","187","wanfaBtn","candidate_module_and_target"
"btn_qinmi2","6683610392345918860","UI_MainPage","onBtnFavorability","160","btn_qinmi2","module_and_target"
"btn_act","-2798617431254423713","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btnToggle1","6458587595025163362","UI_MainPage","onBtnCamp","194","btnToggle1","module_and_target"
"wuyu_Btn","2552115491841143847","","","","","missing"
"worldwanfaBtn","2331390164297400090","UI_MainPage","onBtnWorld","185","worldwanfaBtn","module_and_target"
"btn_huodong3","-8898990290885223385","UI_MainPage","multiline_or_empty","2120","btn_huodong3","candidate_module_and_target"
"btn_lingqu","4501504638227576761","","","","","missing"
"btn_taskNotice","4233018114042763279","UI_MainPage","OnClickTaskNoticeBtn","156","btn_taskNotice","module_and_target"
"btn_act","-865576177899094444","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_act","-2553354194769653034","UI_MainPageActItem","inline_function","24","btn_act","candidate_module_and_target"
"btn_watch","-8375462091806675529","UI_MainPage","onBtnWatch","137","btn_watch","module_and_target"
