"game_object_name","game_object_id","game_object_active","father_id","father_name","path_id","anchored_pos_x","anchored_pos_y","size_delta_x","size_delta_y","local_scale_x","local_scale_y","child_ids"
"UI_Main_wanfa_item","-7136052973752604066","True","0","","2355028112079581654","-246.0","192.0","100.0","100.0","1.0","1.0","4566812790543041202;4202016220362890625;-2084543056253757568;3754544512763890233;-7243124669711542727;863965970976297693;-4908663424514576912;-3101103764556275357;-2501407903898039872"
"UI_MainInterface_old","-2112429087779887161","True","0","","2475216337245998118","0.0","0.0","0.0","0.0","0.0","0.0","-3280973633984018659;-2739654541028205496;-318661959714136002;8354406432209300530;-7547578691690053275;6698872860963106400;-6145133437425078877;2458966531894026455;-7340509778730852615;5912329455179860930;3952187160617600986"
"UI_MainInterface","-883079703027215962","True","0","","5568884429252053541","0.0","0.0","0.0","0.0","0.0","0.0","-7723620072473078182;-5284402592931468190;718716608411067892;-1600449971731382293;6922878451781464554;8271973229136916334;-2970014087872762083;-9138204023542992015;-4903014397176617737;-7709903567246479490;-2490213508203975378;1062022579683624892;-7066683132857930382;-6050138707530382152;8482476106785833996"
"p_chat_private_frame","8192576655427105151","True","-1074189520482543941","","7787300137904483618","0.0","0.0","200.0","200.0","1.0","1.0",""
"img_actBannerJiantouXia","-6207132123824506369","True","-1394984059021818146","","-8038617706385057442","889.0","-272.0","52.0","46.0","1.0","1.0",""
"img_actBannerJiantouLeft","-7434548981661058032","True","-1394984059021818146","","-1796461879869605774","399.0","208.0","54.0","65.0","1.0","1.0",""
"bannerBgBtn","3932682649291599269","True","-1394984059021818146","","6008454114601965793","934.0","0.0","2000.0","1200.0","1.0","1.0",""
"node_actbanner","-3190505767896053390","True","-1394984059021818146","","7066971179164710645","889.0","57.0","880.0","610.0","1.0","1.0","4115011983198084924"
"img_actBannerJiantouShang","-2976494861528453300","True","-1394984059021818146","","7419935823710731676","889.0","394.0","52.0","46.0","1.0","-1.0",""
"p_chat_private","-3180581178672936887","True","1445380050083804015","","-3796294102302663824","-89.0","81.19999694824219","181.0","45.0","0.699999988079071","0.699999988079071","-2575196934417119951;-7848748669470143469;-2596980779582491920"
"img_chat_type","454517370043545752","True","1445380050083804015","","4253316193824159930","-89.00004577636719","132.0","230.0","81.0","0.699999988079071","0.699999988079071",""
"bg_dibu","-6878778615376053674","True","-1681385817191094343","","736205352004467154","0.0","-360.0","2500.0","48.0","1.0","1.0","-4377235922807345354"
"text_wanfaTips","-3767891808747950243","False","1745568030950951925","","-4444991916405094732","-90.0","-35.599998474121094","180.0","30.0","1.0","1.0",""
"wanfaBgImg","-2423737606123360206","True","1745568030950951925","","-2011011070318215459","0.0","0.0","144.0","144.0","1.0","1.0",""
"wanfaBtn","-8883531350448583426","True","1745568030950951925","","7344258773029800384","0.0","0.0","130.0","130.0","1.0","1.0",""
"middle","-273997012840746616","True","-1887796705374699072","","-7087069537894659442","0.0","0.0","0.0","0.0","1.0","1.0","650829351987065143"
"right","-5018797629353018862","True","-1890420827167776995","","6349142187541381273","0.0","0.0","0.0","0.0","1.0","1.0","-5216941958405197112;7590681253076596013;-7945995839513022982;7787993261252967183;-2086765253922438788"
"toggle2","4955799086194409485","True","1984629269317899721","","-4835973230911825572","229.0","0.0","0.0","0.0","1.0","1.0","6527999150919673281;-1659843287657324148"
"toggle1","-7745936477388850573","True","1984629269317899721","","-4665449998188296530","0.0","0.0","0.0","0.0","1.0","1.0","-2675566809438120413;-8667130922933606843"
"toggle_node","-8453763392923917683","True","2061829946376332717","","-5294031676519928465","0.0","0.0","100.0","100.0","1.0","1.0","-2138789823830101756;-1097301430722702355;-4096251616176208989;7528995399989114780"
"p_chat_private_name","-2664795204961004959","True","2083186999486108191","","7259379337509231913","-24.39993667602539","2.179826879000757e-05","130.0","40.0","1.0","1.0",""
"heroProfileToggle","5093239238856331134","True","-2086765253922438788","","5838223572442600999","-12.0","-69.0","0.0","0.0","1.0","1.0","5883950749648122942;5618207365848014445"
"lordProfileToggle","8838552856406808252","True","-2086765253922438788","","6948106297738820811","170.0","-69.0","0.0","0.0","1.0","1.0","1522505511444008156;4811299621777919200"
"text_wanfaTips","6093124956331945900","False","2355028112079581654","","-7243124669711542727","-70.5999984741211","-30.0","140.0","30.0","1.0","1.0",""
"wanfaBtn","4304212929123194707","True","2355028112079581654","","-2501407903898039872","0.0","0.0","130.0","130.0","1.0","1.0",""
"wanfaBgImg","-3330548294871129948","True","2355028112079581654","","4566812790543041202","0.0","0.0","144.0","144.0","1.0","1.0",""
"txt_act_leftTime","-1401897514360478770","True","-2413171715124479122","","-8350103282150799403","0.0","-52.599998474121094","110.0","14.010000228881836","1.0","1.0",""
"right","-8507688079172735503","True","2475216337245998118","","-7547578691690053275","0.0","0.0","0.0","0.0","1.0","1.0","1979162691310507434;8634241280729765950;8940927701377314207;-2702129779362243929;1445380050083804015;-1667601919951141876;-675339169157432991;-1189460423525129158;-2638148383004042968"
"UI_bg","-739438087074354188","False","2475216337245998118","","-3280973633984018659","0.0","0.0","1680.0","720.0","1.0","1.0",""
"UI_heroSpine","2247224239628523787","True","2475216337245998118","","-2739654541028205496","0.0","0.0","0.0","0.0","1.0","1.0",""
"UI_touchSpine","3101055438495186894","True","2475216337245998118","","-318661959714136002","0.0","0.0","650.0","500.0","1.0","1.0",""
"bg_dibu","632526642370551907","True","2475216337245998118","","3952187160617600986","0.0","-360.0","2500.0","48.0","1.0","1.0","-335120057160315000"
"middle","-2248843412199408704","True","2475216337245998118","","6698872860963106400","0.0","0.0","0.0","0.0","1.0","1.0","3306616464675970194;-3503833916211969751;8760631481446195828"
"left","-7420537489651064724","True","2475216337245998118","","8354406432209300530","0.0","0.0","0.0","0.0","1.0","1.0","-2194597288458085354;4819180499987017672;-2103011487764177230;7759692211599757190;3232072023461784701;3545783473605971463;-5750651822583549907;-8260675311023278518;2191855014931130154;-5155750984123387295"
"bg_dibu","-5499067917129208222","True","-2676247903786434401","","8024607321834159563","0.0","-360.0","2500.0","48.0","1.0","1.0","-5804017074968486386"
"toggle1","-2843377974632196324","True","-2842509277402807583","","2563066504165521427","0.0","0.0","0.0","0.0","1.0","1.0","-1419188867482462235;-5547583119611159670"
"toggle2","-8155978464641058212","True","-2842509277402807583","","4017630242257737312","0.0","0.0","0.0","0.0","1.0","1.0","-6424549825924009901;-1592478252723931320"
"toggle3","1906526213516792248","True","-2842509277402807583","","7149174411729559689","0.0","0.0","0.0","0.0","1.0","1.0","-3813514777931047716;-478858749035858472"
"bg_dibu","-1468725173002504807","False","2919483037020922393","","-5497860742565646253","0.0","-360.0","2500.0","48.0","1.0","1.0","-5553838803126382298"
"text_wanfaTips","-5038400558281525007","False","-3001135698830835598","","-3672314570509988370","0.0","20.0","100.0","50.0","1.0","1.0",""
"btnToggle6","-8517175829876979784","True","-3001135698830835598","","5407916960501945402","-2.300048828125","1.0","100.0","98.0","1.0","1.0","5170748638307436376"
"text_duihua","-508764795197773011","True","3306616464675970194","","1337115387009666525","-3.0","0.0","470.0","40.0","1.0","1.0",""
"bg_dibu","-6884280903372111171","True","-3363633699452508030","","-1447686625403127411","0.0","-360.0","2500.0","48.0","1.0","1.0","-7230730631394927287"
"bg_dibu","1995869793689695719","True","3502163946692262363","","5058634140432625124","0.0","-360.0","2500.0","48.0","1.0","1.0","-2240525128319916493"
"bg_dibu","6073836715015902916","True","-3700953627502444302","","6020348435816818066","0.0","-360.0","2500.0","48.0","1.0","1.0","-8761696225639637360"
"p_chat_private_head","4702909141101028920","True","3777090554918049124","","-6367313709280939434","0.0","0.0","150.0","150.0","1.0","1.0",""
"bg_left","3184150559611327127","True","3777259328428099603","","-8522231094460469618","-378.0","26.0","293.0","296.0","1.0","1.0","-4678969031626373245;7803194088454611896;-6824386696551513534;3056487244507766040;-6919474666546668232;3952437621572528735;992702146244412882"
"bottom","-3647991300276792470","True","3777259328428099603","","-7657983126192800822","0.0","0.0","0.0","0.0","1.0","1.0","-8983757685903538481;-357952793114131453;-2258949617439320053;4067164940223995192;584035684951594733;-1368242025298734300;3724209246893014387;64472130575846262;-3003639165228582525;7272187890422599868;7213642754328555612;-363436099895426859"
"right","2833559087799630911","True","3777259328428099603","","-6540325579233224673","0.0","0.0","0.0","0.0","1.0","1.0","4372224661604240453;-6801095072381921016;-8257489951270610146;1290514921625872565;1537696029089939140;5777787166597711156;6768942770431229442;-3008400874886144438;6267212664086291908"
"right","-92744744512954101","True","379602402153493775","","-4987324820668545187","0.0","0.0","0.0","0.0","1.0","1.0","-4903572776587596953;-5439028221904330430"
"middle","5145683181372657163","True","379602402153493775","","-4088659148756985630","0.0","0.0","0.0","0.0","1.0","1.0","-6954981047458709200;-6373229912627124577;-1381342387729858098;5729705741783368954"
"left","-3433679893019820795","True","379602402153493775","","5061958143284451748","0.0","0.0","0.0","0.0","1.0","1.0","2664649706559219893;-4088807071610956079;-8292227396562325876"
"p_chat_private_name","3164292924273442175","True","-3796294102302663824","","-2596980779582491920","-24.39993667602539","2.179826879000757e-05","130.0","40.0","1.0","1.0",""
"bg_dibu","7694152069340704132","True","-3814932880867725852","","8498907726384981605","0.0","-360.0","2500.0","48.0","1.0","1.0","-6750348890649287339"
