clip,bindingIndex,pathHashUnsigned,pathHashSigned,attribute,typeID,customType,isPPtrCurve,valueStart,valueStop
UI_MainInterface_in,0,2053629800,2053629800,1574349066,225,0,0,0.0,1.0
UI_MainInterface_in,1,2053629800,2053629800,1460864421,224,28,0,-250.0,-125.0
UI_MainInterface_in,2,3033167124,-1261800172,1574349066,225,0,0,0.0,1.0
UI_MainInterface_in,3,3033167124,-1261800172,1460864421,224,28,0,230.0,0.0
UI_MainInterface_in,4,2138030896,2138030896,1574349066,225,0,0,0.0,1.0
UI_MainInterface_in,5,2314173485,-1980793811,1460864421,224,28,0,-70.0,345.0
UI_MainInterface_in,6,283520407,283520407,1460864421,224,28,0,45.0,-450.0
UI_MainInterface_in,7,3033167124,-1261800172,2086281974,1,0,0,1.0,1.0
UI_MainInterface_in,8,2053629800,2053629800,2086281974,1,0,0,1.0,1.0
UI_MainInterface_in,9,2053629800,2053629800,538195251,224,28,0,0.0,0.0
UI_MainInterface_in,10,3033167124,-1261800172,538195251,224,28,0,0.0,0.0
UI_MainInterface_in,11,2314173485,-1980793811,538195251,224,28,0,50.0,50.0
UI_MainInterface_in,12,283520407,283520407,538195251,224,28,0,50.0,50.0
UI_MainInterface_idle,0,2053629800,2053629800,2086281974,1,0,0,1.0,1.0
UI_MainInterface_idle,1,3033167124,-1261800172,2086281974,1,0,0,1.0,1.0
UI_MainInterface_idle,2,2053629800,2053629800,1574349066,225,0,0,1.0,1.0
UI_MainInterface_idle,3,2053629800,2053629800,1460864421,224,28,0,-125.0,-125.0
UI_MainInterface_idle,4,2053629800,2053629800,538195251,224,28,0,0.0,0.0
UI_MainInterface_idle,5,3033167124,-1261800172,1574349066,225,0,0,1.0,1.0
UI_MainInterface_idle,6,3033167124,-1261800172,1460864421,224,28,0,0.0,0.0
UI_MainInterface_idle,7,3033167124,-1261800172,538195251,224,28,0,0.0,0.0
UI_MainInterface_idle,8,2138030896,2138030896,1574349066,225,0,0,1.0,1.0
UI_MainInterface_idle,9,2314173485,-1980793811,1460864421,224,28,0,345.0,345.0
UI_MainInterface_idle,10,2314173485,-1980793811,538195251,224,28,0,50.0,50.0
UI_MainInterface_idle,11,283520407,283520407,1460864421,224,28,0,-450.0,-450.0
UI_MainInterface_idle,12,283520407,283520407,538195251,224,28,0,50.0,50.0
UI_MainInterface_out,0,2053629800,2053629800,1574349066,225,0,0,1.0,0.0
UI_MainInterface_out,1,2053629800,2053629800,1460864421,224,28,0,0.0,-250.0
UI_MainInterface_out,2,3033167124,-1261800172,1574349066,225,0,0,1.0,0.0
UI_MainInterface_out,3,3033167124,-1261800172,1460864421,224,28,0,0.0,230.0
UI_MainInterface_out,4,2314173485,-1980793811,1460864421,224,28,0,270.0,-141.3000030517578
UI_MainInterface_out,5,283520407,283520407,1460864421,224,28,0,-450.0,196.0
UI_MainInterface_out,6,2138030896,2138030896,1574349066,225,0,0,1.0,0.0
UI_MainInterface_out,7,2853304615,-1441662681,538195251,224,28,0,-410.0,-410.0
UI_MainInterface_out,8,2853304615,-1441662681,1574349066,225,0,0,0.0,0.0
UI_MainInterface_out,9,2053629800,2053629800,2086281974,1,0,0,1.0,0.0
UI_MainInterface_out,10,3033167124,-1261800172,2086281974,1,0,0,1.0,0.0
UI_MainInterface_out,11,2053629800,2053629800,538195251,224,28,0,0.0,0.0
UI_MainInterface_out,12,3033167124,-1261800172,538195251,224,28,0,0.0,0.0
UI_MainInterface_out,13,2314173485,-1980793811,538195251,224,28,0,50.0,50.0
UI_MainInterface_out,14,283520407,283520407,538195251,224,28,0,50.0,50.0
UI_MainInterface_out,15,2853304615,-1441662681,1460864421,224,28,0,0.0,0.0
