moduleFile,line,keywordHits,snippet,openStackInterpretation
-6351603197391775840_UI_MainPage_security_xor_raw.lua,124,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_3.transform,false)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,125,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_4.transform,false)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,133,onBtnHideUI,btn_yincang.onClick:AddListener(onBtnHideUI),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,162,onBtnShow,btn_show_fanhui.onClick:AddListener(onBtnShow),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,185,worldwanfaBtn,worldwanfaBtn.onClick:AddListener(onBtnWorld),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,186,mian_wanfa_item_,local e=mian_wanfa_item_1:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,188,mian_wanfa_item_,local e=mian_wanfa_item_2:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,190,mian_wanfa_item_,local e=mian_wanfa_item_3:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,192,mian_wanfa_item_,local e=mian_wanfa_item_4:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,306,OpenMainEnterView,OpenMainEnterView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,308,UI_MainInterface;UI_MainInterface_idle,"LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_idle"",0,0)",maininterface_animator_visibility_motion
-6351603197391775840_UI_MainPage_security_xor_raw.lua,310,UI_MainInterface;UI_MainInterface_in,"LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_in"",0,0)",maininterface_animator_visibility_motion
-6351603197391775840_UI_MainPage_security_xor_raw.lua,391,OpenMainEnterView,function OpenMainEnterView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,461,SetToggleLayoutGroupView,SetToggleLayoutGroupView2(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,467,SetToggleLayoutGroupView,SetToggleLayoutGroupView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,479,SetToggleLayoutGroupView,SetToggleLayoutGroupView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,481,SetToggleLayoutGroupView,function SetToggleLayoutGroupView2(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,489,SetToggleLayoutGroupView,function SetToggleLayoutGroupView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,517,SetLimitPageView,SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,719,SetActJumpPageView,SetActJumpPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,733,SetLimitPageView,SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1018,SetLimitPageView,SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1019,SetActJumpPageView,SetActJumpPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1308,refreshRightGoldView,refreshRightGoldView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1309,refreshRightMiddleView,refreshRightMiddleView(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1310,refreshRightBottomView,refreshRightBottomView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1312,refreshRightGoldView,function refreshRightGoldView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1327,refreshRightMiddleView,function refreshRightMiddleView(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1328,mian_wanfa_item_,local e=mian_wanfa_item_1:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1331,mian_wanfa_item_,local e=mian_wanfa_item_2:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1334,SetLimitPageView,SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1335,SetActJumpPageView,SetActJumpPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1338,SetLimitPageView,SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1340,SetLimitPageView,function SetLimitPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1347,mian_wanfa_item_,local e=mian_wanfa_item_3:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1349,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_3.transform,false)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1354,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_3.transform,true)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1370,SetActJumpPageView,function SetActJumpPageView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1372,mian_wanfa_item_,local t=mian_wanfa_item_4:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1374,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_4.transform,false)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1379,mian_wanfa_item_,"LuaUtils.SetActive(mian_wanfa_item_4.transform,true)",new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1387,GetMainInletTopFunc,function GetMainInletTopFunc(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1461,refreshRightBottomView,function refreshRightBottomView(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1467,GetMainInletTopFunc,local t=GetMainInletTopFunc(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1543,GetPlayerBigSpineAll,UIUtil.GetPlayerBigSpineAll(,normal_home_hero_background_runtime_branch
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1546,homePara,"""homePara"",",normal_home_hero_background_runtime_branch
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1559,GetPaintingBg,local e=UIUtil.GetPaintingBg(i),normal_home_hero_background_runtime_branch
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1763,mian_wanfa_item_,local t=mian_wanfa_item_1:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1777,mian_wanfa_item_,local t=mian_wanfa_item_2:GetComponents(),new_root_route_world_cluster_logic
-6351603197391775840_UI_MainPage_security_xor_raw.lua,1930,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2680,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_SystemSet),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2683,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_VIPMaim),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2685,onBtnHideUI,function onBtnHideUI(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2686,UI_MainInterface;UI_MainInterface_out,"LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_out"",0,0)",maininterface_animator_visibility_motion
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2691,onBtnShow,function onBtnShow(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2692,UI_MainInterface;UI_MainInterface_in,"LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_in"",0,0)",maininterface_animator_visibility_motion
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2698,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_BgSet),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2701,onBtnHideUI,onBtnHideUI(),mainpage_runtime_state_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2714,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_FavorabilityHero,{heroDid=e.id})",button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2738,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GoldChange),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2746,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_ShopMain,{type=PROTO_ENUM.ENUM_SHOP_TYPE.SHOP_NORMAL})",button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2752,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_Mail),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2757,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GoodFriend),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2763,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_FightRank),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2770,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_FunctionHandBook_Root),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2781,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_Tale),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2806,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_QuestMain),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2816,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_TaskNoticePopView),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2906,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuardMain),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,2937,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_AutoHelper_Main),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,3117,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_ActGroupPhoto_Gold_Buff),button_or_runtime_opens_additional_ui_form_candidate
-6351603197391775840_UI_MainPage_security_xor_raw.lua,3129,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_MarryLive2dMainView,",button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,42,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,73,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,91,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,115,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,173,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_ActFirstDayReward),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,238,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,303,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,679,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,688,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,696,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_SkyCityNoOpenQualify),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,7,UI_Adventure,local u=require('Modules/MainInterface/UI_Adventure_Item_New'),adventure_overlay_candidate_not_reference_home_default
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,26,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MainPage),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,28,UI_Adventure,GameTools.CloseUIForm(UIFormId.UI_Adventure_RootView),adventure_overlay_candidate_not_reference_home_default
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,80,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GoldChange),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,106,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_CommonLoading,{style=LoadingStyle.Cloud,loadResFinish=function()",button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,7,UI_Adventure,local o=require('Modules/MainInterface/UI_Adventure_Item'),adventure_overlay_candidate_not_reference_home_default
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,52,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MBShop),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,63,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MBRankAward),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,82,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_Arena),button_or_runtime_opens_additional_ui_form_candidate
