referenceElement,rootName,hierarchyPath,gameObjectName,gameObjectId,rectPathId,active,depth,anchoredPos,sizeDelta,localScale,spriteNames,texts,buttonHandlers,candidateReason
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/left/liaotian/Viewport/Content/other/text_youjian/bg_name,bg_name,5031097393348093697,-9209347104461309832,False,7,"3.100006103515625,0.0","56.0,22.0","1.0,1.0,1.0",UI_liaotian_xitongtiao2,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_17/root_red_fix,root_red_fix,2822546135608862477,-9187470536547034892,True,4,"26.0,26.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
hide_show_mask,UI_MainInterface,UI_MainInterface/mask,mask,8182931624728516534,-9138204023542992015,True,1,"0.0,0.0","0.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface_old,UI_MainInterface_old/right/liaotian/Image,Image,5702423596433342886,-9075104532390718781,True,3,"0.0,0.0","342.0,135.0","1.0,1.0,1.0",chat_mainpage_frame,,,strong_reference_layout_candidate_old_root_has_matching_stack
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_2/un_MainInterface_fire,un_MainInterface_fire,-829607632274919997,-9047331040974660233,False,4,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_16/txt_act_name,txt_act_name,-7164761427818791499,-9038556042664949858,True,4,"0.0,-36.0","90.0,14.010000228881836","1.0,1.0,1.0",,옷장과의 약속,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_3,btn_act_3,7843091743582124696,-9026556915798597321,True,3,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface_old,UI_MainInterface_old/right/btn_youjian/qipao/im_qipao2,im_qipao2,6829488236386157781,-9026409384911866612,True,4,"12.54991340637207,29.00000762939453","30.0,30.0","1.0,1.0,1.0",T_hongdianshuangshu,,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_6/im_qipao1/text_num,text_num,-7776038682855926231,-9003613713569164504,False,5,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
top_profile_level,UI_MainInterface_old,UI_MainInterface_old/left/bg_juese/bg_guanzhi,bg_guanzhi,-3081033315441176970,-8964177782053028160,True,3,"-241.89999389648438,41.5","160.0,117.0","0.6000000238418579,0.6000000238418579,1.0",guanzhi_maozi1,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_7/root_red_fix/root_red_special,root_red_special,-2097571399620498979,-8963580708010450088,True,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer8,Renderer8,9019926427908895691,-8959560924587426541,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_14/im_qipao1/RedDot,RedDot,-6101740150280731012,-8953754584111101858,True,5,"0.0,0.0","27.0,27.0","0.800000011920929,0.800000011920929,1.0",T_hongdian_1,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer26,Renderer26,-7862708552022441597,-8944789959033101677,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
