topic,source,key,value,runtimeDecision,blocker,snippet
GetActInMain_source,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,ActMgr:GetActInMain,charge/recruit/welfare/activity/rally dynamic groups,requires_runtime_snapshot,"Starts from ActMgr:GetAllActInfo(true), which iterates ActMgr.activitys server data.","function ActMgr:GetActInMain() local e=ActMgr:GetAllActInfo(true); local t=ActMgr:GetDynamicChargeInMainShow(e); local i=ActMgr:GetDynamicRecruitActInMainShow(e); local a=ActMgr:GetDynamicWelfareActInMainShow(e); local o=ActMgr:GetDynamicActsInMainShow(e); local n=ActMgr:GetDynamicRallyInMainShow(e); local e={} if t~=nil then t.isSpine=true ActMgr:AddDynamicActToActInfoMap(t,ActMgr.CHARGE_SYS_ID,e) end if i~=nil then ActMgr:AddDynamicActToActInfoMap(i,ActMgr.RECRUIT_SYS_ID,e) end if a~=nil then ActMgr:AddDynamicActToActInfoMap(a,ActMgr.WELFARE_SYS_ID,e) end if o~=nil then ActMgr:AddDynamicActToActInfoMap(o,ActMgr.ACT_SYS_ID,e) end if n~=nil then ActMgr:AddDynamicActToActInfoMap(n,ActMgr.RALLY_SYS_ID,e) end return e end function ActMgr:GetChargeAct(t) local a={} local e=ActMgr:GetChargesIconArr() for o=1,#e do local e=e[o] if ActMgr:IsOpen(e)or(t and ActMgr:IsFixShowAct(e)and not ActMgr:IsOpenlevel(e))then local t=ActMgr:GetActResInfo(e,true) if t then local e=ActMgr:GetActCfgData(e) t.actCfg=e t[""orderId""]=o; table.insert(a,t) end end end return a end function ActMgr:GetRecruitAct(t) local o={} local e=ActMgr:GetRecruitsIconArr() for a=1,#e do local e=e[a] if ActMgr:IsOpen(e)or(t ..."
GetAllActInfo_source,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,ActMgr:GetAllActInfo,iterates ActMgr.activitys,requires_server_activitys,Static code identifies the list source but does not contain server list contents.,"function ActMgr:GetAllActInfo(i) local t=ActMgr.activitys; local o=e local e={} for a=1,#t do local t=t[a].activityId; if o[t]then local t=ActMgr:GetActResInfo(t,i) table.insert(e,t) end end return e end function ActMgr:GetActResInfo(t,a) local e=e if e[t]then e[t].redPoint=ActMgr:CheckRedPoint(t,a) e[t].bannerImg=ActMgr:GetActivityBannerIcon(t) e[t].name=ActMgr:GetActivityName(t) e[t].tbName=ActMgr:GetActivityTbName(t) e[t].tbSpine=ActMgr:GetActivityTbSpine(t) end return e[t] end function ActMgr:GetActivityNameExtend(e,i,a) local t=tostring(e) if o:StaticIsSsrDrawAct(e)then local e=o:staticGetActCfgHeroCfgId(e) t=""401""..""_""..e end if i==h.banner then if e==405 then local e=a if not e then e=1002 end t=""401""..""_""..e elseif e==180 or e==511 or e==421 then if a then local a=a t=e..""_""..a end elseif e==ModulesInit.ActWorldTreeMgr.actId then local e=self:GetActParam(ModulesInit.ActWorldTreeMgr.actId) local e=ModulesInit.ActWorldTreeMgr:GetBaseCfg(tonumber(e)) if e then t=ModulesInit.ActWorldTreeMgr.actId..""_""..e.artResourseType if tonumber(e.artResourseType)==2 and ModulesInit.ActWorldTr"
IsActShowInMain_source,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,ActMgr:IsActShowInMain,show/IsOpen/vip/level/client callbacks/review,requires_runtime_activity_account_redpoint,Needs server show/open state plus PlayerMgr.PlayerInfo and callback/redpoint state.,"function ActMgr:IsActShowInMain(t) if GameTools:IsReview()then if t==301 then return true end end local o=ActMgr:GetActCfgData(t) local a=ActMgr:GetActServerData(t) if a and not a.show then return false end if not ActMgr:IsOpen(t)then return false end if PlayerMgr.PlayerInfo.vip>0 then return true end local a=o and o[""onMainLv""]or 1 if PlayerMgr.PlayerInfo.level<a then return false end local e=e[t]; if e and e.showInMainFunc and e:showInMainFunc()==false then return false end return true end function ActMgr:IsActivityShowRedPoint(e) if PlayerMgr.PlayerInfo.vip>0 then return true end local e=ActMgr:GetActCfgData(e) local e=e and e[""redPointLv""]or 1 if PlayerMgr.PlayerInfo.level<e then return false end return true end function ActMgr:GetActivityHeroId(e) local e=ActMgr:GetActCfgData(e) local e=e[""heroId""]or 0 return e end function ActMgr:GetActivityBannerIcon(t,i) local a=""Assets/Download/UI/UIPrefabAndRes/MainInterface_Ext_Act_1/activitybanner_"" local e local s="""" if o:StaticIsSsrAndOtherDrawAct(t)then local n if t==405 then n=i or 1002 else n=o:staticGetActCfgHeroCfgId(t) e=n end loc"
main_slot_wrappers,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,btn_act_1..8,main activity wrapper slots,slots_known_visibility_unknown,refreshMainAct disables all wrappers then enables only ActMgr:GetActInMain results.,"local le={ btn_act_1,btn_act_2,btn_act_3,btn_act_4,btn_act_5,btn_act_6,btn_act_7,btn_act_8 } local ue={ btn_face_item_1,btn_face_item_2,btn_face_item_3,btn_face_item_4,btn_face_item_5,btn_face_item_6,btn_face_item_7 } local Y={ {text=""ui_new_main_tips1"",bgImg=""UIMainInterface2/zhuye_maoxian""}, {text=""ui_new_main_tips2"",bgImg=""UIMainInterface2/zhuye_pvp""}, {text=""ui_new_main_tips3"",bgImg=""UIMainInterface2/zhuye_xinshou""}, } local d={ } local p={} local y={} local z={} local he local re=-1 local de=-1 local q=0 local"
face_slot_wrappers,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,btn_face_item_1..7,face activity wrapper slots,slots_known_visibility_unknown,refreshFaceAct active rows require ActMgr:GetActInMainFace runtime result.,"local ue={ btn_face_item_1,btn_face_item_2,btn_face_item_3,btn_face_item_4,btn_face_item_5,btn_face_item_6,btn_face_item_7 } local Y={ {text=""ui_new_main_tips1"",bgImg=""UIMainInterface2/zhuye_maoxian""}, {text=""ui_new_main_tips2"",bgImg=""UIMainInterface2/zhuye_pvp""}, {text=""ui_new_main_tips3"",bgImg=""UIMainInterface2/zhuye_xinshou""}, } local d={ } local p={} local y={} local z={} local he local re=-1 local de=-1 local q=0 local j=0 local ae,O=0 local oe,A=0 local K,T=0 local d=nil local Q=150 local B=false local L=nil"
main_activity_refresh_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-8694572285188909557_UI_MainPageActItem_security_xor_raw.lua,UI_MainPageActItem:Refresh,GameTools.GetLocalize + ActCfgData mainPageName/mainPageSpineId,placeholder_not_authoritative,The visible text/spine depends on selected runtime actInfo.,"function e:Refresh(t) self._actInfo=t self:SetActId(t.actId) local o=t.tbSpine local a=GameTools.GetLocalize(t.name,LanguageCategory.LangCommon) local e=i[self._actId] if t.systemId~=nil then if e and self._actId~=301 and e.getActNewName then a=e.getActNewName() else a=ActMgr:GetActivityBaseName(t.systemId) end else if e and self._actId~=301 and e.getActNewName then a=e.getActNewName() elseif e and e.mainPageName then a=GameTools.GetLocalize(e.mainPageName,LanguageCategory.LangCommon) end if e and e.mainPageSpineId then o=t.mainPageSpineId end end self:CheckRefreshSpine(o) LuaUtils.SetTextMeshText(self._bicoms[""txt_act_name""],a) self:RefreshRedPoint() end function e:UpdateFaceGiftBtnStage(e) end function e:SetActive(e) LuaUtils.SetActive(self._trans.transform,e) end function e:RefreshRedPoint() LuaUtils.SetActive(self._bicoms[""im_qipao1""].transform,false) LuaUtils.SetActive(self._bicoms[""root_red_special""].transform,false) local e=ActMgr:CheckSpeicalRedPoint(self._actId) if e==nil then if self._actId==5 then local t=false local e=false if not RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.MONTH_SIGN)then if RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.M..."
face_activity_refresh_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-7919191389644174794_UI_MainPageFaceActItem_security_xor_raw.lua,UI_MainPageFaceActItem:Refresh,runtime label/timer/spine refresh,placeholder_not_authoritative,The visible text/spine/timer depends on selected runtime actInfo.,"function e:Refresh(a) self._actInfo=a self:SetActId(a.actId) local i=a.tbSpine local t=GameTools.GetLocalize(a.name,LanguageCategory.LangCommon) local e=o[self._actId] if a.systemId~=nil then if e.getActNewName then t=e.getActNewName() else t=ActMgr:GetActivityBaseName(a.systemId) end else if e.getActNewName then t=e.getActNewName() elseif e and e.mainPageName then t=GameTools.GetLocalize(e.mainPageName,LanguageCategory.LangCommon) end if e and e.mainPageSpineId then i=a.mainPageSpineId end end LuaUtils.SetTextMeshText(self._bicoms[""txt_act_name""],t) LuaUtils.SetActive(self._bicoms[""txt_act_leftTime""].transform,false) self:CheckRefreshSpine(i) if self._timer then self._timer:Stop() self._timer=nil end if self._timer2 then self._timer2:Stop() self._timer2=nil end if self._actId==39 then LuaUtils.SetActive(self._bicoms[""txt_act_leftTime""].transform,true) local e=0 for a,t in pairs(ModulesInit.KillDragonsManager.ActGragonGift.gifts)do if not t.isPay and t.leftTime>TimeUtil.serverMillTimeStamp then if e==0 then e=t.leftTime else if t.leftTime<e then e=t.leftTime end end end end if e==0 then LuaUtils.SetTextMeshText(self._bicoms[""txt_act_leftTime""],t) else self._timer=ModulesInit.TimeA..."
actcfg_override_static,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,ActCfgData mainPageName/mainPageSpineId,static override table exists,available_for_selected_act_only,The selected activity id still comes from server/runtime ActMgr.activitys.,"on() local e=require(""Modules/Act/ActLuckyTurntable/ActLuckyTurntableMgr"") e:init() end }, [409]={ actId=409, uiFormId=UIFormId.UI_underwear_lucky, otherNewUIFormId={ UIFormId.UI_UnderwearLuckyResult, UIFormId.UI_UnderwearLuckyPool, UIFormId.UI_UnderwearLuckyTenDrag, }, }, [410]={ actId=410, uiFormId=UIFormId.UI_shenjizhiguang_root, }, [411]={ actId=411, uiFormId=UIFormId.UI_lucky_food, }, [412]={ actId=412, uiFormId=UIFormId.UI_UltimateRebateAlone, }, [413]={ actId=413, uiFormId=UIFormId.UI_UltimateRebateContinue, }, [414]={ actId=414, uiFormId=UIFormId.UI_UltimateRebateDaily, mainPageName=""activityname_4100"", mainPageRedPointFunc=function() if RedPointMgr:checkServerRedPoint(412) or RedPointMgr:checkServerRedPoint(413) or RedPointMgr:checkServerRedPoint(414) or RedPointMgr:checkServerRedPoint(415) then return true end return false end, mainPageSpineId=104140000, mainPageTouchJumpId=fu..."
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_1004,충전,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"me_301']='충전', ['jumpname_9']='충전', ['activityname_1004']='충전', ['newMonth_tips_22']='충전 목표를 달성하면 무료로 월간 패스를 1회 수령할 수 있습니다.', ['activity"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_1005,소집,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"한 존재', ['UI.guild.Manage.06']='소집', ['activityname_1005']='소집', ['DTDrawHeroWeekTaskText_1']='소집 {0}회', ['UI.guild.Manage.24']='소집 공지',"
