path,type,sizeBytes,parseStatus,matchedMarkers,fieldsFound,canDriveGetActInMain,driveReason,sample
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP.meta,font_tmp_binding,172,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: a577c44b79c64f54ba3edbcd9a216820 folderAsset: yes DefaultImporter: externalObjects: {} userData: assetBundleName: assetBundleVariant:
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\GirlsWarRestore_KoreanFallback_TMP.asset,font_tmp_binding,64893,text_scanned,TextMeshPro,,False,not_a_complete_runtime_activity_player_snapshot,"1c1514a6bd24e1e882cebbe1904ce04, type: 3} m_Name: GirlsWarRestore_KoreanFallback_TMP m_EditorClassIdentifier: Unity.TextMeshPro::TMPro.TMP_FontAsset m_Version: 1.1.0 m_FaceInfo: m_FaceIndex: 0 m_FamilyName: Malgun Gothic m_StyleName: Regular m_PointSize: 40 m_Scale: 1 m_UnitsPerEM: 2048 m_LineHeight: 53.203125 m_AscentLine: 43.535156 m_CapLine: 29 m_MeanLine: 21 m_Baseline: 0 m_DescentLine: -9.667969 m_SuperscriptOffset: 43.535156 m_SuperscriptSize: 0.5 m_SubscriptOff"
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\GirlsWarRestore_KoreanFallback_TMP.asset.meta,font_tmp_binding,189,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: 97ab741bdc0593f4d9a9efd34bd17e46 NativeFormatImporter: externalObjects: {} mainObjectFileID: 11400000 userData: assetBundleName: assetBundleVariant:
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts.meta,font_tmp_binding,172,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: a67d7fe9fa8357f449ec2e8921903887 folderAsset: yes DefaultImporter: externalObjects: {} userData: assetBundleName: assetBundleVariant:
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_EPM_TMP.asset,font_tmp_binding,4302901,text_scanned,TextMeshPro,,False,not_a_complete_runtime_activity_player_snapshot,"0, guid: 71c1514a6bd24e1e882cebbe1904ce04, type: 3} m_Name: GirlsWarOriginal_EPM_TMP m_EditorClassIdentifier: Unity.TextMeshPro::TMPro.TMP_FontAsset m_Version: 1.1.0 m_FaceInfo: m_FaceIndex: 0 m_FamilyName: NanumGothic m_StyleName: Bold m_PointSize: 40 m_Scale: 1 m_UnitsPerEM: 1000 m_LineHeight: 46 m_AscentLine: 36.8 m_CapLine: 28 m_MeanLine: 19 m_Baseline: 0 m_DescentLine: -9.2 m_SuperscriptOffset: 36.8 m_SuperscriptSize: 0.5 m_SubscriptOffset: -9.2 m_SubscriptSi"
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_EPM_TMP.asset.meta,font_tmp_binding,189,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: e2f3e18266ea9144a800391193dc10a6 NativeFormatImporter: externalObjects: {} mainObjectFileID: 11400000 userData: assetBundleName: assetBundleVariant:
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_num_TMP.asset,font_tmp_binding,164174,text_scanned,TextMeshPro,,False,not_a_complete_runtime_activity_player_snapshot,"0, guid: 71c1514a6bd24e1e882cebbe1904ce04, type: 3} m_Name: GirlsWarOriginal_num_TMP m_EditorClassIdentifier: Unity.TextMeshPro::TMPro.TMP_FontAsset m_Version: 1.1.0 m_FaceInfo: m_FaceIndex: 0 m_FamilyName: Impact m_StyleName: Regular m_PointSize: 40 m_Scale: 1 m_UnitsPerEM: 2048 m_LineHeight: 48.789062 m_AscentLine: 40.351562 m_CapLine: 32 m_MeanLine: 26 m_Baseline: 0 m_DescentLine: -8.4375 m_SuperscriptOffset: 40.351562 m_SuperscriptSize: 0.5 m_SubscriptOffset: -8.4"
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_num_TMP.asset.meta,font_tmp_binding,189,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: c2920ef46f8aae84b8c90f9c5882667d NativeFormatImporter: externalObjects: {} mainObjectFileID: 11400000 userData: assetBundleName: assetBundleVariant:
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_riyu_TMP.asset,font_tmp_binding,8461446,text_scanned,TextMeshPro,,False,not_a_complete_runtime_activity_player_snapshot,", guid: 71c1514a6bd24e1e882cebbe1904ce04, type: 3} m_Name: GirlsWarOriginal_riyu_TMP m_EditorClassIdentifier: Unity.TextMeshPro::TMPro.TMP_FontAsset m_Version: 1.1.0 m_FaceInfo: m_FaceIndex: 0 m_FamilyName: tway_sky m_StyleName: M m_PointSize: 40 m_Scale: 1 m_UnitsPerEM: 1000 m_LineHeight: 40.16 m_AscentLine: 32.08 m_CapLine: 30 m_MeanLine: 21 m_Baseline: 0 m_DescentLine: -8.08 m_SuperscriptOffset: 32.08 m_SuperscriptSize: 0.5 m_SubscriptOffset: -8.08 m_SubscriptS"
C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\TMP\original_fonts\GirlsWarOriginal_riyu_TMP.asset.meta,font_tmp_binding,189,text_scanned,,,False,not_a_complete_runtime_activity_player_snapshot,fileFormatVersion: 2 guid: 0fe7ea4c2a14d2f4291db4a708d72692 NativeFormatImporter: externalObjects: {} mainObjectFileID: 11400000 userData: assetBundleName: assetBundleVariant:
