hierarchyPath,gameObjectName,componentType,textSample,activeInHierarchy,enabled,visible,classification,sourceReason,fontName,materialName,evidenceMaterialName,evidenceSharedMaterialPathId,evidenceBundle,bindingStatus,fontSize,raycastTarget,rect
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/text_num__-303524072024309074__font_num","text_num__-303524072024309074__font_num","TextMeshProUGUI","5099만","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_num_TMP","TMPShared_num_120833204736823593","TMPShared_num_120833204736823593","120833204736823593","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","24","False","95.7:14.2:200:50"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/huodong3__-5155750984123387295/Viewport__4633266571554794787/Content__-2821957406048891241/btn_huodong3__1647537258896707193/bg_time__-754352213292762594/text_num__-8449929650395926112","text_num__-8449929650395926112","UnityEngine.UI.Text","2021.6.1-7.1","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","Malgun Gothic","Default UI Material","","","","not_static_tmp_candidate","16","False","44:0:100:20"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/btn_youjian__-1189460423525129158/text_youjian__2098579224181502371__font_riyu","text_youjian__2098579224181502371__font_riyu","TextMeshProUGUI","우편","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_TMP","GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_Material","GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","22","False","0:-32.6:110:20"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/liaotian__1445380050083804015/p_chat_private__-3796294102302663824/p_chat_private_name__-2596980779582491920","p_chat_private_name__-2596980779582491920","UnityEngine.UI.Text","소전소전","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","Malgun Gothic","Default UI Material","","","","not_static_tmp_candidate","20","False","-24.4:0:130:40"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_1__-5881528278310961717/txt_act_name__6739934036309755628__font_riyu","txt_act_name__6739934036309755628__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_10__-2168972876104337494/txt_act_name__-2243657245863442245__font_riyu","txt_act_name__-2243657245863442245__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_11__989367443082764204/txt_act_name__77944232778520417__font_riyu","txt_act_name__77944232778520417__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_12__2652907961449290088/txt_act_name__4961605995015323509__font_riyu","txt_act_name__4961605995015323509__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_13__-417605672092456394/txt_act_name__-4841666426536854686__font_riyu","txt_act_name__-4841666426536854686__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
"Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/node_act_btn__-2702129779362243929/btn_act_14__-7919623630181505348/txt_act_name__5810249116969808122__font_riyu","txt_act_name__5810249116969808122__font_riyu","TextMeshProUGUI","옷장과의 약속","True","True","True","dynamic_runtime_snapshot_required","Activity, face activity, chat/account/player/currency, or server-driven text path; UI130 snapshot replay is required before value/icon/slot changes.","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","","Assets/RestoreData/TMP/static_probe","not_static_tmp_candidate","18","False","0:-36:90:14.01"
