"category","source_backed_decision","name","path","active_self","active_in_hierarchy","sibling_index","child_count","component_types","has_button","button_interactable","has_graphic","graphic_enabled","graphic_raycast_target","graphic_maskable","graphic_material","graphic_color","image_sprite","image_type","image_preserve_aspect","text_sample","text_font","text_material","anchor_min","anchor_max","pivot","anchored_position","size_delta","rect_size","local_scale","local_position","local_rotation","screen_rect_valid","screen_rect","screen_min_x","screen_min_y","screen_max_x","screen_max_y","canvas_override_sorting","canvas_sorting_order","canvas_render_mode","nearest_canvas_path","nearest_canvas_sorting_order","canvas_group_alpha","mask_ancestors"
"hero_bg_target","audit_row_no_patch","UI_MainInterface_old__2475216337245998118","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118","True","True","0","11","RectTransform","False","False","False","False","False","False","","","","","False","","","","0,0","1,1","0.5,0.5","0,0","0,0","1269.961,952.471","1,1,1","0,0,0","0,0,0","True","0,0,1680,720","0","0","1680","720","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","source_backed_bg1005_binding_already_candidate_no_raycast_patch","UI_bg__-3280973633984018659","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_bg__-3280973633984018659","True","True","0","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","runtime_UI_bg_noalphabg_PaintingBG_1005","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","1680,720","1680,720","1,1,1","0,0,0","0,0,0","True","-271.216,87.866,1951.215,632.134","-271.216","87.866","1951.215","632.134","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","source_backed_hero_mount_probe_only_homepara_transform_unresolved","UI_heroSpine__-2739654541028205496","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_heroSpine__-2739654541028205496","True","True","1","1","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","1,1,1,0","","Simple","False","","","","0,0","1,1","0.5,0.5","0,0","0,0","1269.961,952.471","1,1,1","0,0,0","0,0,0","True","0,0,1680,720","0","0","1680","720","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","source_backed_hero_mount_probe_only_homepara_transform_unresolved","Restore_Hero1005_SpineRoot_UI126","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_heroSpine__-2739654541028205496/Restore_Hero1005_SpineRoot_UI126","True","True","0","1","RectTransform","False","False","False","False","False","False","","","","","False","","","","0,0","1,1","0.5,0.5","0,0","0,0","1269.961,952.471","1,1,1","0,0,0","0,0,0","True","0,0,1680,720","0","0","1680","720","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","source_backed_hero_mount_probe_only_homepara_transform_unresolved","Restore_Hero1005_Painting_1005_UI126","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_heroSpine__-2739654541028205496/Restore_Hero1005_SpineRoot_UI126/Restore_Hero1005_Painting_1005_UI126","True","True","0","1","CanvasRenderer|RectTransform|SkeletonGraphic","False","False","True","True","False","True","Painting_1005_Material","1,1,1,1","","","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","100,100","1,1,1","0,0,0","0,0,0","True","773.856,322.204,906.144,397.796","773.856","322.204","906.144","397.796","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","source_backed_hero_mount_probe_only_homepara_transform_unresolved","Renderer0","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_heroSpine__-2739654541028205496/Restore_Hero1005_SpineRoot_UI126/Restore_Hero1005_Painting_1005_UI126/Renderer0","True","True","0","0","CanvasRenderer|RectTransform|SkeletonSubmeshGraphic","False","False","True","True","False","True","Default UI Material","1,1,1,1","","","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","100,100","1,1,1","0,0,0","0,0,0","True","773.856,322.204,906.144,397.796","773.856","322.204","906.144","397.796","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","UI_touchSpine__-318661959714136002","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_touchSpine__-318661959714136002","True","True","2","0","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","1,1,1,0","","Sliced","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","650,500","650,500","1,1,1","0,0,0","0,0,0","True","410.065,171.018,1269.935,548.982","410.065","171.018","1269.935","548.982","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","bg_dibu__3952187160617600986","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/bg_dibu__3952187160617600986","True","True","10","1","CanvasRenderer|Image|RectTransform","False","False","True","True","False","True","Default UI Material","0,0,0,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0","0,-360","2500,48","2500,48","1,1,1","0,-360,0","0,0,0","True","-813.595,87.866,2493.594,124.15","-813.595","87.866","2493.594","124.15","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","text__-335120057160315000","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/bg_dibu__3952187160617600986/text__-335120057160315000","True","True","0","0","CanvasRenderer|RectTransform|Text","False","False","True","True","False","True","Default UI Material","1,1,1,1","","","False","탭하여 계속","Malgun Gothic","Default UI Material","0.5,0.5","0.5,0.5","0.5,0.5","0,0","0,40","0,40","1,1,1","0,24,0","0,0,0","True","840,90.889,840,121.127","840","90.889","840","121.127","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_show__5912329455179860930","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/btn_show__5912329455179860930","False","False","9","2","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid1_6617065208850742552_Image_blank","Simple","False","","","","0,0","1,1","0.5,0.5","0,0","0,0","1269.961,952.471","1,1,1","0,0,0","0,0,0","True","0,0,1680,720","0","0","1680","720","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_qinmi2__-4496666522938041730","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/btn_show__5912329455179860930/btn_qinmi2__-4496666522938041730","True","False","0","1","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid36_-1121192961255645693_T_daojudi","Simple","False","","","","1,0.5","1,0.5","0.5,0.5","-100,-252","158,142","158,142","0.8,0.8,1","534.98,-252,0","0,0,0","True","1464.107,126.569,1631.318,212.443","1464.107","126.569","1631.318","212.443","False","0","","Canvas_MainInterface_1280x720","0","",""
