evidence_kind,source,prefab_root,owner_in_main_root,group,name,path_or_symbol,active_or_state,line,snippet,decision
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,init_bag_world_pos,init_bag_world_pos,runtime_logic,104-104,"L104:ModulesInit.UIPosMgr:setWorldPos(ModulesInit.UIPosMgr.EPosType.Bag,btnToggle2.transform.position)",btnToggle2 world position saved for Bag
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,review_hides_toggle3_only,review_hides_toggle3_only,runtime_logic,115-126,"L115:if GameTools:IsReview()then | L116:LuaUtils.SetActive(btn_qinmi.transform,false) | L117:LuaUtils.SetActive(node_renwu.transform,false) | L118:LuaUtils.SetActive(btn_twitter.transform,false) | L119:LuaUtils.SetActive(btn_discord.transform,false) | L120:LuaUtils.SetActive(btn_beijing.transform,false) | L121:LuaUtils.SetActive(btn_naver.transform,false) | L122:local e=e:Find(""right/node_bottom/toogles/toggle3"") | L123:LuaUtils.SetActive(e,false) | L124:LuaUtils.SetActive(mian_wanfa_item_3.transform,false) | L125:LuaUtils.SetActive(mian_wanfa_item_4.transform,false) | L126:else",review branch hides right/node_bottom/toogles/toggle3; normal branch has no hide here
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,right_button_listeners,right_button_listeners,runtime_logic,180-203,"L180:function InitRightNode() | L181:btn_renwu.onClick:AddListener(OnQuestBtnClick) | L182:btn_jia_gold.onClick:AddListener(onBtnAddGold) | L183:btn_jia_holy.onClick:AddListener(onBtnAddHoly) | L184:btn_shangdian.onClick:AddListener(onBtnShop) | L185:worldwanfaBtn.onClick:AddListener(onBtnWorld) | L186:local e=mian_wanfa_item_1:GetComponents() | L187:e[""wanfaBtn""].onClick:AddListener(onBtnAdventure) | L188:local e=mian_wanfa_item_2:GetComponents() | L189:e[""wanfaBtn""].onClick:AddListener(onBtnJinji) | L190:local e=mian_wanfa_item_3:GetComponents() | L191:e[""wanfaBtn""].onClick:AddListener(onBtnLimit) | L192:local e=mian_wanfa_item_4:GetComponents() | L193:e[""wanfaBtn""].onClick:AddListener(onBtnActJump) | L194:btnToggle1.onClick:AddListener(onBtnCamp) | L195:btnToggle2.onClick:AddListener(onBtnBag) | L196:btnToggle3.onClick:AddListener(onBtnShouhu) | L197:btnToggle4.onClick:AddListener(onBtnHufu) | L198:btnToggle5.onClick:AddListener(onBtnGuild) | L199:btnToggle6.onClick:AddListener(onBtnCity) | L200:btnToggle7.onClick:AddListener(onBtnSummonPet) | L201:LuaUtils.SetTextMeshText(lab_renwu_text,GameTools.GetLocalize(""Funtionname_10025"",LanguageCategory.LangCommon)) | L202:LuaUtils.SetTextMeshText(lab_shangdian_text,GameTools.GetLocalize(""Funtionname_10056"",LanguageCategory.LangCommon)) | L203:end","btn_shangdian, worldwanfaBtn, btnToggle1..7 click listeners and static labels"
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,login_layout_group_enable,login_layout_group_enable,runtime_logic,460-488,"L460:ModulesInit.MainPageLimitMgr.enGameMainOnGuide=true | L461:SetToggleLayoutGroupView2() | L462:StopToggleSequence() | L463:local e=CS.DG.Tweening.DOTween.Sequence() | L464:e:AppendInterval(0.8) | L465:e:AppendCallback( | L466:function() | L467:SetToggleLayoutGroupView() | L468:EventSystem.SendEvent(CommonEventId.OnReStartGuide,{event=""OPEN_MAINPAGE_SUC""}) | L469:S=nil | L470:end | L471:) | L472:S=e | L473:CheckGuideHandShow() | L474:CheckAutoPop() | L475:end | L476:end | L477:function OnGuideFinishRefreshDock() | L478:CheckGuideHandShow() | L479:SetToggleLayoutGroupView() | L480:end | L481:function SetToggleLayoutGroupView2() | L482:local t=toogles.transform:GetComponent(typeof(CS.UnityEngine.UI.HorizontalLayoutGroup)) | L483:local a=toogles.transform:GetComponent(typeof(CS.UnityEngine.UI.ContentSizeFitter)) | L484:local e=node_act_btn.transform:GetComponent(typeof(CS.UnityEngine.UI.GridLayoutGroup)) | L485:e.enabled=true | L486:a.enabled=true | L487:t.enabled=true | L488:end","SetToggleLayoutGroupView2 enables HorizontalLayoutGroup, ContentSizeFitter, node_act_btn GridLayoutGroup"
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,shop_function_visibility,shop_function_visibility,runtime_logic,1128-1138,"L1128:LuaUtils.SetActive(im_funhandbook_bg.transform,GameTools:IsReview()==false and GameFunction.IsFunctionUnLock(GameFunctionType.FunHandBook)) | L1129:if GameTools:IsReview()==false then | L1130:SetFuncShowStatus(node_renwu,GameFunctionType.Quest) | L1131:else | L1132:LuaUtils.SetActive(node_renwu.transform,false) | L1133:end | L1134:if GameTools:IsReview()==false or GameEntry.IsCommittee then | L1135:SetFuncShowStatus(btn_shangdian,GameFunctionType.shop) | L1136:else | L1137:LuaUtils.SetActive(btn_shangdian.transform,false) | L1138:end",btn_shangdian visibility depends on review/committee and GameFunctionType.shop
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,redpoint_bottom_toggles,redpoint_bottom_toggles,runtime_logic,1809-1814,"L1809:CheckBagTip() | L1810:LuaUtils.SetActive(btnToggle3.transform.parent:Find(""im_red""),CheckShouhuBtnRedDot()) | L1811:LuaUtils.SetActive(guild_red_point.transform,RedPointMgr:checkGuildRedPoint()) | L1812:if GameFunction.IsFunctionUnLock(GameFunctionType.City,false)then | L1813:local e=false | L1814:LuaUtils.SetActive(im_city_buildable.transform,false)",bottom toggle redpoint/runtime state begins here
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,hide_show_maininterface_animator,hide_show_maininterface_animator,runtime_logic,2685-2695,"L2685:function onBtnHideUI() | L2686:LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_out"",0,0) | L2687:LuaUtils.SetActive(autoHelper_Root.transform,false) | L2688:LuaUtils.SetActive(btn_show.transform,true) | L2689:EventSystem.SendEvent(CommonEventId.DrawMarqueeMsgNotify,{hide=1}) | L2690:end | L2691:function onBtnShow() | L2692:LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_in"",0,0) | L2693:OnDelayDoCallBack(0.2,RefereshAutoHelperView) | L2694:LuaUtils.SetActive(btn_show.transform,false) | L2695:EventSystem.SendEvent(CommonEventId.DrawMarqueeMsgNotify,{hide=0})",UI_MainInterface out/in animator plays for hide/show
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,UI_MainInterface,,UI_MainPage,btnToggle_jump_handlers,btnToggle_jump_handlers,runtime_logic,2896-2918,"L2896:function onBtnWorld() | L2897:JumpMgr.OnGameJumpUIIdle() | L2898:end | L2899:function onBtnCamp() | L2900:JumpMgr.OnGameJumpUICamp({}) | L2901:end | L2902:function onBtnBag() | L2903:JumpMgr.OnGameJumpUIBag() | L2904:end | L2905:function onBtnShouhu() | L2906:GameEntry.UI:OpenUIForm(UIFormId.UI_GuardMain) | L2907:end | L2908:function onBtnHufu() | L2909:EventSystem.SendEvent(CommonEventId.OnEventNextGuide,{event=""ON_CLICK_MAINHUFU_SUC""}) | L2910:AmuletMgr:EnterAmuletView() | L2911:end | L2912:function onBtnGuild() | L2913:JumpMgr.OnGameJumpUIGuild() | L2914:end | L2915:function onBtnCity() | L2916:JumpMgr.OnGameJumpUICityRoot() | L2917:end | L2918:function onBtnSummonPet()",btnToggle handlers jump/open other UI
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,UI_Dock,,UI_Dock,dock_type_mapping,dock_type_mapping,runtime_open_stack_candidate,7-15,"L7:local d={ | L8:[DOCK_TYPE.MAIN_PAGE]={main_on,main_off,sp_mainpage}, | L9:[DOCK_TYPE.CAMP]={camp_on,camp_off,sp_camp}, | L10:[DOCK_TYPE.BAG]={bag_on,bag_off,sp_bag}, | L11:[DOCK_TYPE.EXPEDITION]={expedition_on,expedition_off,sp_expedition}, | L12:[DOCK_TYPE.ADVENTURE]={adventureInterface_on,adventureInterface_off,sp_adventureInterface}, | L13:[DOCK_TYPE.GUILD]={guild_on,guild_off,sp_guild}, | L14:[DOCK_TYPE.MAIN_CITY]={mainCity_on,mainCity_off,sp_maincity}, | L15:}",UI_Dock owns main/camp/bag/expedition/adventure/guild/city bottom dock state
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,UI_Dock,,UI_Dock,dock_onopen_default_main_page,dock_onopen_default_main_page,runtime_open_stack_candidate,44-80,"L44:function OnOpen(a) | L45:EventSystem.AddListener(CommonEventId.OnOpenDockUI,onOpenDockUI) | L46:EventSystem.AddListener(CommonEventId.OnCloseDockAndCurrUI,onCloseDockAndCurrUI) | L47:EventSystem.AddListener(CommonEventId.OnHideDockAndCurrUI,onHideDockAndCurrUI) | L48:EventSystem.AddListener(CommonEventId.OnPlayInfoChange,OnPlayInfoChange) | L49:EventSystem.AddListener(CommonEventId.OnPlayerLoginComplete,OnPlayerLoginComplete) | L50:EventSystem.AddListener(CommonEventId.RedPointInfoChange,RefreshRedPoint) | L51:EventSystem.AddListener(CommonEventId.OnDockShowHide,onDockShowHide) | L52:EventSystem.AddListener(CommonEventId.GetIdleItemsSuccess,OnGetIdleItemsSuccess) | L53:EventSystem.AddListener(CommonEventId.OnEquipCountChange,CheckBagTip) | L54:EventSystem.AddListener(CommonEventId.KillDragonsInfoSync,CheckKillDragonsTip) | L55:EventSystem.AddListener(CommonEventId.KillDragonsExitRoomSync,CheckKillDragonsTip) | L56:EventSystem.AddListener(CommonEventId.BagSizeChange,CheckBagTip) | L57:EventSystem.AddListener(CommonEventId.OnEventTitanDescInfo,OnEventTitanDescInfo) | L58:EventSystem.AddListener(CommonEventId.OnGuideFinishRefreshDock,CheckGuideHandShow) | L59:EventSystem.AddListener(CommonEventId.OnStartGuide,CheckGuideHandShow) | L60:EventSystem.AddListener(CommonEventId.NewShowInfoChange,onNewShowChange) | L61:EventSystem.AddListener(CommonEventId.PlayerLevelUp,OnPlayerLevelUp) | L62:EventSystem.AddListener(SysEventId.OnLoadingClosed,OnLoadingClosed) | L63:EventSystem.AddListener(CommonEventId.OnItemInfoChange,CheckBagTip) | L64:EventSystem.AddListener(CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess) | L65:EventSystem.AddListener(CommonEventId.OnRespFlowerQualification,OnRespFlowerQualification) | L66:r=false | L67:e=a and a.tabIndex or DOCK_TYPE.MAIN_PAGE | L68:if ModulesInit.StoryManager.isStoryCreateName==true then | L69:if ModulesInit.GuideMgr.isOpenGuide and GameFunction:CheckNewGuideByFunc231101()then | L70:LuaUtils.SetActive(transform,false) | L71:else | L72:LuaUtils.SetActive(transform,true) | L73:end | L74:else | L75:LuaUtils.SetActive(transform,true) | L76:end | L77:m=a and a.userData | L78:initEnterTab(m) | L79:CheckBagTip() | L80:RefreshRedPoint()",UI_Dock OnOpen defaults tabIndex to DOCK_TYPE.MAIN_PAGE and activates transform unless story-guide exception
