model_id,homePara,home_scale,home_x,home_y,home_flip_flag,teamPara,awakePara,soulPara,paintingBg,interpretation,source
1005,"[1.0, 0.0, 0.0]",1.0,0.0,0.0,,"[1.0, 0.0, 0.0]","[0.8, 0.0, 0.0]","[0.75, -100.0, 50.0]",100505,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
1001,"[1.0, 0.0, 0.0]",1.0,0.0,0.0,,"[1.0, 0.0, 0.0]","[0.8, 0.0, 0.0]","[0.75, -100.0, 50.0]",100105,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
1016,"[1.0, 0.0, 0.0]",1.0,0.0,0.0,,"[1.0, 0.0, 0.0]","[0.8, 0.0, 0.0]","[0.75, -100.0, 50.0]",101605,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
1022,"[1.0, 0.0, 0.0]",1.0,0.0,0.0,,"[1.0, 0.0, 0.0]","[0.8, 0.0, 0.0]","[0.75, -100.0, 50.0]",102205,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
1036,"[1.0, 0.0, 0.0]",1.0,0.0,0.0,,"[1.0, 0.0, 0.0]","[0.944, 90.0, 11.2]","[0.885, -50.0, 64.0]",103605,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
22012,[0.0],0.0,,,,"[1.0, 0.0, 0.0]","[0.9, 0.0, -10.0]","[0.75, -100.0, 50.0]",0,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
22015,[0.0],0.0,,,,"[1.0, 0.0, 0.0]","[0.9, 0.0, -10.0]","[0.75, -100.0, 50.0]",0,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
22025,[0.0],0.0,,,,"[1.0, 0.0, 0.0]","[0.9, 0.0, -10.0]","[0.75, -100.0, 50.0]",0,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
22039,[0.0],0.0,,,,"[1.0, 0.0, 0.0]","[0.9, 0.0, -10.0]","[0.75, -100.0, 50.0]",0,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
22041,[0.0],0.0,,,,"[1.0, 0.0, 0.0]","[0.9, 0.0, -10.0]","[0.75, -100.0, 50.0]",0,"homePara[1]=scale; [2]=local x; [3]=local y; [4] optional horizontal flip, per decoded UIUtil.GetPlayerBigSpineAll",C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a6bf6dda1077db5c\textassets\-741484770043515851_DTmodelEntityTableData.txt
