evidence_kind,source,path_id,asset_name,raw_size,decoded_size,xor_key_offset,xor_key_hex,printable_ratio_first4096,status,snippet,line,symbol
raw_textasset_decode,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\common.assetbundle,1562019163544957341,UIUtil,133391,133391,0x5829d1,2d 42 26 37 17 fe 09 a5 5a 13 29 2d c9 3a 37 25 fe b9 a5 a9 13 ab,1.000,decoded_lua_like,"local r=require(""DataNode/DataTable/Create/model/DTmodelDBModel"")\nlocal d=require(""DataNode/DataTable/Create/hero/DTHeroDBModel"")\nlocal e=require(""DataNode/Data",,
uiutil_function,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"function UIUtil.GetPlayerBigSpineAll(e,a,i,n,o) if o==nil then o=true end local e=UIUtil.GetHeroModelId(e) local e=r.GetEntity(e) local t=e.paintingGroup local s=e.paintingGroup_A2 local h=e.paintingGroup_A2_front GameTools:PoolGameObjectSpawn( t, nil, function(t,r,r) LuaUtils.SetParent(t,a) LuaUtils.SetLocalPos(t,0,0,0) LuaUtils.SetLocalEulerAngles(t,0,0,0) local a=t:Find(""Painting_""..e.id) if i then local t=e[i][1] local s=e[i][2] local n=e[i][3] local o=1 if e[i][4]then o=-1 end LuaUtils.SetLocalPos(a,s,n,0) LuaUtils.SetLocalScale(a,t*o,t,t) else LuaUtils.SetLocalPos(a,0,0,0) LuaUtils.SetLocalScale(a,1,1,1) end LuaUtils.SetLayer(t,""UI"") local i=a:GetComponent(typeof(CS.YouYou.UISpineCtr)) i:SetToSetupPose() i:ClearTracks() if o then local t t=function(a) local e=""A"" if a==""A""then e=""A1"" if s==2 then e=""A2"" end end return i:PlayAnimation(0,e,false,t) end local e=""A"" i:PlayAnimation(0,e",2472,UIUtil.GetPlayerBigSpineAll
uiutil_function,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,function UIUtil.GetHeroModelId(t) local e if PlayerMgr:IsLordProfile(t)then local t=PlayerMgr:GetProfileCfgData(t) e=t.profile else local t=d.GetEntity(t) e=t.modelID end return e end,2461,UIUtil.GetHeroModelId
uiutil_function,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,function UIUtil.GetHeroModelCfgData(t) local a=d.GetEntity(t) local e=nil if a==nil then e=r.GetEntity(t) else e=r.GetEntity(a.modelID) end return e end,2950,UIUtil.GetHeroModelCfgData
uiutil_function,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"function UIUtil.GetPaintingBg(e) if GameTools:IsReview()then return""Assets/Download/UICommonBg/UICommonBG8/noalphabg_NeiyiBG_02.png"" else local e=UIUtil.GetHeroModelId(e) local e=r.GetEntity(e) return string.format(""Assets/Download/RolePrefabsAndRes/PaintingPrefabAndRes/%d/%s.png"",e.id,e.paintingBg) end end",2183,UIUtil.GetPaintingBg
uiutil_function,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"function UIUtil.GetPlayerBigSpineAllHeroShow(t,i,n,l,s,h,o,u,e) if h==nil then h=true end local t=d.GetEntity(t) local a=r.GetEntity(t.modelID) local t=a.paintingGroup local r=a.paintingGroup_A2 local d=a.paintingGroup_A2_front GameTools:PoolGameObjectSpawn( t, nil, function(t,c,c) LuaUtils.SetParent(t,i) LuaUtils.SetLocalPos(t,0,0,0) LuaUtils.SetLocalEulerAngles(t,0,0,0) local i=t:Find(""Painting_""..a.id) if n then local e=a[n][1] local s=a[n][2] local o=a[n][3] local t=1 if a[n][4]then t=-1 end LuaUtils.SetLocalPos(i,s,o,0) LuaUtils.SetLocalScale(i,e*t,e,e) else LuaUtils.SetLocalPos(i,0,0,0) LuaUtils.SetLocalScale(i,1,1,1) end LuaUtils.SetLayer(t,""UI"") if l then l() end local n=i:GetComponent(typeof(CS.YouYou.UISpineCtr)) n:SetToSetupPose() n:ClearTracks() if h then if not o then o=""A"" end n:PlayAnimation(0,o,false,function() if o==""in""then return n:PlayAnimation(0,""A"",true) elseif o==""",2581,UIUtil.GetPlayerBigSpineAllHeroShow
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,local e=UIUtil.GetHeroModelId(e),2472,heroModelId
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,local e=r.GetEntity(e),2472,modelEntity
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,GameTools:PoolGameObjectSpawn(,2472,spawnPaintingGroup
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetParent(t,a)",2472,parent
