comparison,region,box,meanAbsDiff,rmsDiff,changedPixelRatio30,pixelCorrelation
reference_vs_ui128,full,"[0,0,1680,720]",0.209078,0.293563,0.70151,0.424216
reference_vs_ui128,center_hero_background,"[360,40,1180,690]",0.184641,0.27079,0.61333,0.475187
reference_vs_ui128,chat_bubble,"[1030,215,1565,410]",0.176602,0.258216,0.661452,0.559898
reference_vs_ui128,right_activity_stack,"[900,95,1680,335]",0.247383,0.330944,0.787842,0.17393
reference_vs_ui128,bottom_nav,"[0,575,1680,720]",0.190902,0.270251,0.68305,0.395621
reference_vs_ui128,click_blocker_btn_discord,"[1180,95,1580,640]",0.208914,0.291903,0.716693,0.493905
reference_vs_ui135,full,"[0,0,1680,720]",0.313657,0.390399,0.909705,0.153161
reference_vs_ui135,center_hero_background,"[360,40,1180,690]",0.33095,0.405483,0.944702,0.034676
reference_vs_ui135,chat_bubble,"[1030,215,1565,410]",0.311606,0.407504,0.853295,0.243461
reference_vs_ui135,right_activity_stack,"[900,95,1680,335]",0.339244,0.426015,0.872447,0.161383
reference_vs_ui135,bottom_nav,"[0,575,1680,720]",0.288646,0.356255,0.924651,0.001238
reference_vs_ui135,click_blocker_btn_discord,"[1180,95,1580,640]",0.294003,0.378051,0.868624,0.235495
ui128_vs_ui135,full,"[0,0,1680,720]",0.26369,0.352088,0.785785,0.309685
ui128_vs_ui135,center_hero_background,"[360,40,1180,690]",0.301733,0.380099,0.897293,0.126008
ui128_vs_ui135,chat_bubble,"[1030,215,1565,410]",0.207551,0.322591,0.559176,0.540924
ui128_vs_ui135,right_activity_stack,"[900,95,1680,335]",0.229756,0.330638,0.673072,0.485185
ui128_vs_ui135,bottom_nav,"[0,575,1680,720]",0.290001,0.358401,0.923469,0.01714
ui128_vs_ui135,click_blocker_btn_discord,"[1180,95,1580,640]",0.193997,0.292691,0.604174,0.534152
