comparison,region,box,meanAbsDiff,rmsDiff,changedPixelRatio30,pixelCorrelation
reference_vs_ui128,full,"[0,0,1680,720]",0.209078,0.293563,0.70151,0.424216
reference_vs_ui128,bottom_nav,"[0,575,1680,720]",0.190902,0.270251,0.68305,0.395621
reference_vs_ui128,bottom_dock_focus,"[420,500,1260,720]",0.164535,0.247735,0.592246,0.517247
reference_vs_ui128,center_hero_background,"[360,40,1180,690]",0.184641,0.27079,0.61333,0.475187
reference_vs_ui128,right_activity_stack,"[900,95,1680,335]",0.247383,0.330944,0.787842,0.17393
reference_vs_ui128,click_blocker_btn_discord,"[1180,95,1580,640]",0.208914,0.291903,0.716693,0.493905
reference_vs_ui136,full,"[0,0,1680,720]",0.257656,0.333622,0.855818,0.210779
reference_vs_ui136,bottom_nav,"[0,575,1680,720]",0.258382,0.326579,0.888674,0.120721
reference_vs_ui136,bottom_dock_focus,"[420,500,1260,720]",0.263318,0.330613,0.905271,0.083842
reference_vs_ui136,center_hero_background,"[360,40,1180,690]",0.266517,0.340305,0.879456,0.120932
reference_vs_ui136,right_activity_stack,"[900,95,1680,335]",0.248302,0.330934,0.797767,0.15747
reference_vs_ui136,click_blocker_btn_discord,"[1180,95,1580,640]",0.240522,0.318422,0.798372,0.338459
ui128_vs_ui136,full,"[0,0,1680,720]",0.13393,0.244178,0.427405,0.606893
ui128_vs_ui136,bottom_nav,"[0,575,1680,720]",0.203164,0.300884,0.643838,0.277559
ui128_vs_ui136,bottom_dock_focus,"[420,500,1260,720]",0.246572,0.325106,0.818739,0.143002
ui128_vs_ui136,center_hero_background,"[360,40,1180,690]",0.20537,0.301611,0.669265,0.351569
ui128_vs_ui136,right_activity_stack,"[900,95,1680,335]",0.012263,0.066187,0.05094,0.967435
ui128_vs_ui136,click_blocker_btn_discord,"[1180,95,1580,640]",0.074492,0.1844,0.207748,0.80703
