evidence_kind,source,target,path,component_types,active_state,rect_or_canvas,snippet,interpretation,patch_decision
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,UI_bg__-3280973633984018659,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_bg__-3280973633984018659,Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger,activeSelf=True; activeInHierarchy=True,"anchored=0,0; size=1680,720; scale=1,1,1; sibling=0",UI_bg_raycast_preserved=True; baselineRaycast=True; finalRaycast=True; baselineInteractable=True; finalInteractable=True,UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,MAIN_PAGE,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle1__7591293892622252672/im_on__-5891749526711796232|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle1__7591293892622252672/im_off__-8260082556590129835,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"selected MAIN_PAGE: on active, off inactive; onRectPathId=-5891749526711796232; offRectPathId=-8260082556590129835; onFound=True; offFound=True; onFinalActiveSelf=True; offFinalActiveSelf=False; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,CAMP,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle2__7950299754146285530/im_on__4968733986243935381|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle2__7950299754146285530/im_off__5193622481985759590,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=4968733986243935381; offRectPathId=5193622481985759590; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,BAG,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle3__-6972970831923998147/im_on__-4554973158640049960|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle3__-6972970831923998147/im_off__518680114936329312,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=-4554973158640049960; offRectPathId=518680114936329312; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,EXPEDITION,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle4__-6804366038503861017/im_on__-1222559236234254205|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle4__-6804366038503861017/im_off__7609373578294030332,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=-1222559236234254205; offRectPathId=7609373578294030332; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,ADVENTURE,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle5__3989089819604024096/im_on__-5215337679687611488|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle5__3989089819604024096/im_off__-4795627789347214698,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=-5215337679687611488; offRectPathId=-4795627789347214698; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,GUILD,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle6__4819124037445857078/im_on__-3542802835436383425|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle6__4819124037445857078/im_off__4975218722388425263,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=-3542802835436383425; offRectPathId=4975218722388425263; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,MAIN_CITY,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle7__-3817517230233315748/im_on__2411793564342831924|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle7__-3817517230233315748/im_off__-214759850272892160,"UI_Dock.lua lines 67,138-149 + maininterface_lua_com_bindings.csv",activeSelf=True; activeInHierarchy=True,anchored=; size=; scale=; sibling=-1,"unselected dock tab: on inactive, off active; onRectPathId=2411793564342831924; offRectPathId=-214759850272892160; onFound=True; offFound=True; onFinalActiveSelf=False; offFinalActiveSelf=True; spineAnimationState=not_applicable_no_skeleton_component",UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,UI_Dock_OpenStack_UI136,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136,RectTransform,activeSelf=True; activeInHierarchy=True,"anchored=0,0; size=0,0; scale=1,1,1; sibling=1",source-built UI_Dock hierarchy row; no coordinate-only patch applied,UI136 candidate scene evidence,trace_only_no_patch
ui136_scene_probe,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_uidock_candidate_scene_probe.csv,bg_gongneng__-2565117311671495054,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054,CanvasRenderer|Image|RectTransform,activeSelf=True; activeInHierarchy=True,"anchored=0,-325; size=1174,52; scale=1,1,1; sibling=0",source-built UI_Dock hierarchy row; no coordinate-only patch applied,UI136 candidate scene evidence,trace_only_no_patch
