evidence_kind,source,line,target,form_id,module,raw_flags_3_5,path_or_symbol,snippet,interpretation,patch_decision
DTSysUIFormEntityTableData,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_118e2d32692e66cc\textassets\7179387777078280832_DTSysUIFormEntityTableData.txt,175,UI_Dock,248,MainInterface,1|1|1,UIPrefabAndRes/MainInterface/Prefabs/UI_Dock,"{248,""Dock"",""UI_Dock"",""1"",1,1,""UIPrefabAndRes/MainInterface/Prefabs/UI_Dock"",""UIPrefabAndRes/MainInterface/Prefabs/UI_Dock"",""UIPrefabAndRes/MainInterface/Prefabs/UI_Dock"",""UIPrefabAndRes/MainInterface/Prefabs/UI_Dock"",""0"",""0"",""0"",""FALSE"",""0"",0,""MainInterface"","""",""Assets/Download/ArtSources/UISpriteRes/UIMainInterface"",""""},","form is source-backed; raw flag semantics are not fully decoded, so this table alone is not sufficient to derive final canvas/sorting order",trace_only_no_patch
DTSysUIFormEntityTableData,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_118e2d32692e66cc\textassets\7179387777078280832_DTSysUIFormEntityTableData.txt,176,UI_MainPage,249,MainInterface,1|1|0,UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface,"{249,""主页"",""UI_MainPage"",""1"",1,0,""UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface"",""UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface"",""UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface"",""UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface"",""0"",""0"",""0"",""FALSE"",""0"",0,""MainInterface"","""",""Assets/Download/ArtSources/UISpriteRes/UIMainInterface,Assets/Download/RolePrefabsAndRes/NpcPrefabAndRes/8007,Assets/Download/ArtSources/UISpriteRes/UIActFoolsDoll,Assets/Download/UI/UIPrefabAndRes/ActFoolsDoll_Ext_3,Assets/Download/UI/UIPrefabAndRes/ActFoolsDoll_Ext_2,Assets/Download/UI/UIPrefabAndRes/ActFoolsDoll_Ext_1,Assets/Download/UI/UIPrefabAndRes/ActFoolsDoll_Ext_Prefabs"",""""},","form is source-backed; raw flag semantics are not fully decoded, so this table alone is not sufficient to derive final canvas/sorting order",trace_only_no_patch
DTSysUIFormEntityTableData,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_118e2d32692e66cc\textassets\7179387777078280832_DTSysUIFormEntityTableData.txt,580,UI_Dock_xmas,655,MainInterface,1|1|1,UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_Dock_xmas,"{655,""圣诞Dock"",""UI_Dock_xmas"",""1"",1,1,""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_Dock_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_Dock_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_Dock_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_Dock_xmas"",""0"",""0"",""0"",""FALSE"",""0"",0,""MainInterface"","""",""Assets/Download/ArtSources/UISpriteRes/UIMainInterface"",""""},","form is source-backed; raw flag semantics are not fully decoded, so this table alone is not sufficient to derive final canvas/sorting order",trace_only_no_patch
DTSysUIFormEntityTableData,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_118e2d32692e66cc\textassets\7179387777078280832_DTSysUIFormEntityTableData.txt,581,UI_MainPage_xmas,656,MainInterface,1|1|0,UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_MainInterface_xmas,"{656,""圣诞主页"",""UI_MainPage_xmas"",""1"",1,0,""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_MainInterface_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_MainInterface_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_MainInterface_xmas"",""UIPrefabAndRes/MainInterface_Ext_xmas/Prefabs/UI_MainInterface_xmas"",""0"",""0"",""0"",""FALSE"",""0"",9999,""MainInterface"","""",""Assets/Download/ArtSources/UISpriteRes/UIMainInterface"",""""},","form is source-backed; raw flag semantics are not fully decoded, so this table alone is not sufficient to derive final canvas/sorting order",trace_only_no_patch
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,44-80,UI_Dock.OnOpen,UIFormId.UI_Dock,MainInterface,,OnOpen/default MAIN_PAGE/initEnterTab,"L44:function OnOpen(a) | L45:EventSystem.AddListener(CommonEventId.OnOpenDockUI,onOpenDockUI) | L46:EventSystem.AddListener(CommonEventId.OnCloseDockAndCurrUI,onCloseDockAndCurrUI) | L47:EventSystem.AddListener(CommonEventId.OnHideDockAndCurrUI,onHideDockAndCurrUI) | L48:EventSystem.AddListener(CommonEventId.OnPlayInfoChange,OnPlayInfoChange) | L49:EventSystem.AddListener(CommonEventId.OnPlayerLoginComplete,OnPlayerLoginComplete) | L50:EventSystem.AddListener(CommonEventId.RedPointInfoChange,RefreshRedPoint) | L51:EventSystem.AddListener(CommonEventId.OnDockShowHide,onDockShowHide) | L52:EventSystem.AddListener(CommonEventId.GetIdleItemsSuccess,OnGetIdleItemsSuccess) | L53:EventSystem.AddListener(CommonEventId.OnEquipCountChange,CheckBagTip) | L54:EventSystem.AddListener(CommonEventId.KillDragonsInfoSync,CheckKillDragonsTip) | L55:EventSystem.AddListener(CommonEventId.KillDragonsExitRoomSync,CheckKillDragonsTip) | L56:EventSystem.AddListener(CommonEventId.BagSizeChange,CheckBagTip) | L57:EventSystem.AddListener(CommonEventId.OnEventTitanDescInfo,OnEventTitanDescInfo) | L58:EventSystem.AddListener(CommonEventId.OnGuideFinishRefreshDock,CheckGuideHandShow) | L59:EventSystem.AddListener(CommonEventId.OnStartGuide,CheckGuideHandShow) | L60:EventSystem.AddListener(CommonEventId.NewShowInfoChange,onNewShowChange) | L61:EventSystem.AddListener(CommonEventId.PlayerLevelUp,OnPlayerLevelUp) | L62:EventSystem.AddListener(SysEventId.OnLoadingClosed,OnLoadingClosed) | L63:EventSystem.AddListener(CommonEventId.OnItemInfoChange,CheckBagTip) | L64:EventSystem.AddListener(CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess) | L65:EventSystem.AddListener(CommonEventId.OnRespFlowerQualification,OnRespFlowerQualification) | L66:r=false | L67:e=a and a.tabIndex or DOCK_TYPE.MAIN_PAGE | L68:if ModulesInit.StoryManager.isStoryCreateName==true then | L69:if ModulesInit.GuideMgr.isOpenGuide and GameFunction:CheckNewGuideByFunc231101()then | L70:LuaUtils.SetActive(transform,false) | L71:else | L72:LuaUtils.SetActive(transform,true) | L73:end | L74:else | L75:LuaUtils.SetActive(transform,true) | L76:end | L77:m=a and a.userData | L78:initEnterTab(m) | L79:CheckBagTip() | L80:RefreshRedPoint()","UI_Dock is opened through its Lua lifecycle, event listeners, default tab, CheckBagTip/RefreshRedPoint; direct sibling copy only approximates a subset",trace_only_no_patch
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,138-149,UI_Dock.initTab,UIFormId.UI_Dock,MainInterface,,DOCK_TYPE on/off + UISpineCtr PlayAnimation,"L138:function initTab() | L139:for t=DOCK_TYPE.MAIN_PAGE,DOCK_TYPE.MAIN_CITY do | L140:local e=t==e | L141:LuaUtils.SetActive(d[t][1].transform,e) | L142:LuaUtils.SetActive(d[t][2].transform,not e) | L143:local t=d[t][3]:GetComponent(typeof(CS.YouYou.UISpineCtr)) | L144:if e==true then | L145:t:PlayAnimation(0,""A"",true) | L146:else | L147:t:PlayAnimation(0,""B"",true) | L148:end | L149:end","UI136 now applies the on/off active state, but source-built scene lacks real UISpineCtr/SkeletonGraphic on sp_* rows, so animation/material runtime remains missing",blocked_no_patch_missing_runtime_spine_component
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,250-286,UI_Dock.setCurrView,UIFormId.UI_Dock,MainInterface,,OpenUIForm(UI_MainPage),"L250:function setCurrView(t) | L251:local a=i:PopBack() | L252:if a then | L253:GameTools.CloseUIForm(a) | L254:end | L255:if t and t.forbidViewList then | L256:ViewMgr:clostEnableLayerView(t.forbidViewList) | L257:else | L258:ViewMgr:clostEnableLayerView() | L259:end | L260:local a | L261:if e==DOCK_TYPE.MAIN_PAGE then | L262:a=UIFormId.UI_MainPage | L263:GameEntry.UI:OpenUIForm(UIFormId.UI_MainPage,t) | L264:elseif e==DOCK_TYPE.CAMP then | L265:a=UIFormId.UI_Camp | L266:EventSystem.SendEvent(CommonEventId.OnReStartGuide,{event=""DOCK_OPEN_CAMP_SUC""}) | L267:GameEntry.UI:OpenUIForm(UIFormId.UI_Camp,t) | L268:elseif e==DOCK_TYPE.BAG then | L269:a=UIFormId.UI_Bag | L270:GameEntry.UI:OpenUIForm(UIFormId.UI_Bag,t) | L271:elseif e==DOCK_TYPE.EXPEDITION then | L272:ModulesInit.EarthMgr:EnterEarth(t) | L273:elseif e==DOCK_TYPE.ADVENTURE then | L274:a=UIFormId.UI_AdventureInterface | L275:GameEntry.UI:OpenUIForm(UIFormId.UI_AdventureInterface,t) | L276:elseif e==DOCK_TYPE.GUILD then | L277:a=UIFormId.UI_GuildMainView | L278:GameEntry.UI:OpenUIForm(UIFormId.UI_GuildMainView,t) | L279:elseif e==DOCK_TYPE.MAIN_CITY then | L280:if not t then | L281:t={} | L282:end | L283:t.isUpLevel=LuaUtils.GetActive(im_city_qipaoup) | L284:GameEntry.UI:OpenUIForm(UIFormId.UI_City,t) | L285:end | L286:i:PushBack(a)",production stack opens current view through GameEntry.UI after closing enabled layer views; direct old-root+UI_Dock copy does not exercise this UIManager stack,needs_runtime_ui_manager_probe
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,223-310,UI_MainPage.OnOpen,UIFormId.UI_MainPage,MainInterface,,OnOpen refresh + UI_MainInterface_in,"L223:function OnOpen(e) | L224:EventSystem.AddListener(CommonEventId.OnPlayCurrencyRefresh,OnPlayCurrencyRefresh) | L225:EventSystem.AddListener(CommonEventId.OnPlayerChangeName,refreshLeft) | L226:EventSystem.AddListener(CommonEventId.OnMainBgChange,onMainBgChange) | L227:EventSystem.AddListener(CommonEventId.OnNewChatMsg,receiveNewMsg) | L228:EventSystem.AddListener(CommonEventId.OnPlayInfoChange,OnPlayInfoChange) | L229:EventSystem.AddListener(CommonEventId.FormationSyncChange,refreshPlayerHeadView) | L230:EventSystem.AddListener(SysEventId.OnUpdate,OnUpdate) | L231:EventSystem.AddListener(CommonEventId.RedPointInfoChange,onRedPointChange) | L232:EventSystem.AddListener(CommonEventId.QuestDataChange,OnQuestDataChange) | L233:EventSystem.AddListener(CommonEventId.OnEventActInfoChange,OnEventActInfoChange) | L234:EventSystem.AddListener(CommonEventId.PlayerLevelUp,PlayerLevelUp) | L235:EventSystem.AddListener(CommonEventId.OnLuaViewChange,OnLuaViewChange) | L236:EventSystem.AddListener(CommonEventId.OnEventNetReconnectSuccess,OnEventNetReconnectSuccess) | L237:EventSystem.AddListener(CommonEventId.OnEnterForeground,OnEventNetReconnectSuccess) | L238:EventSystem.AddListener(CommonEventId.NewShowInfoChange,onNewShowChange) | L239:EventSystem.AddListener(CommonEventId.OnAtlasAndExhibitionRefresh,OnNewHeroAtlas) | L240:EventSystem.AddListener(CommonEventId.OnRefreshBgDownload,OnRefreshBgDownload) | L241:EventSystem.AddListener(CommonEventId.OnFavorabilityRefresh,onMainBgChange) | L242:EventSystem.AddListener(CommonEventId.OnCloseChat,OnCloseChatView) | L243:EventSystem.AddListener(CommonEventId.NaverStageSync,OnNaverStageSync) | L244:EventSystem.AddListener(CommonEventId.OnEventRespError,OnEventRespError) | L245:EventSystem.AddListener(CommonEventId.OnActFirstDayRewardStatus,OnActFirstDayRewardStatus) | L246:EventSystem.AddListener(CommonEventId.OnEquipCountChange,CheckBagTip) | L247:EventSystem.AddListener(CommonEventId.BagSizeChange,CheckBagTip) | L248:EventSystem.AddListener(CommonEventId.OnItemInfoChange,CheckBagTip) | L249:EventSystem.AddListener(CommonEventId.OnCloseDockAndCurrUI,onCloseDockAndCurrUI) | L250:EventSystem.AddListener(CommonEventId.OnHideDockAndCurrUI,onHideDockAndCurrUI) | L251:EventSystem.AddListener(SysEventId.OnLoadingClosed,OnLoadingClosed) | L252:EventSystem.AddListener(CommonEventId.OnGuideFinishRefreshDock,OnGuideFinishRefreshDock) | L253:EventSystem.AddListener(CommonEventId.OnRespHeroCompose,OnRespHeroCompose) | L254:EventSystem.AddListener(CommonEventId.NewDay,OnNewDay) | L255:EventSystem.AddListener(CommonEventId.OnStartGuide,OnStartGuide) | L256:EventSystem.AddListener(CommonEventId.OnClickNewMarketNotice,OnClickNewMarketNotice) | L257:EventSystem.AddListener(CommonEventId.OnMainBannerStatusRefresh,StopLoopImageHandler) | L258:EventSystem.AddListener(CommonEventId.OnCloseLuaView,onCloseLuaView) | L259:EventSystem.AddListener(CommonEventId.EVENT_FSB_MAP_CAN_REQ_SERVER,RefrshFSBStatus) | L260:EventSystem.AddListener(CommonEventId.OnHideMainPageHero,OnHideMainPageHero) | L261:EventSystem.AddListener(CommonEventId.OnRefreshTaskNoticeData,refreshTaskNoticeView) | L262:EventSystem.AddListener(CommonEventId.OnGetTaskNoticeRewardSuccessful,OnTaskNoticeGetReward) | L263:EventSystem.AddListener(CommonEventId.OnAutoHelperRedRefresh,RefereshAutoHelperView) | L264:EventSystem.AddListener(CommonEventId.OnActFoolsDollRefreshInfo,OnActFoolsDollRefreshInfo) | L265:EventSystem.AddListener(CommonEventId.OnSynPlayerLimitBuffList,OnSynPlayerLimitBuffList) | L266:EventSystem.AddListener(CommonEventId.OnTestLive2dById,OnTestLive2dById) | L267:GameTools.isWillCloseMainPage=false | L268:f=true | L269:C=false | L270:P=false | L271:if e and e.forbidViewList then | L272:ViewMgr:clostEnableLayerView(e.forbidViewList) | L273:else | L274:ViewMgr:clostEnableLayerView() | L275:end | L276:ModulesInit.MainPageLimitMgr:InitData() | L277:HeroMgr:RefreshCanComposeHeroDic() | L278:ActMgr:checkInitLocalSaveData() | L279:t=PlayerMgr.PlayerInfo.showHeroIndex | L280:s=1 | L281:b=0 | L282:V=false | L283:W=false | L284:j=5 | L285:x=false | L286:G=0 | L287:refresh() | L288:LuaUtils.SetActive(guide_mask.transform,false) | L289:if ModulesInit.StoryManager.isStoryCreateName then | L290:ModulesInit.StoryManager.isStoryCreateName=false | L291:if ModulesInit.GuideMgr.isOpenGuide then | L292:if GameFunction:CheckNewGuideByFunc231217()then | L293:LuaUtils.SetActive(guide_mask.transform,true) | L294:ModulesInit.GuideMgr.createNameStatus=true | L295:ModulesInit.GuideMgr:CheckMainGuide(true) | L296:end | L297:end | L298:end | L299:CheckShowLoginView() | L300:LuaUtils.SetActive(llvChat.transform,GameFunction.IsFunctionUnLock(GameFunctionType.Chat)) | L301:OnNewHeroAtlas() | L302:UpdateForumBtnStage() | L303:if GameFunction.IsFunctionUnLock(GameFunctionType.Marry)then | L304:ModulesInit.MarryManager:SendQueryMarryVoiceListRequest() | L305:end | L306:OpenMainEnterView() | L307:if e and e.stopPlayEnterAnim then | L308:LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_idle"",0,0) | L309:else | L310:LuaUtils.AnimtorPlay(UI_MainInterface,""UI_MainInterface_in"",0,0)",UI_MainPage refreshes runtime data and plays UI_MainInterface_in/idle; UI128 candidate does not reproduce all runtime data and UI136 should not promote a visual-only composite,trace_only_no_patch
decoded_lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-4615102950863731052_UI_Dock_security_xor_raw.lua,575-580,UI_Dock.Animator,UIFormId.UI_Dock,MainInterface,,UI_Dock_in/out,"L575:function onDockShowHide(e) | L576:if e then | L577:LuaUtils.AnimtorPlay(UI_Dock,""UI_Dock_out"",0,0) | L578:else | L579:LuaUtils.AnimtorPlay(UI_Dock,""UI_Dock_in"",0,0) | L580:end","Dock has a separate show/hide animator lane; UI136 static capture does not prove correct animation state, mask, or final anchored layout",needs_unity_runtime_probe_no_scene_patch
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975190,YouYouCanvasHelper.OnDepthChanged,,IL2CPP,,YouYouYouYouCanvasHelperWrap._m_OnDepthChanged,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouCanvasHelperWrap._m_OnDepthChanged()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
