source_kind,source_path,line_or_range,class_or_file,symbol,evidence_type,detail,token_or_address,interpretation,decision
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,17,YouYou.YouYouUIManager,<>4__this,field,public YouYouUIManager <>4__this;,"[Token(Token = ""0x4002200"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,21,YouYou.YouYouUIManager,uiFormId,field,public int uiFormId;,"[Token(Token = ""0x4002201"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,25,YouYou.YouYouUIManager,userData,field,public object userData;,"[Token(Token = ""0x4002202"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,29,YouYou.YouYouUIManager,onOpen,field,public BaseAction<UIFormBase> onOpen;,"[Token(Token = ""0x4002203"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,33,YouYou.YouYouUIManager,<>c__DisplayClass71_0,method,public <>c__DisplayClass71_0(),"[Token(Token = ""0x600346F"")] [Address(RVA = ""0x1FF47E4"", Offset = ""0x1FF47E4"", VA = ""0x1FF47E4"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,39,YouYou.YouYouUIManager,<_OpenUIForm>b__0,method,internal void <_OpenUIForm>b__0(),"[Token(Token = ""0x6003470"")] [Address(RVA = ""0x1FF47EC"", Offset = ""0x1FF47EC"", VA = ""0x1FF47EC"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,50,YouYou.YouYouUIManager,<>4__this,field,public YouYouUIManager <>4__this;,"[Token(Token = ""0x4002204"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,54,YouYou.YouYouUIManager,uiFormId,field,public int uiFormId;,"[Token(Token = ""0x4002205"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,58,YouYou.YouYouUIManager,isImmediately,field,public bool isImmediately;,"[Token(Token = ""0x4002206"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,62,YouYou.YouYouUIManager,<>c__DisplayClass75_0,method,public <>c__DisplayClass75_0(),"[Token(Token = ""0x6003471"")] [Address(RVA = ""0x1FF4840"", Offset = ""0x1FF4840"", VA = ""0x1FF4840"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll
