source_kind,source_path,line_or_range,class_or_file,symbol,evidence_type,detail,token_or_address,interpretation,decision,binding_root,candidate_probe_state
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,21,YouYou.UISpineCtr,<>4__this,field,public UISpineCtr <>4__this;,"[Token(Token = ""0x40025AC"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,25,YouYou.UISpineCtr,_cor,field,public Color _cor;,"[Token(Token = ""0x40025AD"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,29,YouYou.UISpineCtr,<>c__DisplayClass16_0,method,public <>c__DisplayClass16_0(),"[Token(Token = ""0x60038FA"")] [Address(RVA = ""0xD8FE7C"", Offset = ""0xD8FE7C"", VA = ""0xD8FE7C"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,35,YouYou.UISpineCtr,<SetAlpha>b__0,method,internal void <SetAlpha>b__0(float t),"[Token(Token = ""0x60038FB"")] [Address(RVA = ""0xD8FE84"", Offset = ""0xD8FE84"", VA = ""0xD8FE84"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,42,YouYou.UISpineCtr,skeletonGraphic,field,private SkeletonGraphic skeletonGraphic;,"[Token(Token = ""0x40025A5"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,46,YouYou.UISpineCtr,ac,field,private Spine.AnimationState.TrackEntryDelegate ac;,"[Token(Token = ""0x40025A6"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,50,YouYou.UISpineCtr,mEventDelegate,field,private Spine.AnimationState.TrackEntryEventDelegate mEventDelegate;,"[Token(Token = ""0x40025A7"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,54,YouYou.UISpineCtr,mAcLuaFunc,field,private LuaFunction mAcLuaFunc;,"[Token(Token = ""0x40025A8"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,58,YouYou.UISpineCtr,mEventDelegateFunc,field,private LuaFunction mEventDelegateFunc;,"[Token(Token = ""0x40025A9"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,62,YouYou.UISpineCtr,mEventDelegateAction,field,private Action<string> mEventDelegateAction;,"[Token(Token = ""0x40025AA"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,66,YouYou.UISpineCtr,m_UIIsOpen,field,private bool m_UIIsOpen;,"[Token(Token = ""0x40025AB"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,70,YouYou.UISpineCtr,Awake,method,private void Awake(),"[Token(Token = ""0x60038E7"")] [Address(RVA = ""0xDD8800"", Offset = ""0xDD8800"", VA = ""0xDD8800"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,76,YouYou.UISpineCtr,SetTimeScale,method,public void SetTimeScale(float timeScale),"[Token(Token = ""0x60038E8"")] [Address(RVA = ""0xDD888C"", Offset = ""0xDD888C"", VA = ""0xDD888C"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
ilspy_dummy_dll_decompile,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,82,YouYou.UISpineCtr,SetToSetupPose,method,public void SetToSetupPose(),"[Token(Token = ""0x60038E9"")] [Address(RVA = ""0xDD8900"", Offset = ""0xDD8900"", VA = ""0xDD8900"")]","DummyDll exposes signature/field shape but not the IL2CPP native method body; use as structural evidence, not algorithm proof.",algorithm_body_not_recovered_from_dummy_dll,,
