class_name,method_name,rva_hex,address_hex,offset_hex,mnemonic,op_str
YouYouCanvasHelper,SetDepth,0x1341170,0x1341170,0x1341170,stp,"x20, x19, [sp, #-0x20]!"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341174,0x1341174,stp,"x29, x30, [sp, #0x10]"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341178,0x1341178,add,"x29, sp, #0x10"
YouYouCanvasHelper,SetDepth,0x1341170,0x134117C,0x134117C,mov,"w19, w1"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341180,0x1341180,mov,"x20, x0"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341184,0x1341184,mov,"w0, #0x189f"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341188,0x1341188,mov,"x1, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x134118C,0x134118C,bl,#0xedcd74
YouYouCanvasHelper,SetDepth,0x1341170,0x1341190,0x1341190,tbz,"w0, #0, #0x13411bc"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341194,0x1341194,mov,"w0, #0x189f"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341198,0x1341198,mov,"x1, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x134119C,0x134119C,bl,#0xedce44
YouYouCanvasHelper,SetDepth,0x1341170,0x13411A0,0x13411A0,cbz,"x0, #0x13411d0"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411A4,0x13411A4,ldp,"x29, x30, [sp, #0x10]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411A8,0x13411A8,mov,"x1, x20"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411AC,0x13411AC,mov,"w2, w19"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411B0,0x13411B0,mov,"x3, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411B4,0x13411B4,ldp,"x20, x19, [sp], #0x20"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411B8,0x13411B8,b,#0xac415c
YouYouCanvasHelper,SetDepth,0x1341170,0x13411BC,0x13411BC,str,"w19, [x20, #0x18]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411C0,0x13411C0,ldp,"x29, x30, [sp, #0x10]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411C4,0x13411C4,mov,"x0, x20"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411C8,0x13411C8,ldp,"x20, x19, [sp], #0x20"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411CC,0x13411CC,b,#0x13408dc
YouYouCanvasHelper,SetDepth,0x1341170,0x13411D0,0x13411D0,bl,#0xa60094
YouYouCanvasHelper,SetDepth,0x1341170,0x13411D4,0x13411D4,mov,"x1, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411D8,0x13411D8,b,#0x167baf8
YouYouCanvasHelper,SetDepth,0x1341170,0x13411DC,0x13411DC,str,"x21, [sp, #-0x30]!"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411E0,0x13411E0,stp,"x20, x19, [sp, #0x10]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411E4,0x13411E4,stp,"x29, x30, [sp, #0x20]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411E8,0x13411E8,add,"x29, sp, #0x20"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411EC,0x13411EC,adrp,"x20, #0x31fb000"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411F0,0x13411F0,ldrb,"w8, [x20, #0xbe7]"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411F4,0x13411F4,mov,"x19, x0"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411F8,0x13411F8,tbnz,"w8, #0, #0x134121c"
YouYouCanvasHelper,SetDepth,0x1341170,0x13411FC,0x13411FC,adrp,"x0, #0x2feb000"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341200,0x1341200,ldr,"x0, [x0, #0xea0]"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341204,0x1341204,bl,#0xa5ffc0
YouYouCanvasHelper,SetDepth,0x1341170,0x1341208,0x1341208,adrp,"x0, #0x3041000"
YouYouCanvasHelper,SetDepth,0x1341170,0x134120C,0x134120C,ldr,"x0, [x0, #0xbd0]"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341210,0x1341210,bl,#0xa5ffc0
YouYouCanvasHelper,SetDepth,0x1341170,0x1341214,0x1341214,mov,"w8, #1"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341218,0x1341218,strb,"w8, [x20, #0xbe7]"
YouYouCanvasHelper,SetDepth,0x1341170,0x134121C,0x134121C,mov,"w0, #0x18c4"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341220,0x1341220,mov,"x1, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341224,0x1341224,bl,#0xedcd74
YouYouCanvasHelper,SetDepth,0x1341170,0x1341228,0x1341228,tbz,"w0, #0, #0x1341254"
YouYouCanvasHelper,SetDepth,0x1341170,0x134122C,0x134122C,mov,"w0, #0x18c4"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341230,0x1341230,mov,"x1, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341234,0x1341234,bl,#0xedce44
YouYouCanvasHelper,SetDepth,0x1341170,0x1341238,0x1341238,cbz,"x0, #0x13412f0"
YouYouCanvasHelper,SetDepth,0x1341170,0x134123C,0x134123C,mov,"x1, x19"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341240,0x1341240,ldp,"x29, x30, [sp, #0x20]"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341244,0x1341244,ldp,"x20, x19, [sp, #0x10]"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341248,0x1341248,mov,"x2, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x134124C,0x134124C,ldr,"x21, [sp], #0x30"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341250,0x1341250,b,#0xac620c
YouYouCanvasHelper,SetDepth,0x1341170,0x1341254,0x1341254,mov,"x0, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341258,0x1341258,bl,#0xef94c8
YouYouCanvasHelper,SetDepth,0x1341170,0x134125C,0x134125C,cbz,"x0, #0x13412f4"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341260,0x1341260,mov,"x1, x19"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341264,0x1341264,mov,"x2, xzr"
YouYouCanvasHelper,SetDepth,0x1341170,0x1341268,0x1341268,bl,#0xef96d4
YouYouCanvasHelper,SetDepth,0x1341170,0x134126C,0x134126C,mov,"x20, x0"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408DC,0x13408DC,stp,"x22, x21, [sp, #-0x30]!"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408E0,0x13408E0,stp,"x20, x19, [sp, #0x10]"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408E4,0x13408E4,stp,"x29, x30, [sp, #0x20]"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408E8,0x13408E8,add,"x29, sp, #0x20"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408EC,0x13408EC,adrp,"x20, #0x31fb000"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408F0,0x13408F0,ldrb,"w8, [x20, #0xbe5]"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408F4,0x13408F4,mov,"x19, x0"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408F8,0x13408F8,tbnz,"w8, #0, #0x1340934"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x13408FC,0x13408FC,adrp,"x0, #0x3039000"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x1340900,0x1340900,ldr,"x0, [x0, #0x2e8]"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x1340904,0x1340904,bl,#0xa5ffc0
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x1340908,0x1340908,adrp,"x0, #0x3042000"
YouYouCanvasHelper,ResetRenderDepth,0x13408DC,0x134090C,0x134090C,ldr,"x0, [x0, #0xfd8]"
