componentPathId,gameObjectId,gameObjectName,bundle,scriptId,scriptType,context,mDepthRecovered,mDepth,mEnabled,keys,formulaUse,exactDepthStatus,source,decision
-1639047430324393110,1227855226237137794,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
-1388012932881033858,1536270569275269659,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
903641192251755156,-7530751875631570297,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
1086768374079971412,-6952319398943700129,im_juese,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
1133779937275524087,-8584226023242055104,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
1991624810859309171,5875002524133667862,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
2265449248185106650,6233382961803164013,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
2423697523592186339,-313756230808916283,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
3185294477549059909,5914605079518902028,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
3960567663317508077,6970242986137215527,bgBtn,download/ui/uiprefabandres/maininterface.assetbundle,2150366434557054024,YouYou.YouYouCanvasHelper,nested_canvashelper_candidate,True,-1,1,m_Depth;m_Enabled;m_GameObject;m_Name;m_Script,"combinedDepth = parent UIFormBase.CurrCanvas.sortingOrder + m_Depth, per UI140",partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle,cannot_compute_exact_canvashelper_depth_without_parent_form_sorting
