ownerComName,refRole,fileId,pathId,resolvedBundle,resolvedBundlePath,resolvedBundleExists,resolvedObjectType,resolvedObjectName,resolutionStatus,skeletonScale,skeletonJSONRef,atlasAssetsRefs,atlasFileRef,atlasMaterialRefs,materialShaderRef,materialShaderKeywords,materialMainTextureRef,materialStencilRef,materialStencilComp,materialStencil,materialColorMask,textureWidth,textureHeight,textureFormat,dependencyStatus
sp_mainpage,skeletonDataAsset,27,9141383861460370126,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_1_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=-5297893166830738493,fileID=0;pathID=8227587531621305829,fileID=;pathID=,,,,,,,,,,,,resolved
sp_mainpage,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_mainpage,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_mainpage,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_mainpage,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_camp,skeletonDataAsset,27,-2484884866850559576,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_2_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=-965620130649004890,fileID=0;pathID=628748981610073199,fileID=;pathID=,,,,,,,,,,,,resolved
sp_camp,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_camp,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_camp,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_camp,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
