componentType,componentPathId,gameObjectId,gameObjectName,rootName,rootRectPathId,hierarchyPath,mEnabled,mRenderMode,mOverrideSorting,mSortingOrder,mSortingLayerID,mSortingLayer,mTargetDisplay,mPixelPerfect,mPlaneDistance,keys,source
Canvas,-9018395152984660205,-1015891512621088561,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847)/left_node_face_btn(-1498875538956856870)/btn_face_item_4(-4995903592545360324)/spine_root(-1015891512621088561),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-8959454935051731417,2886982629833949813,bg_ditu1,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/node_renwu(-7103682295769966833)/btn_renwu_2(8291743918765496444)/bg_ditu1(2886982629833949813),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-8675560817987368311,5777327454696535126,im_jiantou,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/left(-7420537489651064724)/node_renwu(1912777633331111103)/btn_renwu(8999786670566616508)/bg_ditu2(-6676632188885869023)/im_jiantou(5777327454696535126),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-8388975661071216685,8469398524860082183,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/btn_act_3(7843091743582124696)/spine_root(8469398524860082183),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-8319198595794125814,4721660477782303194,btn_show,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/btn_show(4721660477782303194),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-7986222915067879066,1292563887865631208,spine_root,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/right(-8507688079172735503)/node_act_btn(8582011884751293371)/btn_act_19(-4761558363726862681)/spine_root(1292563887865631208),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-7845127417678662611,-6208892216857252084,spine_root,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/right(-8507688079172735503)/node_act_btn(8582011884751293371)/btn_act_9(105182037881813150)/spine_root(-6208892216857252084),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-7422862914411536531,-5586894584856445900,bg_dibu,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/bg_dibu(-5586894584856445900),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-7251153201774359618,5001222786603717847,left,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-7176357800576434936,-7862136429521271516,bg_duihua,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/middle(-2248843412199408704)/bg_duihua(-7862136429521271516),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-7171392954002308585,7173960087080987887,show_mask,UI_Dock,7409970622389811116,UI_Dock(-2739981314955153384)/show_mask(7173960087080987887),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-6373775464026725948,-883079703027215962,UI_MainInterface,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962),1,1,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-5767927514825007100,-7637172886652410648,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847)/left_node_face_btn(-1498875538956856870)/btn_face_item_6(580826136177762432)/spine_root(-7637172886652410648),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-5668620704247763389,9014236583741273727,right,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-5662942596742318148,506011348557948751,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/btn_act_1(-7965213352486447679)/spine_root(506011348557948751),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-4382656282170005910,-2112429087779887161,UI_MainInterface_old,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161),1,1,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-4075775890569208614,-5236341101107464188,btn_show,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/btn_show(-5236341101107464188),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-4066542462268538857,-2739981314955153384,UI_Dock,UI_Dock,7409970622389811116,UI_Dock(-2739981314955153384),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-4061858171857079764,-4604295574552401487,im_jiantou,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/node_renwu(-7103682295769966833)/im_bg(4492213896415149202)/btn_renwu(-1344885700461243728)/bg_ditu2(-3582835971142626713)/im_jiantou(-4604295574552401487),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-3883721285937097362,-7836955457927708483,UI_Dock_old,UI_Dock_old,-1887796705374699072,UI_Dock_old(-7836955457927708483),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-3766808335369989381,998856563346183801,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847)/left_node_face_btn(-1498875538956856870)/btn_face_item_7(-5733381031153502349)/spine_root(998856563346183801),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-3762029455307325657,575056379900271325,spine_root,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/right(-8507688079172735503)/node_act_btn(8582011884751293371)/btn_act_11(-1548239284954743825)/spine_root(575056379900271325),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-3531636197532424514,2782141785606473805,spine_root,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/right(-8507688079172735503)/node_act_btn(8582011884751293371)/btn_act_1(6304455798991497811)/spine_root(2782141785606473805),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-3235449468523649737,-9062654595813077966,bg_ditu1,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/node_renwu(-7103682295769966833)/im_bg(4492213896415149202)/btn_renwu(-1344885700461243728)/bg_ditu1(-9062654595813077966),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-2786138249525609671,2793042923037538181,mask,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/mask(2793042923037538181),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-2580291364491029265,-2739981314955153384,UI_Dock,UI_Dock,7409970622389811116,UI_Dock(-2739981314955153384),1,1,False,100,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-2426861920955070189,-7138560248910886175,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/btn_act_7(-3648874275459830940)/spine_root(-7138560248910886175),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
CanvasGroup,-2412694682769372494,-7420537489651064724,left,UI_MainInterface_old,2475216337245998118,UI_MainInterface_old(-2112429087779887161)/left(-7420537489651064724),1,,,,,,,,,m_Alpha;m_BlocksRaycasts;m_Enabled;m_GameObject;m_IgnoreParentGroups;m_Interactable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-2310584175198981013,-6367040989443429769,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847)/left_node_face_btn(-1498875538956856870)/btn_face_item_5(-5632014357650248557)/spine_root(-6367040989443429769),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-2033824795775262827,3730964381673004163,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/left(5001222786603717847)/left_node_face_btn(-1498875538956856870)/btn_face_item_2(1697658323951284178)/spine_root(3730964381673004163),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
Canvas,-2014640887640243904,6697416878977860451,spine_root,UI_MainInterface,5568884429252053541,UI_MainInterface(-883079703027215962)/right(9014236583741273727)/node_act_btn(-1396314600109193637)/btn_act_8(-3603884328364220888)/spine_root(6697416878977860451),1,2,False,0,0,,0,False,100.0,m_AdditionalShaderChannelsFlag;m_Camera;m_Enabled;m_GameObject;m_OverridePixelPerfect;m_OverrideSorting;m_PixelPerfect;m_PlaneDistance;m_ReceivesEvents;m_RenderMode;m_SortingBucketNormalizedSize;m_SortingLayerID;m_SortingOrder;m_TargetDisplay,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
