comparison,region,box,meanAbsDiff,rmsDiff,changedPixelRatio30,pixelCorrelation
reference_vs_ui128,full,"[0,0,1680,720]",0.208546,0.292775,0.69494,0.425589
reference_vs_ui128,bottom_nav,"[0,575,1680,720]",0.190225,0.269214,0.676901,0.397542
reference_vs_ui128,bottom_dock_focus,"[420,500,1260,720]",0.163835,0.246604,0.585806,0.519585
reference_vs_ui128,center_hero_background,"[360,40,1180,690]",0.184203,0.270188,0.607098,0.47632
reference_vs_ui128,right_activity_stack,"[900,95,1680,335]",0.246984,0.33038,0.78414,0.174344
reference_vs_ui128,click_blocker_btn_discord,"[1180,95,1580,640]",0.208194,0.290622,0.70683,0.496245
reference_vs_ui136,full,"[0,0,1680,720]",0.257141,0.332932,0.850656,0.211486
reference_vs_ui136,bottom_nav,"[0,575,1680,720]",0.257657,0.325727,0.882853,0.121337
reference_vs_ui136,bottom_dock_focus,"[420,500,1260,720]",0.262639,0.329764,0.901066,0.084202
reference_vs_ui136,center_hero_background,"[360,40,1180,690]",0.266146,0.339826,0.875614,0.121215
reference_vs_ui136,right_activity_stack,"[900,95,1680,335]",0.247907,0.330369,0.794327,0.157847
reference_vs_ui136,click_blocker_btn_discord,"[1180,95,1580,640]",0.239798,0.31726,0.789055,0.340104
reference_vs_ui144,full,"[0,0,1680,720]",0.255596,0.332809,0.852027,0.239859
reference_vs_ui144,bottom_nav,"[0,575,1680,720]",0.246971,0.321322,0.875567,0.189647
reference_vs_ui144,bottom_dock_focus,"[420,500,1260,720]",0.257109,0.332805,0.890081,0.165702
reference_vs_ui144,center_hero_background,"[360,40,1180,690]",0.265685,0.341042,0.877126,0.161984
reference_vs_ui144,right_activity_stack,"[900,95,1680,335]",0.247907,0.330369,0.794327,0.157847
reference_vs_ui144,click_blocker_btn_discord,"[1180,95,1580,640]",0.232815,0.312399,0.788963,0.374349
ui128_vs_ui144,full,"[0,0,1680,720]",0.13634,0.247782,0.433721,0.60173
ui128_vs_ui144,bottom_nav,"[0,575,1680,720]",0.214844,0.313568,0.668723,0.252242
ui128_vs_ui144,bottom_dock_focus,"[420,500,1260,720]",0.264012,0.343072,0.850768,0.138211
ui128_vs_ui144,center_hero_background,"[360,40,1180,690]",0.213148,0.30913,0.682615,0.342563
ui128_vs_ui144,right_activity_stack,"[900,95,1680,335]",0.012263,0.066187,0.050823,0.967435
ui128_vs_ui144,click_blocker_btn_discord,"[1180,95,1580,640]",0.064455,0.170153,0.206899,0.832548
ui136_vs_ui144,full,"[0,0,1680,720]",0.037339,0.128262,0.118547,0.887756
ui136_vs_ui144,bottom_nav,"[0,575,1680,720]",0.123207,0.233297,0.386367,0.602743
ui136_vs_ui144,bottom_dock_focus,"[420,500,1260,720]",0.161865,0.267382,0.511245,0.464123
ui136_vs_ui144,center_hero_background,"[360,40,1180,690]",0.05617,0.157517,0.179717,0.821302
ui136_vs_ui144,right_activity_stack,"[900,95,1680,335]",0.0,0.0,0.0,1.0
ui136_vs_ui144,click_blocker_btn_discord,"[1180,95,1580,640]",0.029744,0.115565,0.091472,0.913645
